artist_name;song_title;token
Iron Maiden;Prowler;walking
Iron Maiden;Prowler;through
Iron Maiden;Prowler;the
Iron Maiden;Prowler;city
Iron Maiden;Prowler;looking
Iron Maiden;Prowler;oh
Iron Maiden;Prowler;so
Iron Maiden;Prowler;pretty
Iron Maiden;Prowler;i've
Iron Maiden;Prowler;just
Iron Maiden;Prowler;got
Iron Maiden;Prowler;to
Iron Maiden;Prowler;find
Iron Maiden;Prowler;my
Iron Maiden;Prowler;way
Iron Maiden;Prowler;see
Iron Maiden;Prowler;the
Iron Maiden;Prowler;ladies
Iron Maiden;Prowler;flashing
Iron Maiden;Prowler;all
Iron Maiden;Prowler;there
Iron Maiden;Prowler;legs
Iron Maiden;Prowler;and
Iron Maiden;Prowler;lashes
Iron Maiden;Prowler;i've
Iron Maiden;Prowler;just
Iron Maiden;Prowler;got
Iron Maiden;Prowler;to
Iron Maiden;Prowler;find
Iron Maiden;Prowler;my
Iron Maiden;Prowler;way
Iron Maiden;Prowler;well
Iron Maiden;Prowler;you
Iron Maiden;Prowler;see
Iron Maiden;Prowler;me
Iron Maiden;Prowler;crawling
Iron Maiden;Prowler;through
Iron Maiden;Prowler;the
Iron Maiden;Prowler;bushes
Iron Maiden;Prowler;with
Iron Maiden;Prowler;it
Iron Maiden;Prowler;open
Iron Maiden;Prowler;wide
Iron Maiden;Prowler;what
Iron Maiden;Prowler;you
Iron Maiden;Prowler;seeing
Iron Maiden;Prowler;girl
Iron Maiden;Prowler;can't
Iron Maiden;Prowler;you
Iron Maiden;Prowler;believe
Iron Maiden;Prowler;that
Iron Maiden;Prowler;feeling
Iron Maiden;Prowler;can't
Iron Maiden;Prowler;you
Iron Maiden;Prowler;believe
Iron Maiden;Prowler;it
Iron Maiden;Prowler;walking
Iron Maiden;Prowler;through
Iron Maiden;Prowler;the
Iron Maiden;Prowler;city
Iron Maiden;Prowler;looking
Iron Maiden;Prowler;oh
Iron Maiden;Prowler;so
Iron Maiden;Prowler;pretty
Iron Maiden;Prowler;i've
Iron Maiden;Prowler;just
Iron Maiden;Prowler;got
Iron Maiden;Prowler;to
Iron Maiden;Prowler;find
Iron Maiden;Prowler;my
Iron Maiden;Prowler;way
Iron Maiden;Prowler;see
Iron Maiden;Prowler;the
Iron Maiden;Prowler;ladies
Iron Maiden;Prowler;flashing
Iron Maiden;Prowler;all
Iron Maiden;Prowler;there
Iron Maiden;Prowler;legs
Iron Maiden;Prowler;and
Iron Maiden;Prowler;lashes
Iron Maiden;Prowler;i've
Iron Maiden;Prowler;just
Iron Maiden;Prowler;got
Iron Maiden;Prowler;to
Iron Maiden;Prowler;find
Iron Maiden;Prowler;my
Iron Maiden;Prowler;way
Iron Maiden;Prowler;well
Iron Maiden;Prowler;you
Iron Maiden;Prowler;see
Iron Maiden;Prowler;me
Iron Maiden;Prowler;crawling
Iron Maiden;Prowler;through
Iron Maiden;Prowler;the
Iron Maiden;Prowler;bushes
Iron Maiden;Prowler;with
Iron Maiden;Prowler;it
