artist_name;song_title;token
Iron Maiden;Public Enema Number One;when
Iron Maiden;Public Enema Number One;it
Iron Maiden;Public Enema Number One;all
Iron Maiden;Public Enema Number One;comes
Iron Maiden;Public Enema Number One;down
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;line
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;lights
Iron Maiden;Public Enema Number One;they
Iron Maiden;Public Enema Number One;turn
Iron Maiden;Public Enema Number One;to
Iron Maiden;Public Enema Number One;greed
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;you
Iron Maiden;Public Enema Number One;race
Iron Maiden;Public Enema Number One;off
Iron Maiden;Public Enema Number One;with
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;tyres
Iron Maiden;Public Enema Number One;screaming
Iron Maiden;Public Enema Number One;rolling
Iron Maiden;Public Enema Number One;thunder
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;people
Iron Maiden;Public Enema Number One;choke
Iron Maiden;Public Enema Number One;with
Iron Maiden;Public Enema Number One;poison
Iron Maiden;Public Enema Number One;children
Iron Maiden;Public Enema Number One;cry
Iron Maiden;Public Enema Number One;in
Iron Maiden;Public Enema Number One;fear
Iron Maiden;Public Enema Number One;but
Iron Maiden;Public Enema Number One;you've
Iron Maiden;Public Enema Number One;got
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;fast
Iron Maiden;Public Enema Number One;bullet
Iron Maiden;Public Enema Number One;one
Iron Maiden;Public Enema Number One;way
Iron Maiden;Public Enema Number One;ticket
Iron Maiden;Public Enema Number One;outta
Iron Maiden;Public Enema Number One;here
Iron Maiden;Public Enema Number One;fall
Iron Maiden;Public Enema Number One;on
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;knees
Iron Maiden;Public Enema Number One;today
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;pray
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;world
Iron Maiden;Public Enema Number One;will
Iron Maiden;Public Enema Number One;mend
Iron Maiden;Public Enema Number One;its
Iron Maiden;Public Enema Number One;ways
Iron Maiden;Public Enema Number One;when
Iron Maiden;Public Enema Number One;it
Iron Maiden;Public Enema Number One;all
Iron Maiden;Public Enema Number One;comes
Iron Maiden;Public Enema Number One;down
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;line
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;lights
Iron Maiden;Public Enema Number One;they
Iron Maiden;Public Enema Number One;turn
Iron Maiden;Public Enema Number One;to
Iron Maiden;Public Enema Number One;greed
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;you
Iron Maiden;Public Enema Number One;race
Iron Maiden;Public Enema Number One;off
Iron Maiden;Public Enema Number One;with
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;tyres
Iron Maiden;Public Enema Number One;screaming
Iron Maiden;Public Enema Number One;rolling
Iron Maiden;Public Enema Number One;thunder
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;people
Iron Maiden;Public Enema Number One;choke
Iron Maiden;Public Enema Number One;with
Iron Maiden;Public Enema Number One;poison
Iron Maiden;Public Enema Number One;children
Iron Maiden;Public Enema Number One;cry
Iron Maiden;Public Enema Number One;in
Iron Maiden;Public Enema Number One;fear
Iron Maiden;Public Enema Number One;but
Iron Maiden;Public Enema Number One;you've
Iron Maiden;Public Enema Number One;got
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;fast
Iron Maiden;Public Enema Number One;bullet
Iron Maiden;Public Enema Number One;one
Iron Maiden;Public Enema Number One;way
Iron Maiden;Public Enema Number One;ticket
Iron Maiden;Public Enema Number One;outta
Iron Maiden;Public Enema Number One;here
Iron Maiden;Public Enema Number One;fall
Iron Maiden;Public Enema Number One;on
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;knees
Iron Maiden;Public Enema Number One;today
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;pray
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;world
Iron Maiden;Public Enema Number One;will
Iron Maiden;Public Enema Number One;mend
Iron Maiden;Public Enema Number One;its
Iron Maiden;Public Enema Number One;ways
Iron Maiden;Public Enema Number One;get
Iron Maiden;Public Enema Number One;to
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;feet
Iron Maiden;Public Enema Number One;again
Iron Maiden;Public Enema Number One;refugees
Iron Maiden;Public Enema Number One;from
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;heartbreak
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;pain
Iron Maiden;Public Enema Number One;in
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;cities
Iron Maiden;Public Enema Number One;in
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;streets
Iron Maiden;Public Enema Number One;there
Iron Maiden;Public Enema Number One;a
Iron Maiden;Public Enema Number One;tension
Iron Maiden;Public Enema Number One;you
Iron Maiden;Public Enema Number One;can
Iron Maiden;Public Enema Number One;feel
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;breaking
Iron Maiden;Public Enema Number One;strain
Iron Maiden;Public Enema Number One;is
Iron Maiden;Public Enema Number One;fast
Iron Maiden;Public Enema Number One;approaching
Iron Maiden;Public Enema Number One;guns
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;riots
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;politicians
Iron Maiden;Public Enema Number One;gamble
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;lie
Iron Maiden;Public Enema Number One;to
Iron Maiden;Public Enema Number One;save
Iron Maiden;Public Enema Number One;their
Iron Maiden;Public Enema Number One;skins
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;press
Iron Maiden;Public Enema Number One;get
Iron Maiden;Public Enema Number One;fed
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;scapegoats
Iron Maiden;Public Enema Number One;public
Iron Maiden;Public Enema Number One;enema
Iron Maiden;Public Enema Number One;number
Iron Maiden;Public Enema Number One;one
Iron Maiden;Public Enema Number One;fall
Iron Maiden;Public Enema Number One;on
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;knees
Iron Maiden;Public Enema Number One;today
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;pray
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;world
Iron Maiden;Public Enema Number One;will
Iron Maiden;Public Enema Number One;mend
Iron Maiden;Public Enema Number One;its
Iron Maiden;Public Enema Number One;ways
Iron Maiden;Public Enema Number One;get
Iron Maiden;Public Enema Number One;to
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;feet
Iron Maiden;Public Enema Number One;again
Iron Maiden;Public Enema Number One;refugees
Iron Maiden;Public Enema Number One;from
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;heartbreak
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;pain
Iron Maiden;Public Enema Number One;a
Iron Maiden;Public Enema Number One;million
Iron Maiden;Public Enema Number One;network
Iron Maiden;Public Enema Number One;slaves
Iron Maiden;Public Enema Number One;in
Iron Maiden;Public Enema Number One;an
Iron Maiden;Public Enema Number One;advertising
Iron Maiden;Public Enema Number One;new
Iron Maiden;Public Enema Number One;age
Iron Maiden;Public Enema Number One;i
Iron Maiden;Public Enema Number One;don't
Iron Maiden;Public Enema Number One;need
Iron Maiden;Public Enema Number One;a
Iron Maiden;Public Enema Number One;crystal
Iron Maiden;Public Enema Number One;ball
Iron Maiden;Public Enema Number One;to
Iron Maiden;Public Enema Number One;sell
Iron Maiden;Public Enema Number One;ya
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;children
Iron Maiden;Public Enema Number One;have
Iron Maiden;Public Enema Number One;more
Iron Maiden;Public Enema Number One;brains
Iron Maiden;Public Enema Number One;than
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;drug
Iron Maiden;Public Enema Number One;infested
Iron Maiden;Public Enema Number One;remains
Iron Maiden;Public Enema Number One;california
Iron Maiden;Public Enema Number One;dreaming
Iron Maiden;Public Enema Number One;as
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;earth
Iron Maiden;Public Enema Number One;dies
Iron Maiden;Public Enema Number One;screaming
Iron Maiden;Public Enema Number One;fall
Iron Maiden;Public Enema Number One;on
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;knees
Iron Maiden;Public Enema Number One;today
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;pray
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;world
Iron Maiden;Public Enema Number One;will
Iron Maiden;Public Enema Number One;mend
Iron Maiden;Public Enema Number One;its
Iron Maiden;Public Enema Number One;ways
Iron Maiden;Public Enema Number One;get
Iron Maiden;Public Enema Number One;to
Iron Maiden;Public Enema Number One;your
Iron Maiden;Public Enema Number One;feet
Iron Maiden;Public Enema Number One;again
Iron Maiden;Public Enema Number One;refugees
Iron Maiden;Public Enema Number One;from
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;heartbreak
Iron Maiden;Public Enema Number One;and
Iron Maiden;Public Enema Number One;the
Iron Maiden;Public Enema Number One;pain
