artist_name;song_title;token
Iron Maiden;Run To The Hills;white
Iron Maiden;Run To The Hills;man
Iron Maiden;Run To The Hills;came
Iron Maiden;Run To The Hills;across
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;sea
Iron Maiden;Run To The Hills;he
Iron Maiden;Run To The Hills;brought
Iron Maiden;Run To The Hills;us
Iron Maiden;Run To The Hills;pain
Iron Maiden;Run To The Hills;and
Iron Maiden;Run To The Hills;misery
Iron Maiden;Run To The Hills;he
Iron Maiden;Run To The Hills;killed
Iron Maiden;Run To The Hills;our
Iron Maiden;Run To The Hills;tribes
Iron Maiden;Run To The Hills;he
Iron Maiden;Run To The Hills;killed
Iron Maiden;Run To The Hills;our
Iron Maiden;Run To The Hills;creed
Iron Maiden;Run To The Hills;he
Iron Maiden;Run To The Hills;took
Iron Maiden;Run To The Hills;our
Iron Maiden;Run To The Hills;game
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;his
Iron Maiden;Run To The Hills;own
Iron Maiden;Run To The Hills;need
Iron Maiden;Run To The Hills;we
Iron Maiden;Run To The Hills;fought
Iron Maiden;Run To The Hills;him
Iron Maiden;Run To The Hills;hard
Iron Maiden;Run To The Hills;we
Iron Maiden;Run To The Hills;fought
Iron Maiden;Run To The Hills;him
Iron Maiden;Run To The Hills;well
Iron Maiden;Run To The Hills;out
Iron Maiden;Run To The Hills;on
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;plains
Iron Maiden;Run To The Hills;we
Iron Maiden;Run To The Hills;gave
Iron Maiden;Run To The Hills;him
Iron Maiden;Run To The Hills;hell
Iron Maiden;Run To The Hills;but
Iron Maiden;Run To The Hills;many
Iron Maiden;Run To The Hills;came
Iron Maiden;Run To The Hills;too
Iron Maiden;Run To The Hills;much
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;cree
Iron Maiden;Run To The Hills;oh
Iron Maiden;Run To The Hills;will
Iron Maiden;Run To The Hills;we
Iron Maiden;Run To The Hills;ever
Iron Maiden;Run To The Hills;be
Iron Maiden;Run To The Hills;set
Iron Maiden;Run To The Hills;free
Iron Maiden;Run To The Hills;riding
Iron Maiden;Run To The Hills;through
Iron Maiden;Run To The Hills;dust
Iron Maiden;Run To The Hills;clouds
Iron Maiden;Run To The Hills;and
Iron Maiden;Run To The Hills;barren
Iron Maiden;Run To The Hills;wastes
Iron Maiden;Run To The Hills;white
Iron Maiden;Run To The Hills;man
Iron Maiden;Run To The Hills;came
Iron Maiden;Run To The Hills;across
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;sea
Iron Maiden;Run To The Hills;he
Iron Maiden;Run To The Hills;brought
Iron Maiden;Run To The Hills;us
Iron Maiden;Run To The Hills;pain
Iron Maiden;Run To The Hills;and
Iron Maiden;Run To The Hills;misery
Iron Maiden;Run To The Hills;he
Iron Maiden;Run To The Hills;killed
Iron Maiden;Run To The Hills;our
Iron Maiden;Run To The Hills;tribes
Iron Maiden;Run To The Hills;he
Iron Maiden;Run To The Hills;killed
Iron Maiden;Run To The Hills;our
Iron Maiden;Run To The Hills;creed
Iron Maiden;Run To The Hills;he
Iron Maiden;Run To The Hills;took
Iron Maiden;Run To The Hills;our
Iron Maiden;Run To The Hills;game
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;his
Iron Maiden;Run To The Hills;own
Iron Maiden;Run To The Hills;need
Iron Maiden;Run To The Hills;we
Iron Maiden;Run To The Hills;fought
Iron Maiden;Run To The Hills;him
Iron Maiden;Run To The Hills;hard
Iron Maiden;Run To The Hills;we
Iron Maiden;Run To The Hills;fought
Iron Maiden;Run To The Hills;him
Iron Maiden;Run To The Hills;well
Iron Maiden;Run To The Hills;out
Iron Maiden;Run To The Hills;on
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;plains
Iron Maiden;Run To The Hills;we
Iron Maiden;Run To The Hills;gave
Iron Maiden;Run To The Hills;him
Iron Maiden;Run To The Hills;hell
Iron Maiden;Run To The Hills;but
Iron Maiden;Run To The Hills;many
Iron Maiden;Run To The Hills;came
Iron Maiden;Run To The Hills;too
Iron Maiden;Run To The Hills;much
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;cree
Iron Maiden;Run To The Hills;oh
Iron Maiden;Run To The Hills;will
Iron Maiden;Run To The Hills;we
Iron Maiden;Run To The Hills;ever
Iron Maiden;Run To The Hills;be
Iron Maiden;Run To The Hills;set
Iron Maiden;Run To The Hills;free
Iron Maiden;Run To The Hills;riding
Iron Maiden;Run To The Hills;through
Iron Maiden;Run To The Hills;dust
Iron Maiden;Run To The Hills;clouds
Iron Maiden;Run To The Hills;and
Iron Maiden;Run To The Hills;barren
Iron Maiden;Run To The Hills;wastes
Iron Maiden;Run To The Hills;galloping
Iron Maiden;Run To The Hills;hard
Iron Maiden;Run To The Hills;on
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;plains
Iron Maiden;Run To The Hills;chasing
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;redskins
Iron Maiden;Run To The Hills;back
Iron Maiden;Run To The Hills;to
Iron Maiden;Run To The Hills;their
Iron Maiden;Run To The Hills;holes
Iron Maiden;Run To The Hills;fighting
Iron Maiden;Run To The Hills;them
Iron Maiden;Run To The Hills;at
Iron Maiden;Run To The Hills;their
Iron Maiden;Run To The Hills;own
Iron Maiden;Run To The Hills;game
Iron Maiden;Run To The Hills;murder
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;freedom
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;stab
Iron Maiden;Run To The Hills;in
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;back
Iron Maiden;Run To The Hills;women
Iron Maiden;Run To The Hills;and
Iron Maiden;Run To The Hills;children
Iron Maiden;Run To The Hills;are
Iron Maiden;Run To The Hills;cowards
Iron Maiden;Run To The Hills;attack
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;to
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;hills
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;your
Iron Maiden;Run To The Hills;lives
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;to
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;hills
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;your
Iron Maiden;Run To The Hills;lives
Iron Maiden;Run To The Hills;soldier
Iron Maiden;Run To The Hills;blue
Iron Maiden;Run To The Hills;in
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;barren
Iron Maiden;Run To The Hills;wastes
Iron Maiden;Run To The Hills;hunting
Iron Maiden;Run To The Hills;and
Iron Maiden;Run To The Hills;killing
Iron Maiden;Run To The Hills;a
Iron Maiden;Run To The Hills;game
Iron Maiden;Run To The Hills;raping
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;women
Iron Maiden;Run To The Hills;and
Iron Maiden;Run To The Hills;wasting
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;men
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;only
Iron Maiden;Run To The Hills;good
Iron Maiden;Run To The Hills;indians
Iron Maiden;Run To The Hills;are
Iron Maiden;Run To The Hills;tame
Iron Maiden;Run To The Hills;selling
Iron Maiden;Run To The Hills;them
Iron Maiden;Run To The Hills;whiskey
Iron Maiden;Run To The Hills;and
Iron Maiden;Run To The Hills;taking
Iron Maiden;Run To The Hills;their
Iron Maiden;Run To The Hills;gold
Iron Maiden;Run To The Hills;enslaving
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;young
Iron Maiden;Run To The Hills;and
Iron Maiden;Run To The Hills;destroying
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;old
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;to
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;hills
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;your
Iron Maiden;Run To The Hills;lives
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;to
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;hills
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;your
Iron Maiden;Run To The Hills;lives
Iron Maiden;Run To The Hills;yeah
Iron Maiden;Run To The Hills;ah
Iron Maiden;Run To The Hills;ah
Iron Maiden;Run To The Hills;ah
Iron Maiden;Run To The Hills;ah
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;to
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;hills
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;your
Iron Maiden;Run To The Hills;lives
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;to
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;hills
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;your
Iron Maiden;Run To The Hills;lives
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;to
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;hills
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;your
Iron Maiden;Run To The Hills;lives
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;to
Iron Maiden;Run To The Hills;the
Iron Maiden;Run To The Hills;hills
Iron Maiden;Run To The Hills;run
Iron Maiden;Run To The Hills;for
Iron Maiden;Run To The Hills;your
Iron Maiden;Run To The Hills;lives
