artist_name;song_title;token
Iron Maiden;Tears Of A Clown;all
Iron Maiden;Tears Of A Clown;alone
Iron Maiden;Tears Of A Clown;in
Iron Maiden;Tears Of A Clown;a
Iron Maiden;Tears Of A Clown;crowded
Iron Maiden;Tears Of A Clown;room
Iron Maiden;Tears Of A Clown;he
Iron Maiden;Tears Of A Clown;tries
Iron Maiden;Tears Of A Clown;to
Iron Maiden;Tears Of A Clown;force
Iron Maiden;Tears Of A Clown;a
Iron Maiden;Tears Of A Clown;smile
Iron Maiden;Tears Of A Clown;the
Iron Maiden;Tears Of A Clown;smile
Iron Maiden;Tears Of A Clown;it
Iron Maiden;Tears Of A Clown;beamed
Iron Maiden;Tears Of A Clown;or
Iron Maiden;Tears Of A Clown;so
Iron Maiden;Tears Of A Clown;it
Iron Maiden;Tears Of A Clown;seemed
Iron Maiden;Tears Of A Clown;but
Iron Maiden;Tears Of A Clown;never
Iron Maiden;Tears Of A Clown;reached
Iron Maiden;Tears Of A Clown;the
Iron Maiden;Tears Of A Clown;eyes
Iron Maiden;Tears Of A Clown;disguise
Iron Maiden;Tears Of A Clown;masquerading
Iron Maiden;Tears Of A Clown;as
Iron Maiden;Tears Of A Clown;the
Iron Maiden;Tears Of A Clown;funny
Iron Maiden;Tears Of A Clown;man
Iron Maiden;Tears Of A Clown;do
Iron Maiden;Tears Of A Clown;they
Iron Maiden;Tears Of A Clown;despise
Iron Maiden;Tears Of A Clown;the
Iron Maiden;Tears Of A Clown;false
Iron Maiden;Tears Of A Clown;smile
Iron Maiden;Tears Of A Clown;maketh
Iron Maiden;Tears Of A Clown;of
Iron Maiden;Tears Of A Clown;the
Iron Maiden;Tears Of A Clown;man
Iron Maiden;Tears Of A Clown;glass
Iron Maiden;Tears Of A Clown;empty
Iron Maiden;Tears Of A Clown;or
Iron Maiden;Tears Of A Clown;half
Iron Maiden;Tears Of A Clown;full
Iron Maiden;Tears Of A Clown;try
Iron Maiden;Tears Of A Clown;to
Iron Maiden;Tears Of A Clown;make
Iron Maiden;Tears Of A Clown;some
Iron Maiden;Tears Of A Clown;sense
Iron Maiden;Tears Of A Clown;or
Iron Maiden;Tears Of A Clown;sorrows
Iron Maiden;Tears Of A Clown;drown
Iron Maiden;Tears Of A Clown;all
Iron Maiden;Tears Of A Clown;looks
Iron Maiden;Tears Of A Clown;well
Iron Maiden;Tears Of A Clown;on
