artist_name;song_title;token
Iron Maiden;The Clairvoyant;feel
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;sweat
Iron Maiden;The Clairvoyant;break
Iron Maiden;The Clairvoyant;on
Iron Maiden;The Clairvoyant;my
Iron Maiden;The Clairvoyant;brow
Iron Maiden;The Clairvoyant;is
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;me
Iron Maiden;The Clairvoyant;or
Iron Maiden;The Clairvoyant;is
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;shadows
Iron Maiden;The Clairvoyant;that
Iron Maiden;The Clairvoyant;are
Iron Maiden;The Clairvoyant;dancing
Iron Maiden;The Clairvoyant;on
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;walls
Iron Maiden;The Clairvoyant;is
Iron Maiden;The Clairvoyant;this
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;dream
Iron Maiden;The Clairvoyant;or
Iron Maiden;The Clairvoyant;is
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;now
Iron Maiden;The Clairvoyant;is
Iron Maiden;The Clairvoyant;this
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;vision
Iron Maiden;The Clairvoyant;or
Iron Maiden;The Clairvoyant;normality
Iron Maiden;The Clairvoyant;i
Iron Maiden;The Clairvoyant;see
Iron Maiden;The Clairvoyant;before
Iron Maiden;The Clairvoyant;my
Iron Maiden;The Clairvoyant;eyes
Iron Maiden;The Clairvoyant;i
Iron Maiden;The Clairvoyant;wonder
Iron Maiden;The Clairvoyant;why
Iron Maiden;The Clairvoyant;i
Iron Maiden;The Clairvoyant;wonder
Iron Maiden;The Clairvoyant;how
Iron Maiden;The Clairvoyant;that
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;seems
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;powers
Iron Maiden;The Clairvoyant;getting
Iron Maiden;The Clairvoyant;stronger
Iron Maiden;The Clairvoyant;every
Iron Maiden;The Clairvoyant;day
Iron Maiden;The Clairvoyant;i
Iron Maiden;The Clairvoyant;feel
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;strength
Iron Maiden;The Clairvoyant;an
Iron Maiden;The Clairvoyant;inner
Iron Maiden;The Clairvoyant;fire
Iron Maiden;The Clairvoyant;feel
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;sweat
Iron Maiden;The Clairvoyant;break
Iron Maiden;The Clairvoyant;on
Iron Maiden;The Clairvoyant;my
Iron Maiden;The Clairvoyant;brow
Iron Maiden;The Clairvoyant;is
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;me
Iron Maiden;The Clairvoyant;or
Iron Maiden;The Clairvoyant;is
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;shadows
Iron Maiden;The Clairvoyant;that
Iron Maiden;The Clairvoyant;are
Iron Maiden;The Clairvoyant;dancing
Iron Maiden;The Clairvoyant;on
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;walls
Iron Maiden;The Clairvoyant;is
Iron Maiden;The Clairvoyant;this
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;dream
Iron Maiden;The Clairvoyant;or
Iron Maiden;The Clairvoyant;is
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;now
Iron Maiden;The Clairvoyant;is
Iron Maiden;The Clairvoyant;this
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;vision
Iron Maiden;The Clairvoyant;or
Iron Maiden;The Clairvoyant;normality
Iron Maiden;The Clairvoyant;i
Iron Maiden;The Clairvoyant;see
Iron Maiden;The Clairvoyant;before
Iron Maiden;The Clairvoyant;my
Iron Maiden;The Clairvoyant;eyes
Iron Maiden;The Clairvoyant;i
Iron Maiden;The Clairvoyant;wonder
Iron Maiden;The Clairvoyant;why
Iron Maiden;The Clairvoyant;i
Iron Maiden;The Clairvoyant;wonder
Iron Maiden;The Clairvoyant;how
Iron Maiden;The Clairvoyant;that
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;seems
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;powers
Iron Maiden;The Clairvoyant;getting
Iron Maiden;The Clairvoyant;stronger
Iron Maiden;The Clairvoyant;every
Iron Maiden;The Clairvoyant;day
Iron Maiden;The Clairvoyant;i
Iron Maiden;The Clairvoyant;feel
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;strength
Iron Maiden;The Clairvoyant;an
Iron Maiden;The Clairvoyant;inner
Iron Maiden;The Clairvoyant;fire
Iron Maiden;The Clairvoyant;but
Iron Maiden;The Clairvoyant;i'm
Iron Maiden;The Clairvoyant;scared
Iron Maiden;The Clairvoyant;i
Iron Maiden;The Clairvoyant;won't
Iron Maiden;The Clairvoyant;be
Iron Maiden;The Clairvoyant;able
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;control
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;anymore
Iron Maiden;The Clairvoyant;there
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;live
Iron Maiden;The Clairvoyant;and
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;die
Iron Maiden;The Clairvoyant;when
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;meet
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;maker
Iron Maiden;The Clairvoyant;there
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;live
Iron Maiden;The Clairvoyant;but
Iron Maiden;The Clairvoyant;isn't
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;strange
Iron Maiden;The Clairvoyant;that
Iron Maiden;The Clairvoyant;as
Iron Maiden;The Clairvoyant;soon
Iron Maiden;The Clairvoyant;as
Iron Maiden;The Clairvoyant;you're
Iron Maiden;The Clairvoyant;born
Iron Maiden;The Clairvoyant;you're
Iron Maiden;The Clairvoyant;dying
Iron Maiden;The Clairvoyant;there
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;live
Iron Maiden;The Clairvoyant;and
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;die
Iron Maiden;The Clairvoyant;when
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;meet
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;maker
Iron Maiden;The Clairvoyant;there
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;live
Iron Maiden;The Clairvoyant;but
Iron Maiden;The Clairvoyant;isn't
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;strange
Iron Maiden;The Clairvoyant;that
Iron Maiden;The Clairvoyant;as
Iron Maiden;The Clairvoyant;soon
Iron Maiden;The Clairvoyant;as
Iron Maiden;The Clairvoyant;you're
Iron Maiden;The Clairvoyant;born
Iron Maiden;The Clairvoyant;you're
Iron Maiden;The Clairvoyant;dying
Iron Maiden;The Clairvoyant;just
Iron Maiden;The Clairvoyant;by
Iron Maiden;The Clairvoyant;looking
Iron Maiden;The Clairvoyant;through
Iron Maiden;The Clairvoyant;your
Iron Maiden;The Clairvoyant;eyes
Iron Maiden;The Clairvoyant;he
Iron Maiden;The Clairvoyant;could
Iron Maiden;The Clairvoyant;see
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;future
Iron Maiden;The Clairvoyant;penetrating
Iron Maiden;The Clairvoyant;right
Iron Maiden;The Clairvoyant;in
Iron Maiden;The Clairvoyant;through
Iron Maiden;The Clairvoyant;your
Iron Maiden;The Clairvoyant;mind
Iron Maiden;The Clairvoyant;see
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;truth
Iron Maiden;The Clairvoyant;and
Iron Maiden;The Clairvoyant;see
Iron Maiden;The Clairvoyant;your
Iron Maiden;The Clairvoyant;lies
Iron Maiden;The Clairvoyant;but
Iron Maiden;The Clairvoyant;for
Iron Maiden;The Clairvoyant;all
Iron Maiden;The Clairvoyant;his
Iron Maiden;The Clairvoyant;power
Iron Maiden;The Clairvoyant;couldn't
Iron Maiden;The Clairvoyant;foresee
Iron Maiden;The Clairvoyant;his
Iron Maiden;The Clairvoyant;own
Iron Maiden;The Clairvoyant;demise
Iron Maiden;The Clairvoyant;there
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;live
Iron Maiden;The Clairvoyant;and
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;die
Iron Maiden;The Clairvoyant;when
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;meet
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;maker
Iron Maiden;The Clairvoyant;there
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;live
Iron Maiden;The Clairvoyant;but
Iron Maiden;The Clairvoyant;isn't
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;strange
Iron Maiden;The Clairvoyant;that
Iron Maiden;The Clairvoyant;as
Iron Maiden;The Clairvoyant;soon
Iron Maiden;The Clairvoyant;as
Iron Maiden;The Clairvoyant;you're
Iron Maiden;The Clairvoyant;born
Iron Maiden;The Clairvoyant;you're
Iron Maiden;The Clairvoyant;dying
Iron Maiden;The Clairvoyant;there
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;live
Iron Maiden;The Clairvoyant;and
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;die
Iron Maiden;The Clairvoyant;when
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;meet
Iron Maiden;The Clairvoyant;the
Iron Maiden;The Clairvoyant;maker
Iron Maiden;The Clairvoyant;there
Iron Maiden;The Clairvoyant;a
Iron Maiden;The Clairvoyant;time
Iron Maiden;The Clairvoyant;to
Iron Maiden;The Clairvoyant;live
Iron Maiden;The Clairvoyant;but
Iron Maiden;The Clairvoyant;isn't
Iron Maiden;The Clairvoyant;it
Iron Maiden;The Clairvoyant;strange
Iron Maiden;The Clairvoyant;that
Iron Maiden;The Clairvoyant;as
Iron Maiden;The Clairvoyant;soon
Iron Maiden;The Clairvoyant;as
Iron Maiden;The Clairvoyant;you're
Iron Maiden;The Clairvoyant;born
Iron Maiden;The Clairvoyant;you're
Iron Maiden;The Clairvoyant;dying
Iron Maiden;The Clairvoyant;i
Iron Maiden;The Clairvoyant;fell
Iron Maiden;The Clairvoyant;reborn
Iron Maiden;The Clairvoyant;again
