artist_name;song_title;token
Michael Jackson;In Our Small Way;refrain
Michael Jackson;In Our Small Way;maybe
Michael Jackson;In Our Small Way;you
Michael Jackson;In Our Small Way;and
Michael Jackson;In Our Small Way;i
Michael Jackson;In Our Small Way;can't
Michael Jackson;In Our Small Way;do
Michael Jackson;In Our Small Way;great
Michael Jackson;In Our Small Way;things
Michael Jackson;In Our Small Way;we
Michael Jackson;In Our Small Way;may
Michael Jackson;In Our Small Way;not
Michael Jackson;In Our Small Way;change
Michael Jackson;In Our Small Way;the
Michael Jackson;In Our Small Way;world
Michael Jackson;In Our Small Way;in
Michael Jackson;In Our Small Way;one
Michael Jackson;In Our Small Way;day
Michael Jackson;In Our Small Way;but
Michael Jackson;In Our Small Way;we
Michael Jackson;In Our Small Way;still
Michael Jackson;In Our Small Way;can
Michael Jackson;In Our Small Way;change
Michael Jackson;In Our Small Way;some
Michael Jackson;In Our Small Way;things
Michael Jackson;In Our Small Way;today...
Michael Jackson;In Our Small Way;in
Michael Jackson;In Our Small Way;our
Michael Jackson;In Our Small Way;small
Michael Jackson;In Our Small Way;way
Michael Jackson;In Our Small Way;empty
Michael Jackson;In Our Small Way;words
Michael Jackson;In Our Small Way;are
Michael Jackson;In Our Small Way;not
Michael Jackson;In Our Small Way;enough
Michael Jackson;In Our Small Way;where
Michael Jackson;In Our Small Way;there's
Michael Jackson;In Our Small Way;hurt
Michael Jackson;In Our Small Way;we'll
Michael Jackson;In Our Small Way;be
Michael Jackson;In Our Small Way;a
Michael Jackson;In Our Small Way;crush
Michael Jackson;In Our Small Way;when
Michael Jackson;In Our Small Way;there's
Michael Jackson;In Our Small Way;thirst
Michael Jackson;In Our Small Way;we'll
Michael Jackson;In Our Small Way;fill
Michael Jackson;In Our Small Way;each
Michael Jackson;In Our Small Way;other's
Michael Jackson;In Our Small Way;cup
Michael Jackson;In Our Small Way;because
Michael Jackson;In Our Small Way;we
Michael Jackson;In Our Small Way;care
Michael Jackson;In Our Small Way;we
Michael Jackson;In Our Small Way;love
Michael Jackson;In Our Small Way;enough
Michael Jackson;In Our Small Way;to
Michael Jackson;In Our Small Way;share
Michael Jackson;In Our Small Way;refrain
Michael Jackson;In Our Small Way;refrain
Michael Jackson;In Our Small Way;maybe
Michael Jackson;In Our Small Way;you
Michael Jackson;In Our Small Way;and
Michael Jackson;In Our Small Way;i
Michael Jackson;In Our Small Way;can't
Michael Jackson;In Our Small Way;do
Michael Jackson;In Our Small Way;great
Michael Jackson;In Our Small Way;things
Michael Jackson;In Our Small Way;we
Michael Jackson;In Our Small Way;may
Michael Jackson;In Our Small Way;not
Michael Jackson;In Our Small Way;change
Michael Jackson;In Our Small Way;the
Michael Jackson;In Our Small Way;world
Michael Jackson;In Our Small Way;in
Michael Jackson;In Our Small Way;one
Michael Jackson;In Our Small Way;day
Michael Jackson;In Our Small Way;but
Michael Jackson;In Our Small Way;we
Michael Jackson;In Our Small Way;still
Michael Jackson;In Our Small Way;can
Michael Jackson;In Our Small Way;change
Michael Jackson;In Our Small Way;some
Michael Jackson;In Our Small Way;things
Michael Jackson;In Our Small Way;today...
Michael Jackson;In Our Small Way;in
Michael Jackson;In Our Small Way;our
Michael Jackson;In Our Small Way;small
Michael Jackson;In Our Small Way;way
Michael Jackson;In Our Small Way;empty
Michael Jackson;In Our Small Way;words
Michael Jackson;In Our Small Way;are
Michael Jackson;In Our Small Way;not
Michael Jackson;In Our Small Way;enough
Michael Jackson;In Our Small Way;where
Michael Jackson;In Our Small Way;there's
Michael Jackson;In Our Small Way;hurt
Michael Jackson;In Our Small Way;we'll
Michael Jackson;In Our Small Way;be
Michael Jackson;In Our Small Way;a
Michael Jackson;In Our Small Way;crush
Michael Jackson;In Our Small Way;when
Michael Jackson;In Our Small Way;there's
Michael Jackson;In Our Small Way;thirst
Michael Jackson;In Our Small Way;we'll
Michael Jackson;In Our Small Way;fill
Michael Jackson;In Our Small Way;each
Michael Jackson;In Our Small Way;other's
Michael Jackson;In Our Small Way;cup
Michael Jackson;In Our Small Way;because
Michael Jackson;In Our Small Way;we
Michael Jackson;In Our Small Way;care
Michael Jackson;In Our Small Way;we
Michael Jackson;In Our Small Way;love
Michael Jackson;In Our Small Way;enough
Michael Jackson;In Our Small Way;to
Michael Jackson;In Our Small Way;share
Michael Jackson;In Our Small Way;refrain
Michael Jackson;In Our Small Way;maybe
Michael Jackson;In Our Small Way;you
Michael Jackson;In Our Small Way;and
Michael Jackson;In Our Small Way;i
Michael Jackson;In Our Small Way;can't
Michael Jackson;In Our Small Way;do
Michael Jackson;In Our Small Way;great
Michael Jackson;In Our Small Way;things
Michael Jackson;In Our Small Way;we
Michael Jackson;In Our Small Way;may
Michael Jackson;In Our Small Way;not
Michael Jackson;In Our Small Way;change
Michael Jackson;In Our Small Way;the
Michael Jackson;In Our Small Way;world
Michael Jackson;In Our Small Way;in
Michael Jackson;In Our Small Way;one
Michael Jackson;In Our Small Way;day
Michael Jackson;In Our Small Way;but
Michael Jackson;In Our Small Way;we
Michael Jackson;In Our Small Way;still
Michael Jackson;In Our Small Way;can
Michael Jackson;In Our Small Way;change
Michael Jackson;In Our Small Way;some
