artist_name;song_title;token
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;('round
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;'round
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;around)
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;make
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;world
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;'round
Michael Jackson;People Make The World Go Round;('round
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;'round
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;around)
Michael Jackson;People Make The World Go Round;teachers
Michael Jackson;People Make The World Go Round;on
Michael Jackson;People Make The World Go Round;strike,
Michael Jackson;People Make The World Go Round;no
Michael Jackson;People Make The World Go Round;more
Michael Jackson;People Make The World Go Round;school
Michael Jackson;People Make The World Go Round;today
Michael Jackson;People Make The World Go Round;they
Michael Jackson;People Make The World Go Round;want
Michael Jackson;People Make The World Go Round;more
Michael Jackson;People Make The World Go Round;money
Michael Jackson;People Make The World Go Round;but
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;board
Michael Jackson;People Make The World Go Round;won't
Michael Jackson;People Make The World Go Round;pay
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;everybody's
Michael Jackson;People Make The World Go Round;talkin'
Michael Jackson;People Make The World Go Round;'bout
Michael Jackson;People Make The World Go Round;ecology
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;air's
Michael Jackson;People Make The World Go Round;so
Michael Jackson;People Make The World Go Round;polluted
Michael Jackson;People Make The World Go Round;that
Michael Jackson;People Make The World Go Round;it's
Michael Jackson;People Make The World Go Round;hard
Michael Jackson;People Make The World Go Round;to
Michael Jackson;People Make The World Go Round;breathe
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;('round
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;'round
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;around)
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;make
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;world
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;'round
Michael Jackson;People Make The World Go Round;('round
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;'round
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;around)
Michael Jackson;People Make The World Go Round;teachers
Michael Jackson;People Make The World Go Round;on
Michael Jackson;People Make The World Go Round;strike,
Michael Jackson;People Make The World Go Round;no
Michael Jackson;People Make The World Go Round;more
Michael Jackson;People Make The World Go Round;school
Michael Jackson;People Make The World Go Round;today
Michael Jackson;People Make The World Go Round;they
Michael Jackson;People Make The World Go Round;want
Michael Jackson;People Make The World Go Round;more
Michael Jackson;People Make The World Go Round;money
Michael Jackson;People Make The World Go Round;but
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;board
Michael Jackson;People Make The World Go Round;won't
Michael Jackson;People Make The World Go Round;pay
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;everybody's
Michael Jackson;People Make The World Go Round;talkin'
Michael Jackson;People Make The World Go Round;'bout
Michael Jackson;People Make The World Go Round;ecology
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;air's
Michael Jackson;People Make The World Go Round;so
Michael Jackson;People Make The World Go Round;polluted
Michael Jackson;People Make The World Go Round;that
Michael Jackson;People Make The World Go Round;it's
Michael Jackson;People Make The World Go Round;hard
Michael Jackson;People Make The World Go Round;to
Michael Jackson;People Make The World Go Round;breathe
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;but
Michael Jackson;People Make The World Go Round;that's
Michael Jackson;People Make The World Go Round;what
Michael Jackson;People Make The World Go Round;makes
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;world
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;round
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;ups
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;downs
Michael Jackson;People Make The World Go Round;a
Michael Jackson;People Make The World Go Round;carousel
Michael Jackson;People Make The World Go Round;changing
Michael Jackson;People Make The World Go Round;people's
Michael Jackson;People Make The World Go Round;heads
Michael Jackson;People Make The World Go Round;around
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;underground
Michael Jackson;People Make The World Go Round;young
Michael Jackson;People Make The World Go Round;men
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;make
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;world
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;round
Michael Jackson;People Make The World Go Round;old
Michael Jackson;People Make The World Go Round;folks
Michael Jackson;People Make The World Go Round;judge
Michael Jackson;People Make The World Go Round;you
Michael Jackson;People Make The World Go Round;by
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;clothes
Michael Jackson;People Make The World Go Round;you
Michael Jackson;People Make The World Go Round;wear
Michael Jackson;People Make The World Go Round;they'd
Michael Jackson;People Make The World Go Round;swear
Michael Jackson;People Make The World Go Round;you're
Michael Jackson;People Make The World Go Round;a
Michael Jackson;People Make The World Go Round;hippy
Michael Jackson;People Make The World Go Round;if
Michael Jackson;People Make The World Go Round;you
Michael Jackson;People Make The World Go Round;have
Michael Jackson;People Make The World Go Round;long
Michael Jackson;People Make The World Go Round;hair
Michael Jackson;People Make The World Go Round;young
Michael Jackson;People Make The World Go Round;politicians
Michael Jackson;People Make The World Go Round;fight
Michael Jackson;People Make The World Go Round;for
Michael Jackson;People Make The World Go Round;poverty
Michael Jackson;People Make The World Go Round;while
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;still
Michael Jackson;People Make The World Go Round;cry
Michael Jackson;People Make The World Go Round;for
Michael Jackson;People Make The World Go Round;equality
Michael Jackson;People Make The World Go Round;but
Michael Jackson;People Make The World Go Round;that's
Michael Jackson;People Make The World Go Round;what
Michael Jackson;People Make The World Go Round;makes
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;world
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;round
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;ups
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;downs
Michael Jackson;People Make The World Go Round;a
Michael Jackson;People Make The World Go Round;carousel
Michael Jackson;People Make The World Go Round;changing
Michael Jackson;People Make The World Go Round;people's
Michael Jackson;People Make The World Go Round;heads
Michael Jackson;People Make The World Go Round;around
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;underground
Michael Jackson;People Make The World Go Round;young
Michael Jackson;People Make The World Go Round;men
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;make
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;world
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;round
Michael Jackson;People Make The World Go Round;but
Michael Jackson;People Make The World Go Round;that's
Michael Jackson;People Make The World Go Round;what
Michael Jackson;People Make The World Go Round;makes
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;world
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;round
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;ups
Michael Jackson;People Make The World Go Round;and
Michael Jackson;People Make The World Go Round;downs
Michael Jackson;People Make The World Go Round;a
Michael Jackson;People Make The World Go Round;carousel
Michael Jackson;People Make The World Go Round;changing
Michael Jackson;People Make The World Go Round;people's
Michael Jackson;People Make The World Go Round;heads
Michael Jackson;People Make The World Go Round;around
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;underground
Michael Jackson;People Make The World Go Round;young
Michael Jackson;People Make The World Go Round;men
Michael Jackson;People Make The World Go Round;people
Michael Jackson;People Make The World Go Round;make
Michael Jackson;People Make The World Go Round;the
Michael Jackson;People Make The World Go Round;world
Michael Jackson;People Make The World Go Round;go
Michael Jackson;People Make The World Go Round;round
