artist_name;song_title;token
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;fell
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;were
Michael Jackson;Remember The Time;so
Michael Jackson;Remember The Time;young
Michael Jackson;Remember The Time;and
Michael Jackson;Remember The Time;innocent
Michael Jackson;Remember The Time;then
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;how
Michael Jackson;Remember The Time;it
Michael Jackson;Remember The Time;all
Michael Jackson;Remember The Time;began
Michael Jackson;Remember The Time;it
Michael Jackson;Remember The Time;just
Michael Jackson;Remember The Time;seemed
Michael Jackson;Remember The Time;like
Michael Jackson;Remember The Time;heaven
Michael Jackson;Remember The Time;so
Michael Jackson;Remember The Time;why
Michael Jackson;Remember The Time;did
Michael Jackson;Remember The Time;it
Michael Jackson;Remember The Time;end?
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;back
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;fall
Michael Jackson;Remember The Time;we'd
Michael Jackson;Remember The Time;be
Michael Jackson;Remember The Time;together
Michael Jackson;Remember The Time;all
Michael Jackson;Remember The Time;day
Michael Jackson;Remember The Time;long
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;us
Michael Jackson;Remember The Time;holding
Michael Jackson;Remember The Time;hands
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;each
Michael Jackson;Remember The Time;other's
Michael Jackson;Remember The Time;eyes
Michael Jackson;Remember The Time;we'd
Michael Jackson;Remember The Time;stare
Michael Jackson;Remember The Time;(tell
Michael Jackson;Remember The Time;me)
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;fell
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;were
Michael Jackson;Remember The Time;so
Michael Jackson;Remember The Time;young
Michael Jackson;Remember The Time;and
Michael Jackson;Remember The Time;innocent
Michael Jackson;Remember The Time;then
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;how
Michael Jackson;Remember The Time;it
Michael Jackson;Remember The Time;all
Michael Jackson;Remember The Time;began
Michael Jackson;Remember The Time;it
Michael Jackson;Remember The Time;just
Michael Jackson;Remember The Time;seemed
Michael Jackson;Remember The Time;like
Michael Jackson;Remember The Time;heaven
Michael Jackson;Remember The Time;so
Michael Jackson;Remember The Time;why
Michael Jackson;Remember The Time;did
Michael Jackson;Remember The Time;it
Michael Jackson;Remember The Time;end?
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;back
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;fall
Michael Jackson;Remember The Time;we'd
Michael Jackson;Remember The Time;be
Michael Jackson;Remember The Time;together
Michael Jackson;Remember The Time;all
Michael Jackson;Remember The Time;day
Michael Jackson;Remember The Time;long
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;us
Michael Jackson;Remember The Time;holding
Michael Jackson;Remember The Time;hands
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;each
Michael Jackson;Remember The Time;other's
Michael Jackson;Remember The Time;eyes
Michael Jackson;Remember The Time;we'd
Michael Jackson;Remember The Time;stare
Michael Jackson;Remember The Time;(tell
Michael Jackson;Remember The Time;me)
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;fell
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;first
Michael Jackson;Remember The Time;met
Michael Jackson;Remember The Time;girl
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;fell
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;how
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;used
Michael Jackson;Remember The Time;to
Michael Jackson;Remember The Time;talk
Michael Jackson;Remember The Time;(ya
Michael Jackson;Remember The Time;know)
Michael Jackson;Remember The Time;we'd
Michael Jackson;Remember The Time;stay
Michael Jackson;Remember The Time;on
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;phone
Michael Jackson;Remember The Time;at
Michael Jackson;Remember The Time;night
Michael Jackson;Remember The Time;'til
Michael Jackson;Remember The Time;dawn
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;all
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;things
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;said
Michael Jackson;Remember The Time;like
Michael Jackson;Remember The Time;i
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;so
Michael Jackson;Remember The Time;i'll
Michael Jackson;Remember The Time;never
Michael Jackson;Remember The Time;let
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;go
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;back
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;spring
Michael Jackson;Remember The Time;every
Michael Jackson;Remember The Time;morning
Michael Jackson;Remember The Time;birds
Michael Jackson;Remember The Time;would
Michael Jackson;Remember The Time;sing
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;those
Michael Jackson;Remember The Time;special
Michael Jackson;Remember The Time;times
Michael Jackson;Remember The Time;they'll
Michael Jackson;Remember The Time;just
Michael Jackson;Remember The Time;go
Michael Jackson;Remember The Time;on
Michael Jackson;Remember The Time;and
Michael Jackson;Remember The Time;on
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;back
Michael Jackson;Remember The Time;of
Michael Jackson;Remember The Time;my
Michael Jackson;Remember The Time;mind
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;fell
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;first
Michael Jackson;Remember The Time;met
Michael Jackson;Remember The Time;girl
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;fell
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;those
Michael Jackson;Remember The Time;sweet
Michael Jackson;Remember The Time;memories
Michael Jackson;Remember The Time;will
Michael Jackson;Remember The Time;always
Michael Jackson;Remember The Time;be
Michael Jackson;Remember The Time;dear
Michael Jackson;Remember The Time;to
Michael Jackson;Remember The Time;me
Michael Jackson;Remember The Time;and
Michael Jackson;Remember The Time;girl
Michael Jackson;Remember The Time;no
Michael Jackson;Remember The Time;matter
Michael Jackson;Remember The Time;what
Michael Jackson;Remember The Time;was
Michael Jackson;Remember The Time;said
Michael Jackson;Remember The Time;i
Michael Jackson;Remember The Time;will
Michael Jackson;Remember The Time;never
Michael Jackson;Remember The Time;forget
Michael Jackson;Remember The Time;what
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;had
Michael Jackson;Remember The Time;now
Michael Jackson;Remember The Time;baby!
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;fell
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;first
Michael Jackson;Remember The Time;met
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;fell
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;fell
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;first
Michael Jackson;Remember The Time;met
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;when
Michael Jackson;Remember The Time;we
Michael Jackson;Remember The Time;fell
Michael Jackson;Remember The Time;in
Michael Jackson;Remember The Time;love
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;time
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;times
Michael Jackson;Remember The Time;ooh
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;the
Michael Jackson;Remember The Time;times
Michael Jackson;Remember The Time;do
Michael Jackson;Remember The Time;you
Michael Jackson;Remember The Time;remember
Michael Jackson;Remember The Time;girl
