artist_name;song_title;token
Michael Jackson;The Way You Make Me Feel;go
Michael Jackson;The Way You Make Me Feel;on
Michael Jackson;The Way You Make Me Feel;girl!
Michael Jackson;The Way You Make Me Feel;hey
Michael Jackson;The Way You Make Me Feel;pretty
Michael Jackson;The Way You Make Me Feel;baby
Michael Jackson;The Way You Make Me Feel;with
Michael Jackson;The Way You Make Me Feel;the
Michael Jackson;The Way You Make Me Feel;high
Michael Jackson;The Way You Make Me Feel;heels
Michael Jackson;The Way You Make Me Feel;on
Michael Jackson;The Way You Make Me Feel;you
Michael Jackson;The Way You Make Me Feel;give
Michael Jackson;The Way You Make Me Feel;me
Michael Jackson;The Way You Make Me Feel;fever
Michael Jackson;The Way You Make Me Feel;like
Michael Jackson;The Way You Make Me Feel;i've
Michael Jackson;The Way You Make Me Feel;never,
Michael Jackson;The Way You Make Me Feel;ever
Michael Jackson;The Way You Make Me Feel;known
Michael Jackson;The Way You Make Me Feel;you're
Michael Jackson;The Way You Make Me Feel;just
Michael Jackson;The Way You Make Me Feel;a
Michael Jackson;The Way You Make Me Feel;product
Michael Jackson;The Way You Make Me Feel;of
Michael Jackson;The Way You Make Me Feel;loveliness
Michael Jackson;The Way You Make Me Feel;i
Michael Jackson;The Way You Make Me Feel;like
Michael Jackson;The Way You Make Me Feel;the
Michael Jackson;The Way You Make Me Feel;groove
Michael Jackson;The Way You Make Me Feel;of
Michael Jackson;The Way You Make Me Feel;your
Michael Jackson;The Way You Make Me Feel;walk,
Michael Jackson;The Way You Make Me Feel;your
Michael Jackson;The Way You Make Me Feel;talk,
Michael Jackson;The Way You Make Me Feel;your
Michael Jackson;The Way You Make Me Feel;dress
Michael Jackson;The Way You Make Me Feel;i
Michael Jackson;The Way You Make Me Feel;feel
Michael Jackson;The Way You Make Me Feel;your
Michael Jackson;The Way You Make Me Feel;fever
Michael Jackson;The Way You Make Me Feel;from
Michael Jackson;The Way You Make Me Feel;miles
Michael Jackson;The Way You Make Me Feel;around
Michael Jackson;The Way You Make Me Feel;i'll
Michael Jackson;The Way You Make Me Feel;pick
Michael Jackson;The Way You Make Me Feel;you
Michael Jackson;The Way You Make Me Feel;up
Michael Jackson;The Way You Make Me Feel;in
Michael Jackson;The Way You Make Me Feel;my
Michael Jackson;The Way You Make Me Feel;car
Michael Jackson;The Way You Make Me Feel;and
Michael Jackson;The Way You Make Me Feel;we'll
Michael Jackson;The Way You Make Me Feel;paint
Michael Jackson;The Way You Make Me Feel;the
Michael Jackson;The Way You Make Me Feel;town
Michael Jackson;The Way You Make Me Feel;just
Michael Jackson;The Way You Make Me Feel;kiss
Michael Jackson;The Way You Make Me Feel;me
Michael Jackson;The Way You Make Me Feel;baby
Michael Jackson;The Way You Make Me Feel;and
Michael Jackson;The Way You Make Me Feel;tell
Michael Jackson;The Way You Make Me Feel;me
Michael Jackson;The Way You Make Me Feel;twice
Michael Jackson;The Way You Make Me Feel;go
Michael Jackson;The Way You Make Me Feel;on
Michael Jackson;The Way You Make Me Feel;girl!
Michael Jackson;The Way You Make Me Feel;hey
Michael Jackson;The Way You Make Me Feel;pretty
Michael Jackson;The Way You Make Me Feel;baby
Michael Jackson;The Way You Make Me Feel;with
Michael Jackson;The Way You Make Me Feel;the
Michael Jackson;The Way You Make Me Feel;high
Michael Jackson;The Way You Make Me Feel;heels
Michael Jackson;The Way You Make Me Feel;on
Michael Jackson;The Way You Make Me Feel;you
Michael Jackson;The Way You Make Me Feel;give
Michael Jackson;The Way You Make Me Feel;me
Michael Jackson;The Way You Make Me Feel;fever
Michael Jackson;The Way You Make Me Feel;like
Michael Jackson;The Way You Make Me Feel;i've
Michael Jackson;The Way You Make Me Feel;never,
Michael Jackson;The Way You Make Me Feel;ever
Michael Jackson;The Way You Make Me Feel;known
Michael Jackson;The Way You Make Me Feel;you're
Michael Jackson;The Way You Make Me Feel;just
Michael Jackson;The Way You Make Me Feel;a
Michael Jackson;The Way You Make Me Feel;product
Michael Jackson;The Way You Make Me Feel;of
Michael Jackson;The Way You Make Me Feel;loveliness
Michael Jackson;The Way You Make Me Feel;i
Michael Jackson;The Way You Make Me Feel;like
Michael Jackson;The Way You Make Me Feel;the
Michael Jackson;The Way You Make Me Feel;groove
Michael Jackson;The Way You Make Me Feel;of
Michael Jackson;The Way You Make Me Feel;your
Michael Jackson;The Way You Make Me Feel;walk,
Michael Jackson;The Way You Make Me Feel;your
Michael Jackson;The Way You Make Me Feel;talk,
Michael Jackson;The Way You Make Me Feel;your
Michael Jackson;The Way You Make Me Feel;dress
Michael Jackson;The Way You Make Me Feel;i
Michael Jackson;The Way You Make Me Feel;feel
Michael Jackson;The Way You Make Me Feel;your
Michael Jackson;The Way You Make Me Feel;fever
Michael Jackson;The Way You Make Me Feel;from
Michael Jackson;The Way You Make Me Feel;miles
Michael Jackson;The Way You Make Me Feel;around
Michael Jackson;The Way You Make Me Feel;i'll
Michael Jackson;The Way You Make Me Feel;pick
Michael Jackson;The Way You Make Me Feel;you
Michael Jackson;The Way You Make Me Feel;up
Michael Jackson;The Way You Make Me Feel;in
