artist_name;song_title;token
Michael Jackson;You Can Cry On My Shoulder;just
Michael Jackson;You Can Cry On My Shoulder;because
Michael Jackson;You Can Cry On My Shoulder;you
Michael Jackson;You Can Cry On My Shoulder;know
Michael Jackson;You Can Cry On My Shoulder;i
Michael Jackson;You Can Cry On My Shoulder;love
Michael Jackson;You Can Cry On My Shoulder;you
Michael Jackson;You Can Cry On My Shoulder;so
Michael Jackson;You Can Cry On My Shoulder;much
Michael Jackson;You Can Cry On My Shoulder;don't
Michael Jackson;You Can Cry On My Shoulder;be
Michael Jackson;You Can Cry On My Shoulder;afraid
Michael Jackson;You Can Cry On My Shoulder;to
Michael Jackson;You Can Cry On My Shoulder;tell
Michael Jackson;You Can Cry On My Shoulder;me
Michael Jackson;You Can Cry On My Shoulder;you're
Michael Jackson;You Can Cry On My Shoulder;sad
Michael Jackson;You Can Cry On My Shoulder;because
Michael Jackson;You Can Cry On My Shoulder;you
Michael Jackson;You Can Cry On My Shoulder;lost
Michael Jackson;You Can Cry On My Shoulder;his
Michael Jackson;You Can Cry On My Shoulder;love
Michael Jackson;You Can Cry On My Shoulder;though
Michael Jackson;You Can Cry On My Shoulder;your
Michael Jackson;You Can Cry On My Shoulder;love
Michael Jackson;You Can Cry On My Shoulder;is
Michael Jackson;You Can Cry On My Shoulder;not
Michael Jackson;You Can Cry On My Shoulder;for
Michael Jackson;You Can Cry On My Shoulder;me
Michael Jackson;You Can Cry On My Shoulder;i
Michael Jackson;You Can Cry On My Shoulder;don't
Michael Jackson;You Can Cry On My Shoulder;want
Michael Jackson;You Can Cry On My Shoulder;to
Michael Jackson;You Can Cry On My Shoulder;see
Michael Jackson;You Can Cry On My Shoulder;you
Michael Jackson;You Can Cry On My Shoulder;in
Michael Jackson;You Can Cry On My Shoulder;mystery,
Michael Jackson;You Can Cry On My Shoulder;so
Michael Jackson;You Can Cry On My Shoulder;come
Michael Jackson;You Can Cry On My Shoulder;on,
Michael Jackson;You Can Cry On My Shoulder;baby
Michael Jackson;You Can Cry On My Shoulder;come
Michael Jackson;You Can Cry On My Shoulder;on
Michael Jackson;You Can Cry On My Shoulder;you
Michael Jackson;You Can Cry On My Shoulder;can
Michael Jackson;You Can Cry On My Shoulder;cry
Michael Jackson;You Can Cry On My Shoulder;on
Michael Jackson;You Can Cry On My Shoulder;my
Michael Jackson;You Can Cry On My Shoulder;shoulder
Michael Jackson;You Can Cry On My Shoulder;you
Michael Jackson;You Can Cry On My Shoulder;can
Michael Jackson;You Can Cry On My Shoulder;cry
Michael Jackson;You Can Cry On My Shoulder;on
Michael Jackson;You Can Cry On My Shoulder;my
Michael Jackson;You Can Cry On My Shoulder;shoulder
Michael Jackson;You Can Cry On My Shoulder;and
Michael Jackson;You Can Cry On My Shoulder;bring
Michael Jackson;You Can Cry On My Shoulder;all
Michael Jackson;You Can Cry On My Shoulder;your
