artist_name;song_title;token
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;let
James Brown;Come Over Here;me
James Brown;Come Over Here;tell
James Brown;Come Over Here;you,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;that
James Brown;Come Over Here;i
James Brown;Come Over Here;love
James Brown;Come Over Here;you,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;and
James Brown;Come Over Here;everything,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;is
James Brown;Come Over Here;going
James Brown;Come Over Here;just
James Brown;Come Over Here;all
James Brown;Come Over Here;right,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;and
James Brown;Come Over Here;be
James Brown;Come Over Here;with
James Brown;Come Over Here;me
James Brown;Come Over Here;tonight,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;and
James Brown;Come Over Here;everything
James Brown;Come Over Here;will
James Brown;Come Over Here;be
James Brown;Come Over Here;all
James Brown;Come Over Here;right
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;let
James Brown;Come Over Here;me
James Brown;Come Over Here;tell
James Brown;Come Over Here;you,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;that
James Brown;Come Over Here;i
James Brown;Come Over Here;love
James Brown;Come Over Here;you,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;and
James Brown;Come Over Here;everything,
James Brown;Come Over Here;come
James Brown;Come Over Here;over
James Brown;Come Over Here;here
James Brown;Come Over Here;is
