artist_name;song_title;token
James Brown;I Got To Move;watch
James Brown;I Got To Move;me,
James Brown;I Got To Move;watch
James Brown;I Got To Move;me,
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;it,
James Brown;I Got To Move;watch
James Brown;I Got To Move;me
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;it,
James Brown;I Got To Move;yeeah,
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;somethin'
James Brown;I Got To Move;that
James Brown;I Got To Move;makes
James Brown;I Got To Move;me
James Brown;I Got To Move;wanna
James Brown;I Got To Move;shouta
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;somethin'
James Brown;I Got To Move;that
James Brown;I Got To Move;tells
James Brown;I Got To Move;me
James Brown;I Got To Move;what
James Brown;I Got To Move;it's
James Brown;I Got To Move;all
James Brown;I Got To Move;about
James Brown;I Got To Move;huh,
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;soul
James Brown;I Got To Move;and
James Brown;I Got To Move;i'm
James Brown;I Got To Move;super
James Brown;I Got To Move;bad
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;soul,
James Brown;I Got To Move;huh,
James Brown;I Got To Move;and
James Brown;I Got To Move;i'm
James Brown;I Got To Move;super
James Brown;I Got To Move;bad,
James Brown;I Got To Move;huh
James Brown;I Got To Move;now
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;a
James Brown;I Got To Move;move
James Brown;I Got To Move;that
James Brown;I Got To Move;tells
James Brown;I Got To Move;me
James Brown;I Got To Move;what
James Brown;I Got To Move;to
James Brown;I Got To Move;do
James Brown;I Got To Move;sometimes
James Brown;I Got To Move;i
James Brown;I Got To Move;tease
James Brown;I Got To Move;now
James Brown;I Got To Move;watch
James Brown;I Got To Move;me,
James Brown;I Got To Move;watch
James Brown;I Got To Move;me,
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;it,
James Brown;I Got To Move;watch
James Brown;I Got To Move;me
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;it,
James Brown;I Got To Move;yeeah,
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;somethin'
James Brown;I Got To Move;that
James Brown;I Got To Move;makes
James Brown;I Got To Move;me
James Brown;I Got To Move;wanna
James Brown;I Got To Move;shouta
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;somethin'
James Brown;I Got To Move;that
James Brown;I Got To Move;tells
James Brown;I Got To Move;me
James Brown;I Got To Move;what
James Brown;I Got To Move;it's
James Brown;I Got To Move;all
James Brown;I Got To Move;about
James Brown;I Got To Move;huh,
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;soul
James Brown;I Got To Move;and
James Brown;I Got To Move;i'm
James Brown;I Got To Move;super
James Brown;I Got To Move;bad
James Brown;I Got To Move;i
James Brown;I Got To Move;got
James Brown;I Got To Move;soul,
James Brown;I Got To Move;huh,
James Brown;I Got To Move;and
James Brown;I Got To Move;i'm
James Brown;I Got To Move;super
James Brown;I Got To Move;bad,
James Brown;I Got To Move;huh
