artist_name;song_title;token
Judas Priest;Better By You, Better Than Me (Live);you
Judas Priest;Better By You, Better Than Me (Live);could
Judas Priest;Better By You, Better Than Me (Live);find
Judas Priest;Better By You, Better Than Me (Live);a
Judas Priest;Better By You, Better Than Me (Live);way
Judas Priest;Better By You, Better Than Me (Live);to
Judas Priest;Better By You, Better Than Me (Live);ease
Judas Priest;Better By You, Better Than Me (Live);my
Judas Priest;Better By You, Better Than Me (Live);passion
Judas Priest;Better By You, Better Than Me (Live);you
Judas Priest;Better By You, Better Than Me (Live);listen
Judas Priest;Better By You, Better Than Me (Live);to
Judas Priest;Better By You, Better Than Me (Live);the
Judas Priest;Better By You, Better Than Me (Live);blood
Judas Priest;Better By You, Better Than Me (Live);flow
Judas Priest;Better By You, Better Than Me (Live);in
Judas Priest;Better By You, Better Than Me (Live);my
Judas Priest;Better By You, Better Than Me (Live);veins
Judas Priest;Better By You, Better Than Me (Live);you
Judas Priest;Better By You, Better Than Me (Live);hear
Judas Priest;Better By You, Better Than Me (Live);the
Judas Priest;Better By You, Better Than Me (Live);teaching
Judas Priest;Better By You, Better Than Me (Live);of
Judas Priest;Better By You, Better Than Me (Live);the
Judas Priest;Better By You, Better Than Me (Live);wind
Judas Priest;Better By You, Better Than Me (Live);tell
Judas Priest;Better By You, Better Than Me (Live);her
Judas Priest;Better By You, Better Than Me (Live);why
Judas Priest;Better By You, Better Than Me (Live);i'm
Judas Priest;Better By You, Better Than Me (Live);alive
Judas Priest;Better By You, Better Than Me (Live);within
Judas Priest;Better By You, Better Than Me (Live);i
Judas Priest;Better By You, Better Than Me (Live);can't
Judas Priest;Better By You, Better Than Me (Live);find
Judas Priest;Better By You, Better Than Me (Live);the
Judas Priest;Better By You, Better Than Me (Live);words,
Judas Priest;Better By You, Better Than Me (Live);my
Judas Priest;Better By You, Better Than Me (Live);mind
Judas Priest;Better By You, Better Than Me (Live);is
Judas Priest;Better By You, Better Than Me (Live);dead
Judas Priest;Better By You, Better Than Me (Live);it's
Judas Priest;Better By You, Better Than Me (Live);better
Judas Priest;Better By You, Better Than Me (Live);by
Judas Priest;Better By You, Better Than Me (Live);you,
Judas Priest;Better By You, Better Than Me (Live);better
Judas Priest;Better By You, Better Than Me (Live);than
Judas Priest;Better By You, Better Than Me (Live);me
Judas Priest;Better By You, Better Than Me (Live);guess,
Judas Priest;Better By You, Better Than Me (Live);you'll
Judas Priest;Better By You, Better Than Me (Live);have
Judas Priest;Better By You, Better Than Me (Live);to
Judas Priest;Better By You, Better Than Me (Live);tell
Judas Priest;Better By You, Better Than Me (Live);her
Judas Priest;Better By You, Better Than Me (Live);how
Judas Priest;Better By You, Better Than Me (Live);i
Judas Priest;Better By You, Better Than Me (Live);tried
