artist_name;song_title;token
Judas Priest;Burn In Hell;speak
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;me
Judas Priest;Burn In Hell;of
Judas Priest;Burn In Hell;those
Judas Priest;Burn In Hell;days
Judas Priest;Burn In Hell;i
Judas Priest;Burn In Hell;won't
Judas Priest;Burn In Hell;forget
Judas Priest;Burn In Hell;your
Judas Priest;Burn In Hell;worst
Judas Priest;Burn In Hell;dreams
Judas Priest;Burn In Hell;has
Judas Priest;Burn In Hell;just
Judas Priest;Burn In Hell;returned,
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;pay
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;back
Judas Priest;Burn In Hell;i'm
Judas Priest;Burn In Hell;still
Judas Priest;Burn In Hell;laughing
Judas Priest;Burn In Hell;there's
Judas Priest;Burn In Hell;not
Judas Priest;Burn In Hell;much
Judas Priest;Burn In Hell;else
Judas Priest;Burn In Hell;i
Judas Priest;Burn In Hell;can
Judas Priest;Burn In Hell;do
Judas Priest;Burn In Hell;but
Judas Priest;Burn In Hell;one's
Judas Priest;Burn In Hell;thing's
Judas Priest;Burn In Hell;certain
Judas Priest;Burn In Hell;i'm
Judas Priest;Burn In Hell;coming
Judas Priest;Burn In Hell;back
Judas Priest;Burn In Hell;for
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;have
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;got
Judas Priest;Burn In Hell;a
Judas Priest;Burn In Hell;gun
Judas Priest;Burn In Hell;do
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;remember
Judas Priest;Burn In Hell;well
Judas Priest;Burn In Hell;who
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;used
Judas Priest;Burn In Hell;it
Judas Priest;Burn In Hell;on
Judas Priest;Burn In Hell;it's
Judas Priest;Burn In Hell;time
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;burn
Judas Priest;Burn In Hell;in
Judas Priest;Burn In Hell;hell
Judas Priest;Burn In Hell;say
Judas Priest;Burn In Hell;my
Judas Priest;Burn In Hell;name
Judas Priest;Burn In Hell;i
Judas Priest;Burn In Hell;can
Judas Priest;Burn In Hell;hear
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;whisper
Judas Priest;Burn In Hell;speak
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;me
Judas Priest;Burn In Hell;of
Judas Priest;Burn In Hell;those
Judas Priest;Burn In Hell;days
Judas Priest;Burn In Hell;i
Judas Priest;Burn In Hell;won't
Judas Priest;Burn In Hell;forget
Judas Priest;Burn In Hell;your
Judas Priest;Burn In Hell;worst
Judas Priest;Burn In Hell;dreams
Judas Priest;Burn In Hell;has
Judas Priest;Burn In Hell;just
Judas Priest;Burn In Hell;returned,
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;pay
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;back
Judas Priest;Burn In Hell;i'm
Judas Priest;Burn In Hell;still
Judas Priest;Burn In Hell;laughing
Judas Priest;Burn In Hell;there's
Judas Priest;Burn In Hell;not
Judas Priest;Burn In Hell;much
Judas Priest;Burn In Hell;else
Judas Priest;Burn In Hell;i
Judas Priest;Burn In Hell;can
Judas Priest;Burn In Hell;do
Judas Priest;Burn In Hell;but
Judas Priest;Burn In Hell;one's
Judas Priest;Burn In Hell;thing's
Judas Priest;Burn In Hell;certain
Judas Priest;Burn In Hell;i'm
Judas Priest;Burn In Hell;coming
Judas Priest;Burn In Hell;back
Judas Priest;Burn In Hell;for
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;have
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;got
Judas Priest;Burn In Hell;a
Judas Priest;Burn In Hell;gun
Judas Priest;Burn In Hell;do
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;remember
Judas Priest;Burn In Hell;well
Judas Priest;Burn In Hell;who
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;used
Judas Priest;Burn In Hell;it
Judas Priest;Burn In Hell;on
Judas Priest;Burn In Hell;it's
Judas Priest;Burn In Hell;time
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;burn
Judas Priest;Burn In Hell;in
Judas Priest;Burn In Hell;hell
Judas Priest;Burn In Hell;say
Judas Priest;Burn In Hell;my
Judas Priest;Burn In Hell;name
Judas Priest;Burn In Hell;i
Judas Priest;Burn In Hell;can
Judas Priest;Burn In Hell;hear
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;whisper
Judas Priest;Burn In Hell;not
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;blame?
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;are
Judas Priest;Burn In Hell;going
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;blister
Judas Priest;Burn In Hell;scream
Judas Priest;Burn In Hell;in
Judas Priest;Burn In Hell;the
Judas Priest;Burn In Hell;night
Judas Priest;Burn In Hell;i've
Judas Priest;Burn In Hell;been
Judas Priest;Burn In Hell;counting
Judas Priest;Burn In Hell;the
Judas Priest;Burn In Hell;days
Judas Priest;Burn In Hell;it's
Judas Priest;Burn In Hell;so
Judas Priest;Burn In Hell;amusing
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;see
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;again
Judas Priest;Burn In Hell;have
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;got
Judas Priest;Burn In Hell;a
Judas Priest;Burn In Hell;gun
Judas Priest;Burn In Hell;do
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;remember
Judas Priest;Burn In Hell;well
Judas Priest;Burn In Hell;who
Judas Priest;Burn In Hell;d'ya
Judas Priest;Burn In Hell;use
Judas Priest;Burn In Hell;it
Judas Priest;Burn In Hell;on
Judas Priest;Burn In Hell;you're
Judas Priest;Burn In Hell;going
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;burn
Judas Priest;Burn In Hell;in
Judas Priest;Burn In Hell;hell
Judas Priest;Burn In Hell;die
Judas Priest;Burn In Hell;why?
Judas Priest;Burn In Hell;time
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;pay
Judas Priest;Burn In Hell;the
Judas Priest;Burn In Hell;price
Judas Priest;Burn In Hell;kill
Judas Priest;Burn In Hell;i
Judas Priest;Burn In Hell;will
Judas Priest;Burn In Hell;have
Judas Priest;Burn In Hell;my
Judas Priest;Burn In Hell;sacrifice
Judas Priest;Burn In Hell;plead
Judas Priest;Burn In Hell;with
Judas Priest;Burn In Hell;fear
Judas Priest;Burn In Hell;i
Judas Priest;Burn In Hell;am
Judas Priest;Burn In Hell;getting
Judas Priest;Burn In Hell;near
Judas Priest;Burn In Hell;friend
Judas Priest;Burn In Hell;liar
Judas Priest;Burn In Hell;time
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;eat
Judas Priest;Burn In Hell;some
Judas Priest;Burn In Hell;fire
Judas Priest;Burn In Hell;have
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;got
Judas Priest;Burn In Hell;a
Judas Priest;Burn In Hell;gun
Judas Priest;Burn In Hell;do
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;remember
Judas Priest;Burn In Hell;well
Judas Priest;Burn In Hell;who
Judas Priest;Burn In Hell;d'ya
Judas Priest;Burn In Hell;use
Judas Priest;Burn In Hell;it
Judas Priest;Burn In Hell;on
Judas Priest;Burn In Hell;you're
Judas Priest;Burn In Hell;going
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;burn
Judas Priest;Burn In Hell;in
Judas Priest;Burn In Hell;hell
Judas Priest;Burn In Hell;burn
Judas Priest;Burn In Hell;in
Judas Priest;Burn In Hell;hell
Judas Priest;Burn In Hell;i
Judas Priest;Burn In Hell;can
Judas Priest;Burn In Hell;hear
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;whisper
Judas Priest;Burn In Hell;burn
Judas Priest;Burn In Hell;in
Judas Priest;Burn In Hell;hell
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;are
Judas Priest;Burn In Hell;going
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;blister
Judas Priest;Burn In Hell;have
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;got
Judas Priest;Burn In Hell;a
Judas Priest;Burn In Hell;gun
Judas Priest;Burn In Hell;do
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;remember
Judas Priest;Burn In Hell;well
Judas Priest;Burn In Hell;who
Judas Priest;Burn In Hell;d'ya
Judas Priest;Burn In Hell;use
Judas Priest;Burn In Hell;it
Judas Priest;Burn In Hell;on
Judas Priest;Burn In Hell;you're
Judas Priest;Burn In Hell;going
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;burn
Judas Priest;Burn In Hell;in
Judas Priest;Burn In Hell;hell
Judas Priest;Burn In Hell;burn
Judas Priest;Burn In Hell;in
Judas Priest;Burn In Hell;hell
Judas Priest;Burn In Hell;i
Judas Priest;Burn In Hell;can
Judas Priest;Burn In Hell;hear
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;whisper
Judas Priest;Burn In Hell;burn
Judas Priest;Burn In Hell;in
Judas Priest;Burn In Hell;hell
Judas Priest;Burn In Hell;you
Judas Priest;Burn In Hell;are
Judas Priest;Burn In Hell;going
Judas Priest;Burn In Hell;to
Judas Priest;Burn In Hell;blister
Judas Priest;Burn In Hell;snarl
Judas Priest;Burn In Hell;like
