artist_name;song_title;token
Judas Priest;Close To You;so
Judas Priest;Close To You;many
Judas Priest;Close To You;years
Judas Priest;Close To You;that
Judas Priest;Close To You;we
Judas Priest;Close To You;were
Judas Priest;Close To You;one
Judas Priest;Close To You;so
Judas Priest;Close To You;many
Judas Priest;Close To You;things
Judas Priest;Close To You;we've
Judas Priest;Close To You;done
Judas Priest;Close To You;the
Judas Priest;Close To You;memories
Judas Priest;Close To You;alive
Judas Priest;Close To You;but
Judas Priest;Close To You;most
Judas Priest;Close To You;of
Judas Priest;Close To You;me
Judas Priest;Close To You;has
Judas Priest;Close To You;died
Judas Priest;Close To You;as
Judas Priest;Close To You;i
Judas Priest;Close To You;struggle
Judas Priest;Close To You;with
Judas Priest;Close To You;events
Judas Priest;Close To You;i'm
Judas Priest;Close To You;offered
Judas Priest;Close To You;words
Judas Priest;Close To You;of
Judas Priest;Close To You;strength
Judas Priest;Close To You;they
Judas Priest;Close To You;do
Judas Priest;Close To You;not
Judas Priest;Close To You;comprehend
Judas Priest;Close To You;the
Judas Priest;Close To You;passion
Judas Priest;Close To You;we
Judas Priest;Close To You;possessed
Judas Priest;Close To You;people
Judas Priest;Close To You;tell
Judas Priest;Close To You;me
Judas Priest;Close To You;what
Judas Priest;Close To You;to
Judas Priest;Close To You;do
Judas Priest;Close To You;tell
Judas Priest;Close To You;me
Judas Priest;Close To You;how
Judas Priest;Close To You;i
Judas Priest;Close To You;should
Judas Priest;Close To You;get
Judas Priest;Close To You;through
Judas Priest;Close To You;but
Judas Priest;Close To You;they
Judas Priest;Close To You;haven't
Judas Priest;Close To You;got
Judas Priest;Close To You;a
Judas Priest;Close To You;clue
Judas Priest;Close To You;so
Judas Priest;Close To You;many
Judas Priest;Close To You;years
Judas Priest;Close To You;that
Judas Priest;Close To You;we
Judas Priest;Close To You;were
Judas Priest;Close To You;one
Judas Priest;Close To You;so
Judas Priest;Close To You;many
Judas Priest;Close To You;things
Judas Priest;Close To You;we've
Judas Priest;Close To You;done
Judas Priest;Close To You;the
Judas Priest;Close To You;memories
Judas Priest;Close To You;alive
Judas Priest;Close To You;but
Judas Priest;Close To You;most
Judas Priest;Close To You;of
Judas Priest;Close To You;me
Judas Priest;Close To You;has
Judas Priest;Close To You;died
Judas Priest;Close To You;as
Judas Priest;Close To You;i
Judas Priest;Close To You;struggle
Judas Priest;Close To You;with
Judas Priest;Close To You;events
Judas Priest;Close To You;i'm
Judas Priest;Close To You;offered
Judas Priest;Close To You;words
Judas Priest;Close To You;of
Judas Priest;Close To You;strength
Judas Priest;Close To You;they
Judas Priest;Close To You;do
Judas Priest;Close To You;not
Judas Priest;Close To You;comprehend
Judas Priest;Close To You;the
Judas Priest;Close To You;passion
Judas Priest;Close To You;we
Judas Priest;Close To You;possessed
Judas Priest;Close To You;people
Judas Priest;Close To You;tell
Judas Priest;Close To You;me
Judas Priest;Close To You;what
Judas Priest;Close To You;to
Judas Priest;Close To You;do
Judas Priest;Close To You;tell
Judas Priest;Close To You;me
Judas Priest;Close To You;how
Judas Priest;Close To You;i
Judas Priest;Close To You;should
Judas Priest;Close To You;get
Judas Priest;Close To You;through
Judas Priest;Close To You;but
Judas Priest;Close To You;they
Judas Priest;Close To You;haven't
Judas Priest;Close To You;got
Judas Priest;Close To You;a
Judas Priest;Close To You;clue
Judas Priest;Close To You;no
Judas Priest;Close To You;one
Judas Priest;Close To You;else
Judas Priest;Close To You;comes
Judas Priest;Close To You;close
Judas Priest;Close To You;to
Judas Priest;Close To You;you
Judas Priest;Close To You;i
Judas Priest;Close To You;see
Judas Priest;Close To You;your
Judas Priest;Close To You;eyes
Judas Priest;Close To You;before
Judas Priest;Close To You;they
Judas Priest;Close To You;closed
Judas Priest;Close To You;they
Judas Priest;Close To You;looked
Judas Priest;Close To You;right
Judas Priest;Close To You;inside
Judas Priest;Close To You;my
Judas Priest;Close To You;soul
Judas Priest;Close To You;and
Judas Priest;Close To You;they
Judas Priest;Close To You;asked
Judas Priest;Close To You;me
Judas Priest;Close To You;not
Judas Priest;Close To You;to
Judas Priest;Close To You;grieve
Judas Priest;Close To You;i
Judas Priest;Close To You;tried
Judas Priest;Close To You;but
Judas Priest;Close To You;still
Judas Priest;Close To You;i
Judas Priest;Close To You;bleed
Judas Priest;Close To You;i
Judas Priest;Close To You;wake
Judas Priest;Close To You;up,
Judas Priest;Close To You;i
Judas Priest;Close To You;break
Judas Priest;Close To You;up
Judas Priest;Close To You;try
Judas Priest;Close To You;hard
Judas Priest;Close To You;to
Judas Priest;Close To You;shake
Judas Priest;Close To You;off
Judas Priest;Close To You;the
Judas Priest;Close To You;desolation
Judas Priest;Close To You;as
Judas Priest;Close To You;it
Judas Priest;Close To You;grows
Judas Priest;Close To You;as
Judas Priest;Close To You;nothing
Judas Priest;Close To You;else
Judas Priest;Close To You;comes
Judas Priest;Close To You;close
Judas Priest;Close To You;and
Judas Priest;Close To You;as
Judas Priest;Close To You;i
Judas Priest;Close To You;stand
Judas Priest;Close To You;here
Judas Priest;Close To You;by
Judas Priest;Close To You;the
Judas Priest;Close To You;grave
Judas Priest;Close To You;and
Judas Priest;Close To You;the
Judas Priest;Close To You;wind
Judas Priest;Close To You;calls
Judas Priest;Close To You;out
Judas Priest;Close To You;your
Judas Priest;Close To You;name
Judas Priest;Close To You;i
Judas Priest;Close To You;know
Judas Priest;Close To You;that
Judas Priest;Close To You;time
Judas Priest;Close To You;could
Judas Priest;Close To You;never
Judas Priest;Close To You;heal
Judas Priest;Close To You;the
Judas Priest;Close To You;emptiness
Judas Priest;Close To You;i
Judas Priest;Close To You;feel
Judas Priest;Close To You;people
Judas Priest;Close To You;try
Judas Priest;Close To You;to
Judas Priest;Close To You;give
Judas Priest;Close To You;me
Judas Priest;Close To You;hope
Judas Priest;Close To You;tell
Judas Priest;Close To You;me
Judas Priest;Close To You;how
Judas Priest;Close To You;i
Judas Priest;Close To You;should
Judas Priest;Close To You;let
Judas Priest;Close To You;go
Judas Priest;Close To You;but
Judas Priest;Close To You;they'll
Judas Priest;Close To You;never
Judas Priest;Close To You;really
Judas Priest;Close To You;know
Judas Priest;Close To You;'cause
Judas Priest;Close To You;there's
Judas Priest;Close To You;nothing
Judas Priest;Close To You;else
Judas Priest;Close To You;comes
Judas Priest;Close To You;close
Judas Priest;Close To You;people
Judas Priest;Close To You;tell
Judas Priest;Close To You;me
Judas Priest;Close To You;what
Judas Priest;Close To You;to
Judas Priest;Close To You;do
Judas Priest;Close To You;tell
Judas Priest;Close To You;me
Judas Priest;Close To You;how
Judas Priest;Close To You;i
Judas Priest;Close To You;should
Judas Priest;Close To You;get
Judas Priest;Close To You;through
Judas Priest;Close To You;but
Judas Priest;Close To You;they
Judas Priest;Close To You;haven't
Judas Priest;Close To You;got
Judas Priest;Close To You;a
Judas Priest;Close To You;clue
Judas Priest;Close To You;no
Judas Priest;Close To You;one
Judas Priest;Close To You;else
Judas Priest;Close To You;comes
Judas Priest;Close To You;close
Judas Priest;Close To You;to
Judas Priest;Close To You;you
