artist_name;song_title;token
Judas Priest;Evil Fantasies;we
Judas Priest;Evil Fantasies;turn
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;face
Judas Priest;Evil Fantasies;each
Judas Priest;Evil Fantasies;other
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;fingers
Judas Priest;Evil Fantasies;pull
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;hair
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;wince
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;jerk
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;wrist
Judas Priest;Evil Fantasies;off
Judas Priest;Evil Fantasies;i
Judas Priest;Evil Fantasies;bite
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;lip
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;stare
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;stance
Judas Priest;Evil Fantasies;at
Judas Priest;Evil Fantasies;once
Judas Priest;Evil Fantasies;defiant
Judas Priest;Evil Fantasies;i'm
Judas Priest;Evil Fantasies;rigid
Judas Priest;Evil Fantasies;to
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;pose
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;clench
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;teeth
Judas Priest;Evil Fantasies;in
Judas Priest;Evil Fantasies;anger
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;loving
Judas Priest;Evil Fantasies;swells
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;grows
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;give
Judas Priest;Evil Fantasies;me
Judas Priest;Evil Fantasies;evil
Judas Priest;Evil Fantasies;fantasies
Judas Priest;Evil Fantasies;i
Judas Priest;Evil Fantasies;wanna
Judas Priest;Evil Fantasies;get
Judas Priest;Evil Fantasies;inside
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;mind
Judas Priest;Evil Fantasies;come
Judas Priest;Evil Fantasies;on
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;live
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;fantasies
Judas Priest;Evil Fantasies;we
Judas Priest;Evil Fantasies;turn
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;face
Judas Priest;Evil Fantasies;each
Judas Priest;Evil Fantasies;other
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;fingers
Judas Priest;Evil Fantasies;pull
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;hair
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;wince
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;jerk
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;wrist
Judas Priest;Evil Fantasies;off
Judas Priest;Evil Fantasies;i
Judas Priest;Evil Fantasies;bite
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;lip
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;stare
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;stance
Judas Priest;Evil Fantasies;at
Judas Priest;Evil Fantasies;once
Judas Priest;Evil Fantasies;defiant
Judas Priest;Evil Fantasies;i'm
Judas Priest;Evil Fantasies;rigid
Judas Priest;Evil Fantasies;to
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;pose
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;clench
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;teeth
Judas Priest;Evil Fantasies;in
Judas Priest;Evil Fantasies;anger
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;loving
Judas Priest;Evil Fantasies;swells
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;grows
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;give
Judas Priest;Evil Fantasies;me
Judas Priest;Evil Fantasies;evil
Judas Priest;Evil Fantasies;fantasies
Judas Priest;Evil Fantasies;i
Judas Priest;Evil Fantasies;wanna
Judas Priest;Evil Fantasies;get
Judas Priest;Evil Fantasies;inside
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;mind
Judas Priest;Evil Fantasies;come
Judas Priest;Evil Fantasies;on
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;live
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;fantasies
Judas Priest;Evil Fantasies;i'll
Judas Priest;Evil Fantasies;show
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;evil
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;can't
Judas Priest;Evil Fantasies;hide
Judas Priest;Evil Fantasies;you're
Judas Priest;Evil Fantasies;dragged
Judas Priest;Evil Fantasies;into
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;vision
Judas Priest;Evil Fantasies;trapped,
Judas Priest;Evil Fantasies;serving
Judas Priest;Evil Fantasies;to
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;need
Judas Priest;Evil Fantasies;maybe
Judas Priest;Evil Fantasies;imagination
Judas Priest;Evil Fantasies;is
Judas Priest;Evil Fantasies;where
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;dark
Judas Priest;Evil Fantasies;side
Judas Priest;Evil Fantasies;feeds
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;slide
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;nails
Judas Priest;Evil Fantasies;down
Judas Priest;Evil Fantasies;in
Judas Priest;Evil Fantasies;me
Judas Priest;Evil Fantasies;i
Judas Priest;Evil Fantasies;raise
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;structure
Judas Priest;Evil Fantasies;high
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;pout,
Judas Priest;Evil Fantasies;i
Judas Priest;Evil Fantasies;snarl,
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;whimper
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;wave
Judas Priest;Evil Fantasies;compassion
Judas Priest;Evil Fantasies;by
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;give
Judas Priest;Evil Fantasies;me
Judas Priest;Evil Fantasies;evil
Judas Priest;Evil Fantasies;fantasies
Judas Priest;Evil Fantasies;i
Judas Priest;Evil Fantasies;wanna
Judas Priest;Evil Fantasies;get
Judas Priest;Evil Fantasies;inside
Judas Priest;Evil Fantasies;your
Judas Priest;Evil Fantasies;mind
Judas Priest;Evil Fantasies;come
Judas Priest;Evil Fantasies;on
Judas Priest;Evil Fantasies;and
Judas Priest;Evil Fantasies;live
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;fantasies
Judas Priest;Evil Fantasies;i'll
Judas Priest;Evil Fantasies;show
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;evil
Judas Priest;Evil Fantasies;you
Judas Priest;Evil Fantasies;can't
Judas Priest;Evil Fantasies;hide
Judas Priest;Evil Fantasies;gonna
Judas Priest;Evil Fantasies;take
Judas Priest;Evil Fantasies;you,
Judas Priest;Evil Fantasies;gotta
Judas Priest;Evil Fantasies;get
Judas Priest;Evil Fantasies;through
Judas Priest;Evil Fantasies;gonna
Judas Priest;Evil Fantasies;make
Judas Priest;Evil Fantasies;you,
Judas Priest;Evil Fantasies;do
Judas Priest;Evil Fantasies;what
Judas Priest;Evil Fantasies;i
Judas Priest;Evil Fantasies;want
Judas Priest;Evil Fantasies;you're
Judas Priest;Evil Fantasies;dragged
Judas Priest;Evil Fantasies;into
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;vision
Judas Priest;Evil Fantasies;trapped,
Judas Priest;Evil Fantasies;serving
Judas Priest;Evil Fantasies;to
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;need
Judas Priest;Evil Fantasies;maybe
Judas Priest;Evil Fantasies;imagination
Judas Priest;Evil Fantasies;is
Judas Priest;Evil Fantasies;where
Judas Priest;Evil Fantasies;my
Judas Priest;Evil Fantasies;dark
Judas Priest;Evil Fantasies;side
Judas Priest;Evil Fantasies;feeds
