artist_name;song_title;token
Judas Priest;Freewheel Burning;fast
Judas Priest;Freewheel Burning;and
Judas Priest;Freewheel Burning;furious
Judas Priest;Freewheel Burning;we
Judas Priest;Freewheel Burning;ride
Judas Priest;Freewheel Burning;the
Judas Priest;Freewheel Burning;universe
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;carve
Judas Priest;Freewheel Burning;a
Judas Priest;Freewheel Burning;road
Judas Priest;Freewheel Burning;for
Judas Priest;Freewheel Burning;us
Judas Priest;Freewheel Burning;that
Judas Priest;Freewheel Burning;slices
Judas Priest;Freewheel Burning;every
Judas Priest;Freewheel Burning;curve
Judas Priest;Freewheel Burning;in
Judas Priest;Freewheel Burning;sight
Judas Priest;Freewheel Burning;we
Judas Priest;Freewheel Burning;accelerate,
Judas Priest;Freewheel Burning;no
Judas Priest;Freewheel Burning;time
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;hesitate
Judas Priest;Freewheel Burning;this
Judas Priest;Freewheel Burning;load
Judas Priest;Freewheel Burning;will
Judas Priest;Freewheel Burning;detonate
Judas Priest;Freewheel Burning;whoever
Judas Priest;Freewheel Burning;would
Judas Priest;Freewheel Burning;contend
Judas Priest;Freewheel Burning;its
Judas Priest;Freewheel Burning;right
Judas Priest;Freewheel Burning;born
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;lead
Judas Priest;Freewheel Burning;at
Judas Priest;Freewheel Burning;breakneck
Judas Priest;Freewheel Burning;speed
Judas Priest;Freewheel Burning;with
Judas Priest;Freewheel Burning;high
Judas Priest;Freewheel Burning;octane
Judas Priest;Freewheel Burning;we're
Judas Priest;Freewheel Burning;spitting
Judas Priest;Freewheel Burning;flames
Judas Priest;Freewheel Burning;freewheel
Judas Priest;Freewheel Burning;burning
Judas Priest;Freewheel Burning;freewheel
Judas Priest;Freewheel Burning;burning
Judas Priest;Freewheel Burning;fast
Judas Priest;Freewheel Burning;and
Judas Priest;Freewheel Burning;furious
Judas Priest;Freewheel Burning;we
Judas Priest;Freewheel Burning;ride
Judas Priest;Freewheel Burning;the
Judas Priest;Freewheel Burning;universe
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;carve
Judas Priest;Freewheel Burning;a
Judas Priest;Freewheel Burning;road
Judas Priest;Freewheel Burning;for
Judas Priest;Freewheel Burning;us
Judas Priest;Freewheel Burning;that
Judas Priest;Freewheel Burning;slices
Judas Priest;Freewheel Burning;every
Judas Priest;Freewheel Burning;curve
Judas Priest;Freewheel Burning;in
Judas Priest;Freewheel Burning;sight
Judas Priest;Freewheel Burning;we
Judas Priest;Freewheel Burning;accelerate,
Judas Priest;Freewheel Burning;no
Judas Priest;Freewheel Burning;time
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;hesitate
Judas Priest;Freewheel Burning;this
Judas Priest;Freewheel Burning;load
Judas Priest;Freewheel Burning;will
Judas Priest;Freewheel Burning;detonate
Judas Priest;Freewheel Burning;whoever
Judas Priest;Freewheel Burning;would
Judas Priest;Freewheel Burning;contend
Judas Priest;Freewheel Burning;its
Judas Priest;Freewheel Burning;right
Judas Priest;Freewheel Burning;born
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;lead
Judas Priest;Freewheel Burning;at
Judas Priest;Freewheel Burning;breakneck
Judas Priest;Freewheel Burning;speed
Judas Priest;Freewheel Burning;with
Judas Priest;Freewheel Burning;high
Judas Priest;Freewheel Burning;octane
Judas Priest;Freewheel Burning;we're
Judas Priest;Freewheel Burning;spitting
Judas Priest;Freewheel Burning;flames
Judas Priest;Freewheel Burning;freewheel
Judas Priest;Freewheel Burning;burning
Judas Priest;Freewheel Burning;freewheel
Judas Priest;Freewheel Burning;burning
Judas Priest;Freewheel Burning;on
Judas Priest;Freewheel Burning;we
Judas Priest;Freewheel Burning;catapult,
Judas Priest;Freewheel Burning;we're
Judas Priest;Freewheel Burning;thrusting
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;the
Judas Priest;Freewheel Burning;hilt
Judas Priest;Freewheel Burning;unearthing
Judas Priest;Freewheel Burning;every
Judas Priest;Freewheel Burning;fault,
Judas Priest;Freewheel Burning;go
Judas Priest;Freewheel Burning;headlong
Judas Priest;Freewheel Burning;into
Judas Priest;Freewheel Burning;any
Judas Priest;Freewheel Burning;dare
Judas Priest;Freewheel Burning;we
Judas Priest;Freewheel Burning;don't
Judas Priest;Freewheel Burning;accept
Judas Priest;Freewheel Burning;defeat,
Judas Priest;Freewheel Burning;we
Judas Priest;Freewheel Burning;never
Judas Priest;Freewheel Burning;will
Judas Priest;Freewheel Burning;retreat
Judas Priest;Freewheel Burning;we
Judas Priest;Freewheel Burning;blaze
Judas Priest;Freewheel Burning;with
Judas Priest;Freewheel Burning;scorching
Judas Priest;Freewheel Burning;heat,
Judas Priest;Freewheel Burning;obliteration's
Judas Priest;Freewheel Burning;everywhere
Judas Priest;Freewheel Burning;born
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;lead
Judas Priest;Freewheel Burning;at
Judas Priest;Freewheel Burning;breakneck
Judas Priest;Freewheel Burning;speed
Judas Priest;Freewheel Burning;with
Judas Priest;Freewheel Burning;high
Judas Priest;Freewheel Burning;octane
Judas Priest;Freewheel Burning;we're
Judas Priest;Freewheel Burning;spitting
Judas Priest;Freewheel Burning;flames
Judas Priest;Freewheel Burning;freewheel
Judas Priest;Freewheel Burning;burning
Judas Priest;Freewheel Burning;freewheel
Judas Priest;Freewheel Burning;burning
Judas Priest;Freewheel Burning;look
Judas Priest;Freewheel Burning;before
Judas Priest;Freewheel Burning;you,
Judas Priest;Freewheel Burning;leap
Judas Priest;Freewheel Burning;has
Judas Priest;Freewheel Burning;never
Judas Priest;Freewheel Burning;been
Judas Priest;Freewheel Burning;the
Judas Priest;Freewheel Burning;way
Judas Priest;Freewheel Burning;we
Judas Priest;Freewheel Burning;keep,
Judas Priest;Freewheel Burning;our
Judas Priest;Freewheel Burning;road
Judas Priest;Freewheel Burning;is
Judas Priest;Freewheel Burning;free
Judas Priest;Freewheel Burning;charging
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;the
Judas Priest;Freewheel Burning;top
Judas Priest;Freewheel Burning;and
Judas Priest;Freewheel Burning;never
Judas Priest;Freewheel Burning;give
Judas Priest;Freewheel Burning;in,
Judas Priest;Freewheel Burning;never
Judas Priest;Freewheel Burning;stops
Judas Priest;Freewheel Burning;the
Judas Priest;Freewheel Burning;way
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;be
Judas Priest;Freewheel Burning;hold
Judas Priest;Freewheel Burning;on
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;the
Judas Priest;Freewheel Burning;lead
Judas Priest;Freewheel Burning;with
Judas Priest;Freewheel Burning;all
Judas Priest;Freewheel Burning;your
Judas Priest;Freewheel Burning;will
Judas Priest;Freewheel Burning;and
Judas Priest;Freewheel Burning;concede,
Judas Priest;Freewheel Burning;you'll
Judas Priest;Freewheel Burning;find
Judas Priest;Freewheel Burning;there's
Judas Priest;Freewheel Burning;life
Judas Priest;Freewheel Burning;with
Judas Priest;Freewheel Burning;victory
Judas Priest;Freewheel Burning;on
Judas Priest;Freewheel Burning;high
Judas Priest;Freewheel Burning;look
Judas Priest;Freewheel Burning;before
Judas Priest;Freewheel Burning;you,
Judas Priest;Freewheel Burning;leap
Judas Priest;Freewheel Burning;has
Judas Priest;Freewheel Burning;never
Judas Priest;Freewheel Burning;been
Judas Priest;Freewheel Burning;the
Judas Priest;Freewheel Burning;way
Judas Priest;Freewheel Burning;we
Judas Priest;Freewheel Burning;keep,
Judas Priest;Freewheel Burning;our
Judas Priest;Freewheel Burning;road
Judas Priest;Freewheel Burning;is
Judas Priest;Freewheel Burning;free
Judas Priest;Freewheel Burning;charging
Judas Priest;Freewheel Burning;to
Judas Priest;Freewheel Burning;the
Judas Priest;Freewheel Burning;top
