artist_name;song_title;token
Judas Priest;One On One;i
Judas Priest;One On One;am
Judas Priest;One On One;your
Judas Priest;One On One;darkest
Judas Priest;One On One;hour
Judas Priest;One On One;i
Judas Priest;One On One;am
Judas Priest;One On One;your
Judas Priest;One On One;fall
Judas Priest;One On One;from
Judas Priest;One On One;power
Judas Priest;One On One;i
Judas Priest;One On One;am
Judas Priest;One On One;the
Judas Priest;One On One;voice
Judas Priest;One On One;you
Judas Priest;One On One;dread
Judas Priest;One On One;and
Judas Priest;One On One;i'm
Judas Priest;One On One;screaming
Judas Priest;One On One;out
Judas Priest;One On One;inside
Judas Priest;One On One;your
Judas Priest;One On One;head
Judas Priest;One On One;i
Judas Priest;One On One;am
Judas Priest;One On One;the
Judas Priest;One On One;final
Judas Priest;One On One;count
Judas Priest;One On One;i
Judas Priest;One On One;am
Judas Priest;One On One;your
Judas Priest;One On One;demons
Judas Priest;One On One;out
Judas Priest;One On One;i
Judas Priest;One On One;am
Judas Priest;One On One;the
Judas Priest;One On One;worst
Judas Priest;One On One;demise
Judas Priest;One On One;i'm
Judas Priest;One On One;gonna
Judas Priest;One On One;cut
Judas Priest;One On One;your
Judas Priest;One On One;big
Judas Priest;One On One;words
Judas Priest;One On One;down
Judas Priest;One On One;to
Judas Priest;One On One;size
Judas Priest;One On One;what
Judas Priest;One On One;is
Judas Priest;One On One;this?
Judas Priest;One On One;i
Judas Priest;One On One;hear
Judas Priest;One On One;you
Judas Priest;One On One;shout
Judas Priest;One On One;face
Judas Priest;One On One;to
Judas Priest;One On One;face
Judas Priest;One On One;i'm
Judas Priest;One On One;gonna
Judas Priest;One On One;take
Judas Priest;One On One;you
Judas Priest;One On One;out
Judas Priest;One On One;one
Judas Priest;One On One;on
Judas Priest;One On One;one,
Judas Priest;One On One;bring
Judas Priest;One On One;it
Judas Priest;One On One;on
Judas Priest;One On One;i
Judas Priest;One On One;am
Judas Priest;One On One;your
Judas Priest;One On One;darkest
Judas Priest;One On One;hour
Judas Priest;One On One;i
Judas Priest;One On One;am
Judas Priest;One On One;your
Judas Priest;One On One;fall
Judas Priest;One On One;from
Judas Priest;One On One;power
Judas Priest;One On One;i
Judas Priest;One On One;am
Judas Priest;One On One;the
Judas Priest;One On One;voice
Judas Priest;One On One;you
Judas Priest;One On One;dread
Judas Priest;One On One;and
Judas Priest;One On One;i'm
Judas Priest;One On One;screaming
