artist_name;song_title;token
Judas Priest;Some Heads Are Gonna Roll;you
Judas Priest;Some Heads Are Gonna Roll;can
Judas Priest;Some Heads Are Gonna Roll;look
Judas Priest;Some Heads Are Gonna Roll;to
Judas Priest;Some Heads Are Gonna Roll;the
Judas Priest;Some Heads Are Gonna Roll;left
Judas Priest;Some Heads Are Gonna Roll;and
Judas Priest;Some Heads Are Gonna Roll;look
Judas Priest;Some Heads Are Gonna Roll;to
Judas Priest;Some Heads Are Gonna Roll;the
Judas Priest;Some Heads Are Gonna Roll;right
Judas Priest;Some Heads Are Gonna Roll;but
Judas Priest;Some Heads Are Gonna Roll;you
Judas Priest;Some Heads Are Gonna Roll;will
Judas Priest;Some Heads Are Gonna Roll;live
Judas Priest;Some Heads Are Gonna Roll;in
Judas Priest;Some Heads Are Gonna Roll;danger
Judas Priest;Some Heads Are Gonna Roll;tonite
Judas Priest;Some Heads Are Gonna Roll;when
Judas Priest;Some Heads Are Gonna Roll;the
Judas Priest;Some Heads Are Gonna Roll;enemy
Judas Priest;Some Heads Are Gonna Roll;comes
Judas Priest;Some Heads Are Gonna Roll;he
Judas Priest;Some Heads Are Gonna Roll;will
Judas Priest;Some Heads Are Gonna Roll;never
Judas Priest;Some Heads Are Gonna Roll;be
Judas Priest;Some Heads Are Gonna Roll;heard
Judas Priest;Some Heads Are Gonna Roll;he'll
Judas Priest;Some Heads Are Gonna Roll;blow
Judas Priest;Some Heads Are Gonna Roll;your
Judas Priest;Some Heads Are Gonna Roll;mind
Judas Priest;Some Heads Are Gonna Roll;and
Judas Priest;Some Heads Are Gonna Roll;not
Judas Priest;Some Heads Are Gonna Roll;say
Judas Priest;Some Heads Are Gonna Roll;a
Judas Priest;Some Heads Are Gonna Roll;word
Judas Priest;Some Heads Are Gonna Roll;blinding
Judas Priest;Some Heads Are Gonna Roll;lights-flashing
Judas Priest;Some Heads Are Gonna Roll;colors
Judas Priest;Some Heads Are Gonna Roll;sleepless
Judas Priest;Some Heads Are Gonna Roll;nights
Judas Priest;Some Heads Are Gonna Roll;if
Judas Priest;Some Heads Are Gonna Roll;the
Judas Priest;Some Heads Are Gonna Roll;man
Judas Priest;Some Heads Are Gonna Roll;with
Judas Priest;Some Heads Are Gonna Roll;the
Judas Priest;Some Heads Are Gonna Roll;power
Judas Priest;Some Heads Are Gonna Roll;can't
Judas Priest;Some Heads Are Gonna Roll;keep
Judas Priest;Some Heads Are Gonna Roll;it
Judas Priest;Some Heads Are Gonna Roll;under
Judas Priest;Some Heads Are Gonna Roll;control
Judas Priest;Some Heads Are Gonna Roll;some
Judas Priest;Some Heads Are Gonna Roll;heads
Judas Priest;Some Heads Are Gonna Roll;are
Judas Priest;Some Heads Are Gonna Roll;gonna
Judas Priest;Some Heads Are Gonna Roll;roll
Judas Priest;Some Heads Are Gonna Roll;you
Judas Priest;Some Heads Are Gonna Roll;can
Judas Priest;Some Heads Are Gonna Roll;look
Judas Priest;Some Heads Are Gonna Roll;to
Judas Priest;Some Heads Are Gonna Roll;the
Judas Priest;Some Heads Are Gonna Roll;left
Judas Priest;Some Heads Are Gonna Roll;and
Judas Priest;Some Heads Are Gonna Roll;look
Judas Priest;Some Heads Are Gonna Roll;to
Judas Priest;Some Heads Are Gonna Roll;the
Judas Priest;Some Heads Are Gonna Roll;right
Judas Priest;Some Heads Are Gonna Roll;but
Judas Priest;Some Heads Are Gonna Roll;you
Judas Priest;Some Heads Are Gonna Roll;will
Judas Priest;Some Heads Are Gonna Roll;live
Judas Priest;Some Heads Are Gonna Roll;in
Judas Priest;Some Heads Are Gonna Roll;danger
Judas Priest;Some Heads Are Gonna Roll;tonite
Judas Priest;Some Heads Are Gonna Roll;when
