artist_name;song_title;token
Judas Priest;Victim Of Changes;whiskey
Judas Priest;Victim Of Changes;woman,
Judas Priest;Victim Of Changes;don't
Judas Priest;Victim Of Changes;you
Judas Priest;Victim Of Changes;know
Judas Priest;Victim Of Changes;that
Judas Priest;Victim Of Changes;you
Judas Priest;Victim Of Changes;are
Judas Priest;Victim Of Changes;driving
Judas Priest;Victim Of Changes;me
Judas Priest;Victim Of Changes;insane?
Judas Priest;Victim Of Changes;liquor
Judas Priest;Victim Of Changes;you
Judas Priest;Victim Of Changes;give
Judas Priest;Victim Of Changes;stems
Judas Priest;Victim Of Changes;your
Judas Priest;Victim Of Changes;will
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;live,
Judas Priest;Victim Of Changes;it
Judas Priest;Victim Of Changes;gets
Judas Priest;Victim Of Changes;right
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;my
Judas Priest;Victim Of Changes;brain
Judas Priest;Victim Of Changes;you're
Judas Priest;Victim Of Changes;trying
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;find
Judas Priest;Victim Of Changes;your
Judas Priest;Victim Of Changes;way
Judas Priest;Victim Of Changes;through
Judas Priest;Victim Of Changes;life
Judas Priest;Victim Of Changes;you're
Judas Priest;Victim Of Changes;trying
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;get
Judas Priest;Victim Of Changes;some
Judas Priest;Victim Of Changes;new
Judas Priest;Victim Of Changes;direction
Judas Priest;Victim Of Changes;another
Judas Priest;Victim Of Changes;woman's
Judas Priest;Victim Of Changes;got
Judas Priest;Victim Of Changes;a
Judas Priest;Victim Of Changes;man
Judas Priest;Victim Of Changes;but
Judas Priest;Victim Of Changes;she
Judas Priest;Victim Of Changes;won't
Judas Priest;Victim Of Changes;get
Judas Priest;Victim Of Changes;a
Judas Priest;Victim Of Changes;new
Judas Priest;Victim Of Changes;connection
Judas Priest;Victim Of Changes;takes
Judas Priest;Victim Of Changes;another
Judas Priest;Victim Of Changes;drink
Judas Priest;Victim Of Changes;or
Judas Priest;Victim Of Changes;two
Judas Priest;Victim Of Changes;whiskey
Judas Priest;Victim Of Changes;woman,
Judas Priest;Victim Of Changes;don't
Judas Priest;Victim Of Changes;you
Judas Priest;Victim Of Changes;know
Judas Priest;Victim Of Changes;that
Judas Priest;Victim Of Changes;you
Judas Priest;Victim Of Changes;are
Judas Priest;Victim Of Changes;driving
Judas Priest;Victim Of Changes;me
Judas Priest;Victim Of Changes;insane?
Judas Priest;Victim Of Changes;liquor
Judas Priest;Victim Of Changes;you
Judas Priest;Victim Of Changes;give
Judas Priest;Victim Of Changes;stems
Judas Priest;Victim Of Changes;your
Judas Priest;Victim Of Changes;will
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;live,
Judas Priest;Victim Of Changes;it
Judas Priest;Victim Of Changes;gets
Judas Priest;Victim Of Changes;right
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;my
Judas Priest;Victim Of Changes;brain
Judas Priest;Victim Of Changes;you're
Judas Priest;Victim Of Changes;trying
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;find
Judas Priest;Victim Of Changes;your
Judas Priest;Victim Of Changes;way
Judas Priest;Victim Of Changes;through
Judas Priest;Victim Of Changes;life
Judas Priest;Victim Of Changes;you're
Judas Priest;Victim Of Changes;trying
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;get
Judas Priest;Victim Of Changes;some
Judas Priest;Victim Of Changes;new
Judas Priest;Victim Of Changes;direction
Judas Priest;Victim Of Changes;another
Judas Priest;Victim Of Changes;woman's
Judas Priest;Victim Of Changes;got
Judas Priest;Victim Of Changes;a
Judas Priest;Victim Of Changes;man
Judas Priest;Victim Of Changes;but
Judas Priest;Victim Of Changes;she
Judas Priest;Victim Of Changes;won't
Judas Priest;Victim Of Changes;get
Judas Priest;Victim Of Changes;a
Judas Priest;Victim Of Changes;new
Judas Priest;Victim Of Changes;connection
Judas Priest;Victim Of Changes;takes
Judas Priest;Victim Of Changes;another
Judas Priest;Victim Of Changes;drink
Judas Priest;Victim Of Changes;or
Judas Priest;Victim Of Changes;two
Judas Priest;Victim Of Changes;things
Judas Priest;Victim Of Changes;look
Judas Priest;Victim Of Changes;better
Judas Priest;Victim Of Changes;when
Judas Priest;Victim Of Changes;she's
Judas Priest;Victim Of Changes;through
Judas Priest;Victim Of Changes;take
Judas Priest;Victim Of Changes;another
Judas Priest;Victim Of Changes;look
Judas Priest;Victim Of Changes;around,
Judas Priest;Victim Of Changes;you're
Judas Priest;Victim Of Changes;not
Judas Priest;Victim Of Changes;going
Judas Priest;Victim Of Changes;anywhere
Judas Priest;Victim Of Changes;you
Judas Priest;Victim Of Changes;realise
Judas Priest;Victim Of Changes;you're
Judas Priest;Victim Of Changes;getting
Judas Priest;Victim Of Changes;old
Judas Priest;Victim Of Changes;and
Judas Priest;Victim Of Changes;no
Judas Priest;Victim Of Changes;one
Judas Priest;Victim Of Changes;seems
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;care
Judas Priest;Victim Of Changes;you're
Judas Priest;Victim Of Changes;trying
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;find
Judas Priest;Victim Of Changes;your
Judas Priest;Victim Of Changes;way
Judas Priest;Victim Of Changes;again
Judas Priest;Victim Of Changes;you're
Judas Priest;Victim Of Changes;trying
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;get
Judas Priest;Victim Of Changes;some
Judas Priest;Victim Of Changes;love
Judas Priest;Victim Of Changes;another
Judas Priest;Victim Of Changes;woman's
Judas Priest;Victim Of Changes;got
Judas Priest;Victim Of Changes;a
Judas Priest;Victim Of Changes;man
Judas Priest;Victim Of Changes;but
Judas Priest;Victim Of Changes;she
Judas Priest;Victim Of Changes;won't
Judas Priest;Victim Of Changes;get
Judas Priest;Victim Of Changes;a
Judas Priest;Victim Of Changes;new
Judas Priest;Victim Of Changes;takes
Judas Priest;Victim Of Changes;another
Judas Priest;Victim Of Changes;drink
Judas Priest;Victim Of Changes;or
Judas Priest;Victim Of Changes;two
Judas Priest;Victim Of Changes;things
Judas Priest;Victim Of Changes;look
Judas Priest;Victim Of Changes;better
Judas Priest;Victim Of Changes;when
Judas Priest;Victim Of Changes;she's
Judas Priest;Victim Of Changes;through
Judas Priest;Victim Of Changes;you
Judas Priest;Victim Of Changes;been
Judas Priest;Victim Of Changes;fooling
Judas Priest;Victim Of Changes;with
Judas Priest;Victim Of Changes;some
Judas Priest;Victim Of Changes;hot
Judas Priest;Victim Of Changes;guy
Judas Priest;Victim Of Changes;i
Judas Priest;Victim Of Changes;want
Judas Priest;Victim Of Changes;to
Judas Priest;Victim Of Changes;know
Judas Priest;Victim Of Changes;why
Judas Priest;Victim Of Changes;is
Judas Priest;Victim Of Changes;it
Judas Priest;Victim Of Changes;why
Judas Priest;Victim Of Changes;get
Judas Priest;Victim Of Changes;up,
Judas Priest;Victim Of Changes;get
Judas Priest;Victim Of Changes;out
Judas Priest;Victim Of Changes;you
Judas Priest;Victim Of Changes;know
Judas Priest;Victim Of Changes;you
Judas Priest;Victim Of Changes;really
Judas Priest;Victim Of Changes;blew
Judas Priest;Victim Of Changes;it
Judas Priest;Victim Of Changes;i've
Judas Priest;Victim Of Changes;had
Judas Priest;Victim Of Changes;enough
Judas Priest;Victim Of Changes;i've
Judas Priest;Victim Of Changes;had
Judas Priest;Victim Of Changes;enough
Judas Priest;Victim Of Changes;good
Judas Priest;Victim Of Changes;god,
Judas Priest;Victim Of Changes;pluck
Judas Priest;Victim Of Changes;me
Judas Priest;Victim Of Changes;once
Judas Priest;Victim Of Changes;she
Judas Priest;Victim Of Changes;was
Judas Priest;Victim Of Changes;beautiful
Judas Priest;Victim Of Changes;once
Judas Priest;Victim Of Changes;she
Judas Priest;Victim Of Changes;was
Judas Priest;Victim Of Changes;fine
Judas Priest;Victim Of Changes;once
Judas Priest;Victim Of Changes;she
Judas Priest;Victim Of Changes;was
Judas Priest;Victim Of Changes;wonderful
Judas Priest;Victim Of Changes;once
Judas Priest;Victim Of Changes;she
Judas Priest;Victim Of Changes;was
Judas Priest;Victim Of Changes;mine
Judas Priest;Victim Of Changes;change
Judas Priest;Victim Of Changes;has
Judas Priest;Victim Of Changes;come
Judas Priest;Victim Of Changes;over
Judas Priest;Victim Of Changes;her
Judas Priest;Victim Of Changes;body
Judas Priest;Victim Of Changes;she
Judas Priest;Victim Of Changes;doesn't
Judas Priest;Victim Of Changes;see
Judas Priest;Victim Of Changes;me
Judas Priest;Victim Of Changes;anymore
Judas Priest;Victim Of Changes;change
Judas Priest;Victim Of Changes;has
Judas Priest;Victim Of Changes;come
Judas Priest;Victim Of Changes;over
Judas Priest;Victim Of Changes;her
Judas Priest;Victim Of Changes;body
Judas Priest;Victim Of Changes;she
Judas Priest;Victim Of Changes;doesn't
Judas Priest;Victim Of Changes;see
Judas Priest;Victim Of Changes;me
Judas Priest;Victim Of Changes;anymore
Judas Priest;Victim Of Changes;changes
Judas Priest;Victim Of Changes;changes
Judas Priest;Victim Of Changes;changes
Judas Priest;Victim Of Changes;changes
Judas Priest;Victim Of Changes;victim
Judas Priest;Victim Of Changes;of
Judas Priest;Victim Of Changes;changes
