artist_name;song_title;token
Judas Priest;War;we
Judas Priest;War;come
Judas Priest;War;in
Judas Priest;War;all
Judas Priest;War;the
Judas Priest;War;glory
Judas Priest;War;now
Judas Priest;War;no
Judas Priest;War;prayers
Judas Priest;War;suffice
Judas Priest;War;such
Judas Priest;War;evil
Judas Priest;War;foe
Judas Priest;War;black
Judas Priest;War;wings,
Judas Priest;War;the
Judas Priest;War;storm
Judas Priest;War;is
Judas Priest;War;gathering
Judas Priest;War;and
Judas Priest;War;time
Judas Priest;War;will
Judas Priest;War;say
Judas Priest;War;we
Judas Priest;War;know
Judas Priest;War;the
Judas Priest;War;power
Judas Priest;War;of
Judas Priest;War;heresy
Judas Priest;War;is
Judas Priest;War;on
Judas Priest;War;it's
Judas Priest;War;way
Judas Priest;War;gods
Judas Priest;War;of
Judas Priest;War;war
Judas Priest;War;heed
Judas Priest;War;their
Judas Priest;War;warning
Judas Priest;War;gods
Judas Priest;War;of
Judas Priest;War;war
Judas Priest;War;they
Judas Priest;War;are
Judas Priest;War;coming
Judas Priest;War;now
Judas Priest;War;no
Judas Priest;War;man
Judas Priest;War;can
Judas Priest;War;quell
Judas Priest;War;the
Judas Priest;War;suffering
Judas Priest;War;the
Judas Priest;War;hell
Judas Priest;War;and
Judas Priest;War;all
Judas Priest;War;the
Judas Priest;War;grief
Judas Priest;War;it
Judas Priest;War;brings
Judas Priest;War;our
Judas Priest;War;life
Judas Priest;War;is
Judas Priest;War;almost
Judas Priest;War;over
Judas Priest;War;now
Judas Priest;War;we
Judas Priest;War;come
Judas Priest;War;in
Judas Priest;War;all
Judas Priest;War;the
Judas Priest;War;glory
Judas Priest;War;now
Judas Priest;War;no
Judas Priest;War;prayers
Judas Priest;War;suffice
Judas Priest;War;such
Judas Priest;War;evil
Judas Priest;War;foe
Judas Priest;War;black
Judas Priest;War;wings,
Judas Priest;War;the
Judas Priest;War;storm
Judas Priest;War;is
Judas Priest;War;gathering
Judas Priest;War;and
Judas Priest;War;time
Judas Priest;War;will
Judas Priest;War;say
Judas Priest;War;we
Judas Priest;War;know
Judas Priest;War;the
Judas Priest;War;power
Judas Priest;War;of
Judas Priest;War;heresy
Judas Priest;War;is
Judas Priest;War;on
Judas Priest;War;it's
Judas Priest;War;way
Judas Priest;War;gods
Judas Priest;War;of
Judas Priest;War;war
Judas Priest;War;heed
Judas Priest;War;their
Judas Priest;War;warning
Judas Priest;War;gods
Judas Priest;War;of
Judas Priest;War;war
Judas Priest;War;they
Judas Priest;War;are
Judas Priest;War;coming
Judas Priest;War;now
Judas Priest;War;no
Judas Priest;War;man
Judas Priest;War;can
Judas Priest;War;quell
Judas Priest;War;the
Judas Priest;War;suffering
Judas Priest;War;the
Judas Priest;War;hell
Judas Priest;War;and
Judas Priest;War;all
Judas Priest;War;the
Judas Priest;War;grief
Judas Priest;War;it
Judas Priest;War;brings
Judas Priest;War;our
Judas Priest;War;life
Judas Priest;War;is
Judas Priest;War;almost
Judas Priest;War;over
Judas Priest;War;now
Judas Priest;War;there's
Judas Priest;War;nothing
Judas Priest;War;more
Judas Priest;War;we
Judas Priest;War;feel
Judas Priest;War;the
Judas Priest;War;pain
Judas Priest;War;is
Judas Priest;War;everywhere
Judas Priest;War;it
Judas Priest;War;comes
Judas Priest;War;and
Judas Priest;War;roars
Judas Priest;War;gods
Judas Priest;War;of
Judas Priest;War;war
Judas Priest;War;judge
Judas Priest;War;and
Judas Priest;War;jury
Judas Priest;War;gods
Judas Priest;War;of
Judas Priest;War;war
Judas Priest;War;pain
Judas Priest;War;and
Judas Priest;War;fury
Judas Priest;War;now
Judas Priest;War;we
Judas Priest;War;must
Judas Priest;War;hold
Judas Priest;War;this
Judas Priest;War;threat
Judas Priest;War;from
Judas Priest;War;such
Judas Priest;War;panic
Judas Priest;War;yet
Judas Priest;War;there
Judas Priest;War;will
Judas Priest;War;come
Judas Priest;War;a
Judas Priest;War;time
Judas Priest;War;when
Judas Priest;War;we'll
Judas Priest;War;be
Judas Priest;War;saved
Judas Priest;War;our
Judas Priest;War;resilient
Judas Priest;War;heart
Judas Priest;War;to
Judas Priest;War;confound
Judas Priest;War;defeat
Judas Priest;War;yeah!
Judas Priest;War;out
Judas Priest;War;of
Judas Priest;War;purgatory
Judas Priest;War;unto
Judas Priest;War;victory
Judas Priest;War;we
Judas Priest;War;shall
Judas Priest;War;overcome
Judas Priest;War;the
Judas Priest;War;war
Judas Priest;War;they
Judas Priest;War;staged
Judas Priest;War;through
Judas Priest;War;unyielding
Judas Priest;War;power
Judas Priest;War;in
Judas Priest;War;the
Judas Priest;War;darkest
Judas Priest;War;hour
Judas Priest;War;they
Judas Priest;War;will
Judas Priest;War;retreat
Judas Priest;War;gods
Judas Priest;War;of
Judas Priest;War;war
Judas Priest;War;devastation
Judas Priest;War;gods
Judas Priest;War;of
Judas Priest;War;war
Judas Priest;War;end
Judas Priest;War;creation
Judas Priest;War;now!
