artist_name;song_title;token
Judas Priest;You've Got Another Thing Coming;one
Judas Priest;You've Got Another Thing Coming;life,
Judas Priest;You've Got Another Thing Coming;i'm
Judas Priest;You've Got Another Thing Coming;gonna
Judas Priest;You've Got Another Thing Coming;live
Judas Priest;You've Got Another Thing Coming;it
Judas Priest;You've Got Another Thing Coming;up
Judas Priest;You've Got Another Thing Coming;i'm
Judas Priest;You've Got Another Thing Coming;takin'
Judas Priest;You've Got Another Thing Coming;flight,
Judas Priest;You've Got Another Thing Coming;i
Judas Priest;You've Got Another Thing Coming;said,
Judas Priest;You've Got Another Thing Coming;i'll
Judas Priest;You've Got Another Thing Coming;never
Judas Priest;You've Got Another Thing Coming;get
Judas Priest;You've Got Another Thing Coming;enough
Judas Priest;You've Got Another Thing Coming;stand
Judas Priest;You've Got Another Thing Coming;tall,
Judas Priest;You've Got Another Thing Coming;i'm
Judas Priest;You've Got Another Thing Coming;young
Judas Priest;You've Got Another Thing Coming;and
Judas Priest;You've Got Another Thing Coming;kinda
Judas Priest;You've Got Another Thing Coming;proud
Judas Priest;You've Got Another Thing Coming;i'm
Judas Priest;You've Got Another Thing Coming;on
Judas Priest;You've Got Another Thing Coming;the
Judas Priest;You've Got Another Thing Coming;top
Judas Priest;You've Got Another Thing Coming;as
Judas Priest;You've Got Another Thing Coming;long
Judas Priest;You've Got Another Thing Coming;as
Judas Priest;You've Got Another Thing Coming;the
Judas Priest;You've Got Another Thing Coming;music's
Judas Priest;You've Got Another Thing Coming;loud
Judas Priest;You've Got Another Thing Coming;if
Judas Priest;You've Got Another Thing Coming;you
Judas Priest;You've Got Another Thing Coming;think
Judas Priest;You've Got Another Thing Coming;i'll
Judas Priest;You've Got Another Thing Coming;sit
Judas Priest;You've Got Another Thing Coming;around
Judas Priest;You've Got Another Thing Coming;as
Judas Priest;You've Got Another Thing Coming;the
Judas Priest;You've Got Another Thing Coming;world
Judas Priest;You've Got Another Thing Coming;goes
Judas Priest;You've Got Another Thing Coming;by
Judas Priest;You've Got Another Thing Coming;you're
Judas Priest;You've Got Another Thing Coming;thinkin'
Judas Priest;You've Got Another Thing Coming;like
Judas Priest;You've Got Another Thing Coming;a
Judas Priest;You've Got Another Thing Coming;fool
Judas Priest;You've Got Another Thing Coming;'cause
Judas Priest;You've Got Another Thing Coming;it's
Judas Priest;You've Got Another Thing Coming;a
Judas Priest;You've Got Another Thing Coming;case
Judas Priest;You've Got Another Thing Coming;of
Judas Priest;You've Got Another Thing Coming;do
Judas Priest;You've Got Another Thing Coming;or
Judas Priest;You've Got Another Thing Coming;die
Judas Priest;You've Got Another Thing Coming;out
Judas Priest;You've Got Another Thing Coming;there
Judas Priest;You've Got Another Thing Coming;is
Judas Priest;You've Got Another Thing Coming;a
Judas Priest;You've Got Another Thing Coming;fortune
Judas Priest;You've Got Another Thing Coming;waitin'
Judas Priest;You've Got Another Thing Coming;to
Judas Priest;You've Got Another Thing Coming;be
Judas Priest;You've Got Another Thing Coming;had
Judas Priest;You've Got Another Thing Coming;one
Judas Priest;You've Got Another Thing Coming;life,
Judas Priest;You've Got Another Thing Coming;i'm
Judas Priest;You've Got Another Thing Coming;gonna
Judas Priest;You've Got Another Thing Coming;live
Judas Priest;You've Got Another Thing Coming;it
Judas Priest;You've Got Another Thing Coming;up
Judas Priest;You've Got Another Thing Coming;i'm
Judas Priest;You've Got Another Thing Coming;takin'
Judas Priest;You've Got Another Thing Coming;flight,
Judas Priest;You've Got Another Thing Coming;i
Judas Priest;You've Got Another Thing Coming;said,
Judas Priest;You've Got Another Thing Coming;i'll
Judas Priest;You've Got Another Thing Coming;never
Judas Priest;You've Got Another Thing Coming;get
Judas Priest;You've Got Another Thing Coming;enough
Judas Priest;You've Got Another Thing Coming;stand
Judas Priest;You've Got Another Thing Coming;tall,
Judas Priest;You've Got Another Thing Coming;i'm
Judas Priest;You've Got Another Thing Coming;young
Judas Priest;You've Got Another Thing Coming;and
Judas Priest;You've Got Another Thing Coming;kinda
Judas Priest;You've Got Another Thing Coming;proud
Judas Priest;You've Got Another Thing Coming;i'm
Judas Priest;You've Got Another Thing Coming;on
Judas Priest;You've Got Another Thing Coming;the
Judas Priest;You've Got Another Thing Coming;top
Judas Priest;You've Got Another Thing Coming;as
Judas Priest;You've Got Another Thing Coming;long
Judas Priest;You've Got Another Thing Coming;as
Judas Priest;You've Got Another Thing Coming;the
Judas Priest;You've Got Another Thing Coming;music's
Judas Priest;You've Got Another Thing Coming;loud
Judas Priest;You've Got Another Thing Coming;if
Judas Priest;You've Got Another Thing Coming;you
Judas Priest;You've Got Another Thing Coming;think
Judas Priest;You've Got Another Thing Coming;i'll
Judas Priest;You've Got Another Thing Coming;sit
Judas Priest;You've Got Another Thing Coming;around
Judas Priest;You've Got Another Thing Coming;as
Judas Priest;You've Got Another Thing Coming;the
Judas Priest;You've Got Another Thing Coming;world
Judas Priest;You've Got Another Thing Coming;goes
Judas Priest;You've Got Another Thing Coming;by
Judas Priest;You've Got Another Thing Coming;you're
Judas Priest;You've Got Another Thing Coming;thinkin'
Judas Priest;You've Got Another Thing Coming;like
Judas Priest;You've Got Another Thing Coming;a
Judas Priest;You've Got Another Thing Coming;fool
Judas Priest;You've Got Another Thing Coming;'cause
Judas Priest;You've Got Another Thing Coming;it's
Judas Priest;You've Got Another Thing Coming;a
Judas Priest;You've Got Another Thing Coming;case
Judas Priest;You've Got Another Thing Coming;of
Judas Priest;You've Got Another Thing Coming;do
Judas Priest;You've Got Another Thing Coming;or
Judas Priest;You've Got Another Thing Coming;die
Judas Priest;You've Got Another Thing Coming;out
Judas Priest;You've Got Another Thing Coming;there
Judas Priest;You've Got Another Thing Coming;is
Judas Priest;You've Got Another Thing Coming;a
Judas Priest;You've Got Another Thing Coming;fortune
Judas Priest;You've Got Another Thing Coming;waitin'
Judas Priest;You've Got Another Thing Coming;to
Judas Priest;You've Got Another Thing Coming;be
Judas Priest;You've Got Another Thing Coming;had
Judas Priest;You've Got Another Thing Coming;you
Judas Priest;You've Got Another Thing Coming;think
Judas Priest;You've Got Another Thing Coming;i'll
Judas Priest;You've Got Another Thing Coming;let
Judas Priest;You've Got Another Thing Coming;it
Judas Priest;You've Got Another Thing Coming;go
Judas Priest;You've Got Another Thing Coming;you're
Judas Priest;You've Got Another Thing Coming;mad
Judas Priest;You've Got Another Thing Coming;you've
Judas Priest;You've Got Another Thing Coming;got
Judas Priest;You've Got Another Thing Coming;another
Judas Priest;You've Got Another Thing Coming;thing
Judas Priest;You've Got Another Thing Coming;comin'
Judas Priest;You've Got Another Thing Coming;you've
Judas Priest;You've Got Another Thing Coming;got
Judas Priest;You've Got Another Thing Coming;another
Judas Priest;You've Got Another Thing Coming;thing
Judas Priest;You've Got Another Thing Coming;comin'
Judas Priest;You've Got Another Thing Coming;that's
Judas Priest;You've Got Another Thing Coming;right,
Judas Priest;You've Got Another Thing Coming;here's
Judas Priest;You've Got Another Thing Coming;where
Judas Priest;You've Got Another Thing Coming;the
Judas Priest;You've Got Another Thing Coming;talkin'
Judas Priest;You've Got Another Thing Coming;ends
Judas Priest;You've Got Another Thing Coming;well,
Judas Priest;You've Got Another Thing Coming;listen
Judas Priest;You've Got Another Thing Coming;this
Judas Priest;You've Got Another Thing Coming;night
Judas Priest;You've Got Another Thing Coming;there'll
Judas Priest;You've Got Another Thing Coming;be
Judas Priest;You've Got Another Thing Coming;some
Judas Priest;You've Got Another Thing Coming;action
Judas Priest;You've Got Another Thing Coming;spent
Judas Priest;You've Got Another Thing Coming;drive
Judas Priest;You've Got Another Thing Coming;hard,
Judas Priest;You've Got Another Thing Coming;i'm
Judas Priest;You've Got Another Thing Coming;callin'
Judas Priest;You've Got Another Thing Coming;all
