artist_name;song_title;token
Justin Bieber;All That Matters;oh
Justin Bieber;All That Matters;oh
Justin Bieber;All That Matters;just
Justin Bieber;All That Matters;as
Justin Bieber;All That Matters;sure
Justin Bieber;All That Matters;as
Justin Bieber;All That Matters;the
Justin Bieber;All That Matters;stars
Justin Bieber;All That Matters;in
Justin Bieber;All That Matters;the
Justin Bieber;All That Matters;sky
Justin Bieber;All That Matters;i
Justin Bieber;All That Matters;need
Justin Bieber;All That Matters;you
Justin Bieber;All That Matters;to
Justin Bieber;All That Matters;shine
Justin Bieber;All That Matters;in
Justin Bieber;All That Matters;my
Justin Bieber;All That Matters;life
Justin Bieber;All That Matters;not
Justin Bieber;All That Matters;just
Justin Bieber;All That Matters;for
Justin Bieber;All That Matters;the
Justin Bieber;All That Matters;meanwhile
Justin Bieber;All That Matters;for
Justin Bieber;All That Matters;a
Justin Bieber;All That Matters;long
Justin Bieber;All That Matters;long
Justin Bieber;All That Matters;time
Justin Bieber;All That Matters;better
Justin Bieber;All That Matters;believe
Justin Bieber;All That Matters;it
Justin Bieber;All That Matters;oh
Justin Bieber;All That Matters;oh
Justin Bieber;All That Matters;whenever
Justin Bieber;All That Matters;you're
Justin Bieber;All That Matters;not
Justin Bieber;All That Matters;in
Justin Bieber;All That Matters;my
Justin Bieber;All That Matters;presence
Justin Bieber;All That Matters;it
Justin Bieber;All That Matters;feels
Justin Bieber;All That Matters;like
Justin Bieber;All That Matters;i'm
Justin Bieber;All That Matters;missing
Justin Bieber;All That Matters;my
Justin Bieber;All That Matters;blessings
Justin Bieber;All That Matters;yeah
Justin Bieber;All That Matters;so
Justin Bieber;All That Matters;i
Justin Bieber;All That Matters;sleep
Justin Bieber;All That Matters;through
Justin Bieber;All That Matters;the
Justin Bieber;All That Matters;daylight
Justin Bieber;All That Matters;stay
Justin Bieber;All That Matters;awake
Justin Bieber;All That Matters;all
Justin Bieber;All That Matters;night
Justin Bieber;All That Matters;oh
Justin Bieber;All That Matters;oh
Justin Bieber;All That Matters;just
Justin Bieber;All That Matters;as
Justin Bieber;All That Matters;sure
Justin Bieber;All That Matters;as
Justin Bieber;All That Matters;the
