artist_name;song_title;token
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;close
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;eyes
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;take
Justin Bieber;Hit The Ground;it
Justin Bieber;Hit The Ground;slow
Justin Bieber;Hit The Ground;lay
Justin Bieber;Hit The Ground;on
Justin Bieber;Hit The Ground;down
Justin Bieber;Hit The Ground;and
Justin Bieber;Hit The Ground;let
Justin Bieber;Hit The Ground;me
Justin Bieber;Hit The Ground;rest
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;soul
Justin Bieber;Hit The Ground;i've
Justin Bieber;Hit The Ground;been
Justin Bieber;Hit The Ground;so
Justin Bieber;Hit The Ground;high
Justin Bieber;Hit The Ground;i've
Justin Bieber;Hit The Ground;been
Justin Bieber;Hit The Ground;so
Justin Bieber;Hit The Ground;low
Justin Bieber;Hit The Ground;i'm
Justin Bieber;Hit The Ground;just
Justin Bieber;Hit The Ground;tryna
Justin Bieber;Hit The Ground;find
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;way
Justin Bieber;Hit The Ground;back
Justin Bieber;Hit The Ground;home
Justin Bieber;Hit The Ground;can't
Justin Bieber;Hit The Ground;help
Justin Bieber;Hit The Ground;but
Justin Bieber;Hit The Ground;roam
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;signal
Justin Bieber;Hit The Ground;gone
Justin Bieber;Hit The Ground;guess
Justin Bieber;Hit The Ground;this
Justin Bieber;Hit The Ground;journey
Justin Bieber;Hit The Ground;left
Justin Bieber;Hit The Ground;me
Justin Bieber;Hit The Ground;on
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;own
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;don't
Justin Bieber;Hit The Ground;care
Justin Bieber;Hit The Ground;why
Justin Bieber;Hit The Ground;i'm
Justin Bieber;Hit The Ground;alone
Justin Bieber;Hit The Ground;alone
Justin Bieber;Hit The Ground;alone
Justin Bieber;Hit The Ground;and
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;forget
Justin Bieber;Hit The Ground;about
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;way
Justin Bieber;Hit The Ground;you
Justin Bieber;Hit The Ground;love
Justin Bieber;Hit The Ground;me
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;close
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;eyes
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;take
Justin Bieber;Hit The Ground;it
Justin Bieber;Hit The Ground;slow
Justin Bieber;Hit The Ground;lay
Justin Bieber;Hit The Ground;on
Justin Bieber;Hit The Ground;down
Justin Bieber;Hit The Ground;and
Justin Bieber;Hit The Ground;let
Justin Bieber;Hit The Ground;me
Justin Bieber;Hit The Ground;rest
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;soul
Justin Bieber;Hit The Ground;i've
Justin Bieber;Hit The Ground;been
Justin Bieber;Hit The Ground;so
Justin Bieber;Hit The Ground;high
Justin Bieber;Hit The Ground;i've
Justin Bieber;Hit The Ground;been
Justin Bieber;Hit The Ground;so
Justin Bieber;Hit The Ground;low
Justin Bieber;Hit The Ground;i'm
Justin Bieber;Hit The Ground;just
Justin Bieber;Hit The Ground;tryna
Justin Bieber;Hit The Ground;find
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;way
Justin Bieber;Hit The Ground;back
Justin Bieber;Hit The Ground;home
Justin Bieber;Hit The Ground;can't
Justin Bieber;Hit The Ground;help
Justin Bieber;Hit The Ground;but
Justin Bieber;Hit The Ground;roam
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;signal
Justin Bieber;Hit The Ground;gone
Justin Bieber;Hit The Ground;guess
Justin Bieber;Hit The Ground;this
Justin Bieber;Hit The Ground;journey
Justin Bieber;Hit The Ground;left
Justin Bieber;Hit The Ground;me
Justin Bieber;Hit The Ground;on
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;own
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;don't
Justin Bieber;Hit The Ground;care
Justin Bieber;Hit The Ground;why
Justin Bieber;Hit The Ground;i'm
Justin Bieber;Hit The Ground;alone
Justin Bieber;Hit The Ground;alone
Justin Bieber;Hit The Ground;alone
Justin Bieber;Hit The Ground;and
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;forget
Justin Bieber;Hit The Ground;about
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;way
Justin Bieber;Hit The Ground;you
Justin Bieber;Hit The Ground;love
Justin Bieber;Hit The Ground;me
Justin Bieber;Hit The Ground;forget
Justin Bieber;Hit The Ground;about
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;world
Justin Bieber;Hit The Ground;we
Justin Bieber;Hit The Ground;set
Justin Bieber;Hit The Ground;in
Justin Bieber;Hit The Ground;stone
Justin Bieber;Hit The Ground;i'm
Justin Bieber;Hit The Ground;dreaming
Justin Bieber;Hit The Ground;with
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;eyes
Justin Bieber;Hit The Ground;wide
Justin Bieber;Hit The Ground;open
Justin Bieber;Hit The Ground;now
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;never
Justin Bieber;Hit The Ground;thought
Justin Bieber;Hit The Ground;that
Justin Bieber;Hit The Ground;i'd
Justin Bieber;Hit The Ground;be
Justin Bieber;Hit The Ground;broken
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;never
Justin Bieber;Hit The Ground;thought
Justin Bieber;Hit The Ground;i'd
Justin Bieber;Hit The Ground;be
Justin Bieber;Hit The Ground;this
Justin Bieber;Hit The Ground;far
Justin Bieber;Hit The Ground;from
Justin Bieber;Hit The Ground;home
Justin Bieber;Hit The Ground;i'm
Justin Bieber;Hit The Ground;dreaming
Justin Bieber;Hit The Ground;with
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;eyes
Justin Bieber;Hit The Ground;wide
Justin Bieber;Hit The Ground;open
Justin Bieber;Hit The Ground;now
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;close
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;eyes
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;take
Justin Bieber;Hit The Ground;it
Justin Bieber;Hit The Ground;slow
Justin Bieber;Hit The Ground;lay
Justin Bieber;Hit The Ground;on
Justin Bieber;Hit The Ground;down
Justin Bieber;Hit The Ground;and
Justin Bieber;Hit The Ground;let
Justin Bieber;Hit The Ground;me
Justin Bieber;Hit The Ground;rest
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;soul
Justin Bieber;Hit The Ground;i've
Justin Bieber;Hit The Ground;been
Justin Bieber;Hit The Ground;so
Justin Bieber;Hit The Ground;high
Justin Bieber;Hit The Ground;i've
Justin Bieber;Hit The Ground;been
Justin Bieber;Hit The Ground;so
Justin Bieber;Hit The Ground;low
Justin Bieber;Hit The Ground;i'm
Justin Bieber;Hit The Ground;just
Justin Bieber;Hit The Ground;tryna
Justin Bieber;Hit The Ground;find
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;way
Justin Bieber;Hit The Ground;back
Justin Bieber;Hit The Ground;home
Justin Bieber;Hit The Ground;can't
Justin Bieber;Hit The Ground;help
Justin Bieber;Hit The Ground;but
Justin Bieber;Hit The Ground;roam
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;signal
Justin Bieber;Hit The Ground;gone
Justin Bieber;Hit The Ground;guess
Justin Bieber;Hit The Ground;this
Justin Bieber;Hit The Ground;journey
Justin Bieber;Hit The Ground;left
Justin Bieber;Hit The Ground;me
Justin Bieber;Hit The Ground;on
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;own
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;don't
Justin Bieber;Hit The Ground;care
Justin Bieber;Hit The Ground;why
Justin Bieber;Hit The Ground;i'm
Justin Bieber;Hit The Ground;alone
Justin Bieber;Hit The Ground;alone
Justin Bieber;Hit The Ground;alone
Justin Bieber;Hit The Ground;and
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;forget
Justin Bieber;Hit The Ground;about
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;way
Justin Bieber;Hit The Ground;you
Justin Bieber;Hit The Ground;loved
Justin Bieber;Hit The Ground;me
Justin Bieber;Hit The Ground;forget
Justin Bieber;Hit The Ground;about
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;world
Justin Bieber;Hit The Ground;we
Justin Bieber;Hit The Ground;set
Justin Bieber;Hit The Ground;in
Justin Bieber;Hit The Ground;stone
Justin Bieber;Hit The Ground;i'm
Justin Bieber;Hit The Ground;dreaming
Justin Bieber;Hit The Ground;with
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;eyes
Justin Bieber;Hit The Ground;wide
Justin Bieber;Hit The Ground;open
Justin Bieber;Hit The Ground;now
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;never
Justin Bieber;Hit The Ground;thought
Justin Bieber;Hit The Ground;that
Justin Bieber;Hit The Ground;i'd
Justin Bieber;Hit The Ground;be
Justin Bieber;Hit The Ground;broken
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;never
Justin Bieber;Hit The Ground;thought
Justin Bieber;Hit The Ground;i'd
Justin Bieber;Hit The Ground;be
Justin Bieber;Hit The Ground;this
Justin Bieber;Hit The Ground;far
Justin Bieber;Hit The Ground;from
Justin Bieber;Hit The Ground;home
Justin Bieber;Hit The Ground;i'm
Justin Bieber;Hit The Ground;dreaming
Justin Bieber;Hit The Ground;with
Justin Bieber;Hit The Ground;my
Justin Bieber;Hit The Ground;eyes
Justin Bieber;Hit The Ground;wide
Justin Bieber;Hit The Ground;open
Justin Bieber;Hit The Ground;now
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;take
Justin Bieber;Hit The Ground;it
Justin Bieber;Hit The Ground;one
Justin Bieber;Hit The Ground;day
Justin Bieber;Hit The Ground;at
Justin Bieber;Hit The Ground;a
Justin Bieber;Hit The Ground;time
Justin Bieber;Hit The Ground;reach
Justin Bieber;Hit The Ground;for
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;stars
Justin Bieber;Hit The Ground;now
Justin Bieber;Hit The Ground;ooh
Justin Bieber;Hit The Ground;just
Justin Bieber;Hit The Ground;leave
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;past
Justin Bieber;Hit The Ground;behind
Justin Bieber;Hit The Ground;that
Justin Bieber;Hit The Ground;a
Justin Bieber;Hit The Ground;part
Justin Bieber;Hit The Ground;of
Justin Bieber;Hit The Ground;living
Justin Bieber;Hit The Ground;woah
Justin Bieber;Hit The Ground;woah
Justin Bieber;Hit The Ground;that
Justin Bieber;Hit The Ground;a
Justin Bieber;Hit The Ground;part
Justin Bieber;Hit The Ground;of
Justin Bieber;Hit The Ground;living
Justin Bieber;Hit The Ground;woah
Justin Bieber;Hit The Ground;oh
Justin Bieber;Hit The Ground;yeah
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;yeah
Justin Bieber;Hit The Ground;eh
Justin Bieber;Hit The Ground;eh
Justin Bieber;Hit The Ground;eh
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;right
Justin Bieber;Hit The Ground;now
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;would
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;then
Justin Bieber;Hit The Ground;i'd
Justin Bieber;Hit The Ground;be
Justin Bieber;Hit The Ground;falling
Justin Bieber;Hit The Ground;down
Justin Bieber;Hit The Ground;yeah
Justin Bieber;Hit The Ground;woah
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;it
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
Justin Bieber;Hit The Ground;then
Justin Bieber;Hit The Ground;i'd
Justin Bieber;Hit The Ground;be
Justin Bieber;Hit The Ground;touching
Justin Bieber;Hit The Ground;down
Justin Bieber;Hit The Ground;yeah
Justin Bieber;Hit The Ground;if
Justin Bieber;Hit The Ground;only
Justin Bieber;Hit The Ground;i
Justin Bieber;Hit The Ground;could
Justin Bieber;Hit The Ground;hit
Justin Bieber;Hit The Ground;the
Justin Bieber;Hit The Ground;ground
