artist_name;song_title;token
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;don't
Justin Bieber;Home To Mama;work
Justin Bieber;Home To Mama;hard
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;it
Justin Bieber;Home To Mama;easy
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;put
Justin Bieber;Home To Mama;in
Justin Bieber;Home To Mama;work
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;it
Justin Bieber;Home To Mama;hard
Justin Bieber;Home To Mama;girl
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;never
Justin Bieber;Home To Mama;believed
Justin Bieber;Home To Mama;in
Justin Bieber;Home To Mama;love
Justin Bieber;Home To Mama;until
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;had
Justin Bieber;Home To Mama;yours
Justin Bieber;Home To Mama;this
Justin Bieber;Home To Mama;is
Justin Bieber;Home To Mama;more
Justin Bieber;Home To Mama;than
Justin Bieber;Home To Mama;a
Justin Bieber;Home To Mama;season
Justin Bieber;Home To Mama;and
Justin Bieber;Home To Mama;i'm
Justin Bieber;Home To Mama;not
Justin Bieber;Home To Mama;just
Justin Bieber;Home To Mama;sprung
Justin Bieber;Home To Mama;i'm
Justin Bieber;Home To Mama;not
Justin Bieber;Home To Mama;afraid
Justin Bieber;Home To Mama;to
Justin Bieber;Home To Mama;tell
Justin Bieber;Home To Mama;ya
Justin Bieber;Home To Mama;that
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;one
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;one
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;wake
Justin Bieber;Home To Mama;up
Justin Bieber;Home To Mama;thinking
Justin Bieber;Home To Mama;about
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;one
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;can
Justin Bieber;Home To Mama;run
Justin Bieber;Home To Mama;to
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;i'm
Justin Bieber;Home To Mama;feeling
Justin Bieber;Home To Mama;down
Justin Bieber;Home To Mama;life
Justin Bieber;Home To Mama;is
Justin Bieber;Home To Mama;all
Justin Bieber;Home To Mama;good
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;around
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;don't
Justin Bieber;Home To Mama;work
Justin Bieber;Home To Mama;hard
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;it
Justin Bieber;Home To Mama;easy
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;put
Justin Bieber;Home To Mama;in
Justin Bieber;Home To Mama;work
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;it
Justin Bieber;Home To Mama;hard
Justin Bieber;Home To Mama;girl
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;never
Justin Bieber;Home To Mama;believed
Justin Bieber;Home To Mama;in
Justin Bieber;Home To Mama;love
Justin Bieber;Home To Mama;until
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;had
Justin Bieber;Home To Mama;yours
Justin Bieber;Home To Mama;this
Justin Bieber;Home To Mama;is
Justin Bieber;Home To Mama;more
Justin Bieber;Home To Mama;than
Justin Bieber;Home To Mama;a
Justin Bieber;Home To Mama;season
Justin Bieber;Home To Mama;and
Justin Bieber;Home To Mama;i'm
Justin Bieber;Home To Mama;not
Justin Bieber;Home To Mama;just
Justin Bieber;Home To Mama;sprung
Justin Bieber;Home To Mama;i'm
Justin Bieber;Home To Mama;not
Justin Bieber;Home To Mama;afraid
Justin Bieber;Home To Mama;to
Justin Bieber;Home To Mama;tell
Justin Bieber;Home To Mama;ya
Justin Bieber;Home To Mama;that
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;one
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;one
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;wake
Justin Bieber;Home To Mama;up
Justin Bieber;Home To Mama;thinking
Justin Bieber;Home To Mama;about
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;one
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;can
Justin Bieber;Home To Mama;run
Justin Bieber;Home To Mama;to
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;i'm
Justin Bieber;Home To Mama;feeling
Justin Bieber;Home To Mama;down
Justin Bieber;Home To Mama;life
Justin Bieber;Home To Mama;is
Justin Bieber;Home To Mama;all
Justin Bieber;Home To Mama;good
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;around
Justin Bieber;Home To Mama;girl
Justin Bieber;Home To Mama;nobody
Justin Bieber;Home To Mama;from
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;past
Justin Bieber;Home To Mama;is
Justin Bieber;Home To Mama;beating
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;right
Justin Bieber;Home To Mama;now
Justin Bieber;Home To Mama;'cause
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;take
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;home
Justin Bieber;Home To Mama;to
Justin Bieber;Home To Mama;mama
Justin Bieber;Home To Mama;let
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;meet
Justin Bieber;Home To Mama;my
Justin Bieber;Home To Mama;friends
Justin Bieber;Home To Mama;'cause
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;don't
Justin Bieber;Home To Mama;come
Justin Bieber;Home To Mama;with
Justin Bieber;Home To Mama;drama
Justin Bieber;Home To Mama;so
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;want
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;til'
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;world
Justin Bieber;Home To Mama;ends
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;way
Justin Bieber;Home To Mama;more
Justin Bieber;Home To Mama;than
Justin Bieber;Home To Mama;worth
Justin Bieber;Home To Mama;it
Justin Bieber;Home To Mama;but
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;don't
Justin Bieber;Home To Mama;feel
Justin Bieber;Home To Mama;like
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;deserve
Justin Bieber;Home To Mama;it
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;got
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;pieces
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;my
Justin Bieber;Home To Mama;kind
Justin Bieber;Home To Mama;of
Justin Bieber;Home To Mama;perfect
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;don't
Justin Bieber;Home To Mama;work
Justin Bieber;Home To Mama;hard
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;it
Justin Bieber;Home To Mama;easy
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;put
Justin Bieber;Home To Mama;in
Justin Bieber;Home To Mama;work
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;it
Justin Bieber;Home To Mama;hard
Justin Bieber;Home To Mama;girl
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;never
Justin Bieber;Home To Mama;believed
Justin Bieber;Home To Mama;in
Justin Bieber;Home To Mama;love
Justin Bieber;Home To Mama;until
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;had
Justin Bieber;Home To Mama;yours
Justin Bieber;Home To Mama;this
Justin Bieber;Home To Mama;is
Justin Bieber;Home To Mama;more
Justin Bieber;Home To Mama;than
Justin Bieber;Home To Mama;a
Justin Bieber;Home To Mama;season
Justin Bieber;Home To Mama;and
Justin Bieber;Home To Mama;i'm
Justin Bieber;Home To Mama;not
Justin Bieber;Home To Mama;just
Justin Bieber;Home To Mama;sprung
Justin Bieber;Home To Mama;i'm
Justin Bieber;Home To Mama;not
Justin Bieber;Home To Mama;afraid
Justin Bieber;Home To Mama;to
Justin Bieber;Home To Mama;tell
Justin Bieber;Home To Mama;ya
Justin Bieber;Home To Mama;that
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;one
Justin Bieber;Home To Mama;i'm
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;one
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;wake
Justin Bieber;Home To Mama;up
Justin Bieber;Home To Mama;thinking
Justin Bieber;Home To Mama;about
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;one
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;can
Justin Bieber;Home To Mama;run
Justin Bieber;Home To Mama;to
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;i'm
Justin Bieber;Home To Mama;feeling
Justin Bieber;Home To Mama;down
Justin Bieber;Home To Mama;life
Justin Bieber;Home To Mama;is
Justin Bieber;Home To Mama;all
Justin Bieber;Home To Mama;good
Justin Bieber;Home To Mama;when
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;around
Justin Bieber;Home To Mama;girl
Justin Bieber;Home To Mama;nobody
Justin Bieber;Home To Mama;from
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;past
Justin Bieber;Home To Mama;is
Justin Bieber;Home To Mama;beating
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;right
Justin Bieber;Home To Mama;now
Justin Bieber;Home To Mama;'cause
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;take
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;home
Justin Bieber;Home To Mama;to
Justin Bieber;Home To Mama;mama
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;let
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;meet
Justin Bieber;Home To Mama;my
Justin Bieber;Home To Mama;friends
Justin Bieber;Home To Mama;'cause
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;don't
Justin Bieber;Home To Mama;come
Justin Bieber;Home To Mama;with
Justin Bieber;Home To Mama;drama
Justin Bieber;Home To Mama;so
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;want
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;til'
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;world
Justin Bieber;Home To Mama;ends
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;way
Justin Bieber;Home To Mama;more
Justin Bieber;Home To Mama;than
Justin Bieber;Home To Mama;worth
Justin Bieber;Home To Mama;it
Justin Bieber;Home To Mama;and
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;don't
Justin Bieber;Home To Mama;feel
Justin Bieber;Home To Mama;like
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;deserve
Justin Bieber;Home To Mama;it
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;got
Justin Bieber;Home To Mama;the
Justin Bieber;Home To Mama;pieces
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;my
Justin Bieber;Home To Mama;kind
Justin Bieber;Home To Mama;of
Justin Bieber;Home To Mama;perfect
Justin Bieber;Home To Mama;you're
Justin Bieber;Home To Mama;my
Justin Bieber;Home To Mama;kind
Justin Bieber;Home To Mama;of
Justin Bieber;Home To Mama;perfect
Justin Bieber;Home To Mama;whoah
Justin Bieber;Home To Mama;ooh
Justin Bieber;Home To Mama;whoah
Justin Bieber;Home To Mama;ooh
Justin Bieber;Home To Mama;whoah
Justin Bieber;Home To Mama;whoah
Justin Bieber;Home To Mama;i
Justin Bieber;Home To Mama;take
Justin Bieber;Home To Mama;you
Justin Bieber;Home To Mama;home
Justin Bieber;Home To Mama;home
Justin Bieber;Home To Mama;home
Justin Bieber;Home To Mama;to
Justin Bieber;Home To Mama;mama
Justin Bieber;Home To Mama;oh
Justin Bieber;Home To Mama;oh
Justin Bieber;Home To Mama;oh
