artist_name;song_title;token
Justin Bieber;Lonely;everybody
Justin Bieber;Lonely;knows
Justin Bieber;Lonely;my
Justin Bieber;Lonely;name
Justin Bieber;Lonely;now
Justin Bieber;Lonely;but
Justin Bieber;Lonely;somethin'
Justin Bieber;Lonely;'bout
Justin Bieber;Lonely;it
Justin Bieber;Lonely;still
Justin Bieber;Lonely;feels
Justin Bieber;Lonely;strange
Justin Bieber;Lonely;like
Justin Bieber;Lonely;lookin'
Justin Bieber;Lonely;in
Justin Bieber;Lonely;a
Justin Bieber;Lonely;mirror
Justin Bieber;Lonely;tryna
Justin Bieber;Lonely;steady
Justin Bieber;Lonely;yourself
Justin Bieber;Lonely;and
Justin Bieber;Lonely;seein'
Justin Bieber;Lonely;somebody
Justin Bieber;Lonely;else
Justin Bieber;Lonely;and
Justin Bieber;Lonely;everything
Justin Bieber;Lonely;is
Justin Bieber;Lonely;not
Justin Bieber;Lonely;the
Justin Bieber;Lonely;same
Justin Bieber;Lonely;now
Justin Bieber;Lonely;it
Justin Bieber;Lonely;feels
Justin Bieber;Lonely;like
Justin Bieber;Lonely;all
Justin Bieber;Lonely;our
Justin Bieber;Lonely;lives
Justin Bieber;Lonely;have
Justin Bieber;Lonely;changed
Justin Bieber;Lonely;maybe
Justin Bieber;Lonely;when
Justin Bieber;Lonely;i'm
Justin Bieber;Lonely;older
Justin Bieber;Lonely;it'll
Justin Bieber;Lonely;all
Justin Bieber;Lonely;calm
Justin Bieber;Lonely;down
Justin Bieber;Lonely;but
Justin Bieber;Lonely;it
Justin Bieber;Lonely;killin'
Justin Bieber;Lonely;me
Justin Bieber;Lonely;now
Justin Bieber;Lonely;what
Justin Bieber;Lonely;if
Justin Bieber;Lonely;you
Justin Bieber;Lonely;had
Justin Bieber;Lonely;it
Justin Bieber;Lonely;all
Justin Bieber;Lonely;everybody
Justin Bieber;Lonely;knows
Justin Bieber;Lonely;my
Justin Bieber;Lonely;name
Justin Bieber;Lonely;now
Justin Bieber;Lonely;but
Justin Bieber;Lonely;somethin'
Justin Bieber;Lonely;'bout
Justin Bieber;Lonely;it
Justin Bieber;Lonely;still
Justin Bieber;Lonely;feels
Justin Bieber;Lonely;strange
Justin Bieber;Lonely;like
Justin Bieber;Lonely;lookin'
Justin Bieber;Lonely;in
Justin Bieber;Lonely;a
Justin Bieber;Lonely;mirror
Justin Bieber;Lonely;tryna
Justin Bieber;Lonely;steady
Justin Bieber;Lonely;yourself
Justin Bieber;Lonely;and
Justin Bieber;Lonely;seein'
Justin Bieber;Lonely;somebody
Justin Bieber;Lonely;else
Justin Bieber;Lonely;and
Justin Bieber;Lonely;everything
