artist_name;song_title;token
Justin Bieber;Never Say Never;never
Justin Bieber;Never Say Never;say
Justin Bieber;Never Say Never;never
Justin Bieber;Never Say Never;yeah
Justin Bieber;Never Say Never;yeah
Justin Bieber;Never Say Never;never
Justin Bieber;Never Say Never;ever
Justin Bieber;Never Say Never;never
Justin Bieber;Never Say Never;ever
Justin Bieber;Never Say Never;ever
Justin Bieber;Never Say Never;ever
Justin Bieber;Never Say Never;ever
Justin Bieber;Never Say Never;ever
Justin Bieber;Never Say Never;see
Justin Bieber;Never Say Never;i
Justin Bieber;Never Say Never;never
Justin Bieber;Never Say Never;thought
Justin Bieber;Never Say Never;that
Justin Bieber;Never Say Never;i
Justin Bieber;Never Say Never;could
Justin Bieber;Never Say Never;walk
Justin Bieber;Never Say Never;through
Justin Bieber;Never Say Never;fire
Justin Bieber;Never Say Never;i
Justin Bieber;Never Say Never;never
Justin Bieber;Never Say Never;thought
Justin Bieber;Never Say Never;that
Justin Bieber;Never Say Never;i
Justin Bieber;Never Say Never;could
Justin Bieber;Never Say Never;take
Justin Bieber;Never Say Never;the
Justin Bieber;Never Say Never;burn
Justin Bieber;Never Say Never;i
Justin Bieber;Never Say Never;never
Justin Bieber;Never Say Never;had
Justin Bieber;Never Say Never;the
Justin Bieber;Never Say Never;strength
Justin Bieber;Never Say Never;to
Justin Bieber;Never Say Never;take
Justin Bieber;Never Say Never;it
Justin Bieber;Never Say Never;higher
Justin Bieber;Never Say Never;until
Justin Bieber;Never Say Never;i
Justin Bieber;Never Say Never;reached
Justin Bieber;Never Say Never;the
Justin Bieber;Never Say Never;point
Justin Bieber;Never Say Never;of
Justin Bieber;Never Say Never;no
Justin Bieber;Never Say Never;return
Justin Bieber;Never Say Never;and
Justin Bieber;Never Say Never;there
Justin Bieber;Never Say Never;just
Justin Bieber;Never Say Never;no
Justin Bieber;Never Say Never;turning
Justin Bieber;Never Say Never;back
Justin Bieber;Never Say Never;when
Justin Bieber;Never Say Never;your
Justin Bieber;Never Say Never;heart
Justin Bieber;Never Say Never;under
Justin Bieber;Never Say Never;attack
Justin Bieber;Never Say Never;never
Justin Bieber;Never Say Never;say
Justin Bieber;Never Say Never;never
Justin Bieber;Never Say Never;yeah
Justin Bieber;Never Say Never;yeah
Justin Bieber;Never Say Never;never
Justin Bieber;Never Say Never;ever
Justin Bieber;Never Say Never;never
