artist_name;song_title;token
Justin Bieber;Thought Of You;girl
Justin Bieber;Thought Of You;i've
Justin Bieber;Thought Of You;been
Justin Bieber;Thought Of You;fooled
Justin Bieber;Thought Of You;by
Justin Bieber;Thought Of You;your
Justin Bieber;Thought Of You;smile
Justin Bieber;Thought Of You;i
Justin Bieber;Thought Of You;was
Justin Bieber;Thought Of You;mistaken
Justin Bieber;Thought Of You;by
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;way
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;love
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;we
Justin Bieber;Thought Of You;let
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;straight
Justin Bieber;Thought Of You;for
Justin Bieber;Thought Of You;a
Justin Bieber;Thought Of You;while
Justin Bieber;Thought Of You;yeah
Justin Bieber;Thought Of You;but
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;deceived
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;convinced
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;yeah
Justin Bieber;Thought Of You;so
Justin Bieber;Thought Of You;clear
Justin Bieber;Thought Of You;to
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;now
Justin Bieber;Thought Of You;can't
Justin Bieber;Thought Of You;explain
Justin Bieber;Thought Of You;what
Justin Bieber;Thought Of You;you're
Justin Bieber;Thought Of You;doing
Justin Bieber;Thought Of You;to
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;yeah
Justin Bieber;Thought Of You;hey
Justin Bieber;Thought Of You;i
Justin Bieber;Thought Of You;did
Justin Bieber;Thought Of You;but
Justin Bieber;Thought Of You;i
Justin Bieber;Thought Of You;don't
Justin Bieber;Thought Of You;know
Justin Bieber;Thought Of You;how
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;gon'
Justin Bieber;Thought Of You;take
Justin Bieber;Thought Of You;some
Justin Bieber;Thought Of You;time
Justin Bieber;Thought Of You;but
Justin Bieber;Thought Of You;i'll
Justin Bieber;Thought Of You;figure
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;out
Justin Bieber;Thought Of You;ooh
Justin Bieber;Thought Of You;girl
Justin Bieber;Thought Of You;i've
Justin Bieber;Thought Of You;been
Justin Bieber;Thought Of You;fooled
Justin Bieber;Thought Of You;by
Justin Bieber;Thought Of You;your
Justin Bieber;Thought Of You;smile
Justin Bieber;Thought Of You;i
Justin Bieber;Thought Of You;was
Justin Bieber;Thought Of You;mistaken
Justin Bieber;Thought Of You;by
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;way
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;love
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;we
Justin Bieber;Thought Of You;let
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;straight
Justin Bieber;Thought Of You;for
Justin Bieber;Thought Of You;a
Justin Bieber;Thought Of You;while
Justin Bieber;Thought Of You;yeah
Justin Bieber;Thought Of You;but
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;deceived
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;convinced
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;yeah
Justin Bieber;Thought Of You;so
Justin Bieber;Thought Of You;clear
Justin Bieber;Thought Of You;to
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;now
Justin Bieber;Thought Of You;can't
Justin Bieber;Thought Of You;explain
Justin Bieber;Thought Of You;what
Justin Bieber;Thought Of You;you're
Justin Bieber;Thought Of You;doing
Justin Bieber;Thought Of You;to
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;yeah
Justin Bieber;Thought Of You;hey
Justin Bieber;Thought Of You;i
Justin Bieber;Thought Of You;did
Justin Bieber;Thought Of You;but
Justin Bieber;Thought Of You;i
Justin Bieber;Thought Of You;don't
Justin Bieber;Thought Of You;know
Justin Bieber;Thought Of You;how
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;gon'
Justin Bieber;Thought Of You;take
Justin Bieber;Thought Of You;some
Justin Bieber;Thought Of You;time
Justin Bieber;Thought Of You;but
Justin Bieber;Thought Of You;i'll
Justin Bieber;Thought Of You;figure
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;out
Justin Bieber;Thought Of You;ooh
Justin Bieber;Thought Of You;why
Justin Bieber;Thought Of You;should
Justin Bieber;Thought Of You;we
Justin Bieber;Thought Of You;fight
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;feeling
Justin Bieber;Thought Of You;let
Justin Bieber;Thought Of You;just
Justin Bieber;Thought Of You;live
Justin Bieber;Thought Of You;in
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;moment
Justin Bieber;Thought Of You;though
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;infatuation
Justin Bieber;Thought Of You;i'm
Justin Bieber;Thought Of You;good
Justin Bieber;Thought Of You;with
Justin Bieber;Thought Of You;that
Justin Bieber;Thought Of You;cause
Justin Bieber;Thought Of You;i'm
Justin Bieber;Thought Of You;in
Justin Bieber;Thought Of You;love
Justin Bieber;Thought Of You;with
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;thought
Justin Bieber;Thought Of You;of
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;with
Justin Bieber;Thought Of You;thought
Justin Bieber;Thought Of You;of
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;with
Justin Bieber;Thought Of You;thought
Justin Bieber;Thought Of You;of
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;i'm
Justin Bieber;Thought Of You;in
Justin Bieber;Thought Of You;love
Justin Bieber;Thought Of You;with
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;thought
Justin Bieber;Thought Of You;of
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;not
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;things
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;do
Justin Bieber;Thought Of You;but
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;thought
Justin Bieber;Thought Of You;of
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;girl
Justin Bieber;Thought Of You;i'm
Justin Bieber;Thought Of You;in
Justin Bieber;Thought Of You;love
Justin Bieber;Thought Of You;with
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;thought
Justin Bieber;Thought Of You;of
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;girl
Justin Bieber;Thought Of You;i'm
Justin Bieber;Thought Of You;in
Justin Bieber;Thought Of You;love
Justin Bieber;Thought Of You;with
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;thought
Justin Bieber;Thought Of You;of
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;love
Justin Bieber;Thought Of You;with
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;thought
Justin Bieber;Thought Of You;of
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;i
Justin Bieber;Thought Of You;felt
Justin Bieber;Thought Of You;victim
Justin Bieber;Thought Of You;to
Justin Bieber;Thought Of You;your
Justin Bieber;Thought Of You;style
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;so
Justin Bieber;Thought Of You;amazing
Justin Bieber;Thought Of You;girl
Justin Bieber;Thought Of You;you're
Justin Bieber;Thought Of You;in
Justin Bieber;Thought Of You;your
Justin Bieber;Thought Of You;only
Justin Bieber;Thought Of You;rather
Justin Bieber;Thought Of You;be
Justin Bieber;Thought Of You;stuck
Justin Bieber;Thought Of You;in
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;night
Justin Bieber;Thought Of You;yeah
Justin Bieber;Thought Of You;then
Justin Bieber;Thought Of You;tryna
Justin Bieber;Thought Of You;be
Justin Bieber;Thought Of You;without
Justin Bieber;Thought Of You;you
Justin Bieber;Thought Of You;girl
Justin Bieber;Thought Of You;so
Justin Bieber;Thought Of You;clear
Justin Bieber;Thought Of You;to
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;now
Justin Bieber;Thought Of You;can't
Justin Bieber;Thought Of You;explain
Justin Bieber;Thought Of You;what
Justin Bieber;Thought Of You;you're
Justin Bieber;Thought Of You;doing
Justin Bieber;Thought Of You;to
Justin Bieber;Thought Of You;me
Justin Bieber;Thought Of You;i
Justin Bieber;Thought Of You;did
Justin Bieber;Thought Of You;but
Justin Bieber;Thought Of You;i
Justin Bieber;Thought Of You;don't
Justin Bieber;Thought Of You;know
Justin Bieber;Thought Of You;how
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;gon'
Justin Bieber;Thought Of You;take
Justin Bieber;Thought Of You;some
Justin Bieber;Thought Of You;time
Justin Bieber;Thought Of You;but
Justin Bieber;Thought Of You;i'll
Justin Bieber;Thought Of You;figure
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;out
Justin Bieber;Thought Of You;why
Justin Bieber;Thought Of You;should
Justin Bieber;Thought Of You;we
Justin Bieber;Thought Of You;fight
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;feeling
Justin Bieber;Thought Of You;let
Justin Bieber;Thought Of You;just
Justin Bieber;Thought Of You;live
Justin Bieber;Thought Of You;in
Justin Bieber;Thought Of You;the
Justin Bieber;Thought Of You;moment
Justin Bieber;Thought Of You;though
Justin Bieber;Thought Of You;it
Justin Bieber;Thought Of You;infatuation
Justin Bieber;Thought Of You;i'm
Justin Bieber;Thought Of You;good
