artist_name;song_title;token
Katy Perry;Bullet;my
Katy Perry;Bullet;mama
Katy Perry;Bullet;warned
Katy Perry;Bullet;me
Katy Perry;Bullet;about
Katy Perry;Bullet;boys
Katy Perry;Bullet;like
Katy Perry;Bullet;you
Katy Perry;Bullet;it's
Katy Perry;Bullet;the
Katy Perry;Bullet;reason
Katy Perry;Bullet;i
Katy Perry;Bullet;wear
Katy Perry;Bullet;these
Katy Perry;Bullet;high
Katy Perry;Bullet;heeled
Katy Perry;Bullet;boots
Katy Perry;Bullet;and
Katy Perry;Bullet;let
Katy Perry;Bullet;me
Katy Perry;Bullet;give
Katy Perry;Bullet;you
Katy Perry;Bullet;a
Katy Perry;Bullet;little
Katy Perry;Bullet;piece
Katy Perry;Bullet;of
Katy Perry;Bullet;advice
Katy Perry;Bullet;my
Katy Perry;Bullet;papa
Katy Perry;Bullet;packs
Katy Perry;Bullet;heat
Katy Perry;Bullet;and
Katy Perry;Bullet;he
Katy Perry;Bullet;won't
Katy Perry;Bullet;think
Katy Perry;Bullet;twice
Katy Perry;Bullet;well,
Katy Perry;Bullet;why
Katy Perry;Bullet;do
Katy Perry;Bullet;you
Katy Perry;Bullet;think
Katy Perry;Bullet;they
Katy Perry;Bullet;call
Katy Perry;Bullet;me
Katy Perry;Bullet;jessie
Katy Perry;Bullet;james?
Katy Perry;Bullet;too
Katy Perry;Bullet;much
Katy Perry;Bullet;trouble,
Katy Perry;Bullet;better
Katy Perry;Bullet;stay
Katy Perry;Bullet;away
Katy Perry;Bullet;grab
Katy Perry;Bullet;your
Katy Perry;Bullet;hat,
Katy Perry;Bullet;better
Katy Perry;Bullet;get
Katy Perry;Bullet;gone
Katy Perry;Bullet;my
Katy Perry;Bullet;mama
Katy Perry;Bullet;warned
Katy Perry;Bullet;me
Katy Perry;Bullet;about
Katy Perry;Bullet;boys
Katy Perry;Bullet;like
Katy Perry;Bullet;you
Katy Perry;Bullet;it's
Katy Perry;Bullet;the
Katy Perry;Bullet;reason
Katy Perry;Bullet;i
Katy Perry;Bullet;wear
Katy Perry;Bullet;these
Katy Perry;Bullet;high
Katy Perry;Bullet;heeled
Katy Perry;Bullet;boots
Katy Perry;Bullet;and
Katy Perry;Bullet;let
Katy Perry;Bullet;me
Katy Perry;Bullet;give
Katy Perry;Bullet;you
Katy Perry;Bullet;a
Katy Perry;Bullet;little
Katy Perry;Bullet;piece
Katy Perry;Bullet;of
Katy Perry;Bullet;advice
Katy Perry;Bullet;my
Katy Perry;Bullet;papa
Katy Perry;Bullet;packs
Katy Perry;Bullet;heat
Katy Perry;Bullet;and
Katy Perry;Bullet;he
Katy Perry;Bullet;won't
Katy Perry;Bullet;think
Katy Perry;Bullet;twice
Katy Perry;Bullet;well,
Katy Perry;Bullet;why
Katy Perry;Bullet;do
Katy Perry;Bullet;you
Katy Perry;Bullet;think
Katy Perry;Bullet;they
Katy Perry;Bullet;call
Katy Perry;Bullet;me
Katy Perry;Bullet;jessie
Katy Perry;Bullet;james?
Katy Perry;Bullet;too
Katy Perry;Bullet;much
Katy Perry;Bullet;trouble,
Katy Perry;Bullet;better
Katy Perry;Bullet;stay
Katy Perry;Bullet;away
Katy Perry;Bullet;grab
Katy Perry;Bullet;your
Katy Perry;Bullet;hat,
Katy Perry;Bullet;better
Katy Perry;Bullet;get
Katy Perry;Bullet;gone
Katy Perry;Bullet;but
Katy Perry;Bullet;if
Katy Perry;Bullet;you
Katy Perry;Bullet;stay,
Katy Perry;Bullet;you've
Katy Perry;Bullet;been
Katy Perry;Bullet;warned
Katy Perry;Bullet;i'm
Katy Perry;Bullet;a
Katy Perry;Bullet;bullet
Katy Perry;Bullet;and
Katy Perry;Bullet;i'm
Katy Perry;Bullet;headed
Katy Perry;Bullet;straight
Katy Perry;Bullet;for
Katy Perry;Bullet;your
Katy Perry;Bullet;heart
Katy Perry;Bullet;{yeah}
Katy Perry;Bullet;be
Katy Perry;Bullet;careful
Katy Perry;Bullet;what
Katy Perry;Bullet;you
Katy Perry;Bullet;start
Katy Perry;Bullet;i'm
Katy Perry;Bullet;a
Katy Perry;Bullet;bullet
Katy Perry;Bullet;and
Katy Perry;Bullet;i'm
Katy Perry;Bullet;headed
Katy Perry;Bullet;straight
Katy Perry;Bullet;for
Katy Perry;Bullet;your
Katy Perry;Bullet;heart
Katy Perry;Bullet;{yeah}
Katy Perry;Bullet;it's
Katy Perry;Bullet;gonna
Katy Perry;Bullet;leave
Katy Perry;Bullet;a
Katy Perry;Bullet;mark
Katy Perry;Bullet;be
Katy Perry;Bullet;careful
Katy Perry;Bullet;what
Katy Perry;Bullet;you
Katy Perry;Bullet;wish
Katy Perry;Bullet;for
Katy Perry;Bullet;you
Katy Perry;Bullet;get
Katy Perry;Bullet;what
Katy Perry;Bullet;you
Katy Perry;Bullet;see
Katy Perry;Bullet;is
Katy Perry;Bullet;that
Katy Perry;Bullet;a
Katy Perry;Bullet;gun
Katy Perry;Bullet;in
Katy Perry;Bullet;your
Katy Perry;Bullet;pocket
Katy Perry;Bullet;or
Katy Perry;Bullet;are
Katy Perry;Bullet;you
Katy Perry;Bullet;just
Katy Perry;Bullet;happy
Katy Perry;Bullet;to
Katy Perry;Bullet;see
Katy Perry;Bullet;me?
Katy Perry;Bullet;i'm
Katy Perry;Bullet;a
Katy Perry;Bullet;bullet
Katy Perry;Bullet;and
Katy Perry;Bullet;i'm
Katy Perry;Bullet;headed
Katy Perry;Bullet;straight
Katy Perry;Bullet;for
Katy Perry;Bullet;your
Katy Perry;Bullet;heart
Katy Perry;Bullet;{yeah}
Katy Perry;Bullet;be
Katy Perry;Bullet;careful
Katy Perry;Bullet;what
Katy Perry;Bullet;you
Katy Perry;Bullet;start
Katy Perry;Bullet;well,
Katy Perry;Bullet;every
Katy Perry;Bullet;now
Katy Perry;Bullet;and
Katy Perry;Bullet;then
Katy Perry;Bullet;i
Katy Perry;Bullet;make
Katy Perry;Bullet;a
Katy Perry;Bullet;man
Katy Perry;Bullet;break
Katy Perry;Bullet;a
Katy Perry;Bullet;sweat
Katy Perry;Bullet;watch
Katy Perry;Bullet;him
Katy Perry;Bullet;work
Katy Perry;Bullet;overtime
Katy Perry;Bullet;on
Katy Perry;Bullet;my
Katy Perry;Bullet;wristbands
Katy Perry;Bullet;{yeah}
Katy Perry;Bullet;cause
Katy Perry;Bullet;i'm
Katy Perry;Bullet;the
Katy Perry;Bullet;kinda
Katy Perry;Bullet;girl
Katy Perry;Bullet;that
Katy Perry;Bullet;you
Katy Perry;Bullet;wanna
Katy Perry;Bullet;show
Katy Perry;Bullet;off
Katy Perry;Bullet;i'll
Katy Perry;Bullet;tell
Katy Perry;Bullet;'em,
Katy Perry;Bullet;all
Katy Perry;Bullet;your
Katy Perry;Bullet;friends
Katy Perry;Bullet;with
Katy Perry;Bullet;a
Katy Perry;Bullet;southern
Katy Perry;Bullet;drawl
Katy Perry;Bullet;{yeah}
Katy Perry;Bullet;well,
Katy Perry;Bullet;why
Katy Perry;Bullet;do
Katy Perry;Bullet;you
Katy Perry;Bullet;think
Katy Perry;Bullet;they
Katy Perry;Bullet;call
Katy Perry;Bullet;me
Katy Perry;Bullet;jessie
Katy Perry;Bullet;james?
Katy Perry;Bullet;sweet
Katy Perry;Bullet;as
Katy Perry;Bullet;a
Katy Perry;Bullet;peach,
Katy Perry;Bullet;impossible
Katy Perry;Bullet;to
Katy Perry;Bullet;tame
Katy Perry;Bullet;fingers
Katy Perry;Bullet;on
Katy Perry;Bullet;the
Katy Perry;Bullet;trigger
Katy Perry;Bullet;and
Katy Perry;Bullet;you'll
Katy Perry;Bullet;be
