artist_name;song_title;token
Katy Perry;Choose Your Battles;you
Katy Perry;Choose Your Battles;are
Katy Perry;Choose Your Battles;my
Katy Perry;Choose Your Battles;hurt
Katy Perry;Choose Your Battles;locker
Katy Perry;Choose Your Battles;lover
Katy Perry;Choose Your Battles;keep
Katy Perry;Choose Your Battles;me
Katy Perry;Choose Your Battles;walking
Katy Perry;Choose Your Battles;on
Katy Perry;Choose Your Battles;a
Katy Perry;Choose Your Battles;wire
Katy Perry;Choose Your Battles;don't
Katy Perry;Choose Your Battles;know
Katy Perry;Choose Your Battles;when
Katy Perry;Choose Your Battles;you'll
Katy Perry;Choose Your Battles;blow
Katy Perry;Choose Your Battles;so
Katy Perry;Choose Your Battles;i
Katy Perry;Choose Your Battles;tiptoe
Katy Perry;Choose Your Battles;through
Katy Perry;Choose Your Battles;your
Katy Perry;Choose Your Battles;triggered
Katy Perry;Choose Your Battles;mind
Katy Perry;Choose Your Battles;you
Katy Perry;Choose Your Battles;fight
Katy Perry;Choose Your Battles;me,
Katy Perry;Choose Your Battles;but
Katy Perry;Choose Your Battles;i'm
Katy Perry;Choose Your Battles;on
Katy Perry;Choose Your Battles;your
Katy Perry;Choose Your Battles;side
Katy Perry;Choose Your Battles;defeated,
Katy Perry;Choose Your Battles;now
Katy Perry;Choose Your Battles;retreating
Katy Perry;Choose Your Battles;why
Katy Perry;Choose Your Battles;you
Katy Perry;Choose Your Battles;tryna
Katy Perry;Choose Your Battles;make
Katy Perry;Choose Your Battles;me
Katy Perry;Choose Your Battles;your
Katy Perry;Choose Your Battles;enemy
Katy Perry;Choose Your Battles;all
Katy Perry;Choose Your Battles;you
Katy Perry;Choose Your Battles;really
Katy Perry;Choose Your Battles;need
Katy Perry;Choose Your Battles;is
Katy Perry;Choose Your Battles;a
Katy Perry;Choose Your Battles;little
Katy Perry;Choose Your Battles;peace
Katy Perry;Choose Your Battles;i
Katy Perry;Choose Your Battles;just
Katy Perry;Choose Your Battles;wanna
Katy Perry;Choose Your Battles;be
Katy Perry;Choose Your Battles;your
Katy Perry;Choose Your Battles;lover
Katy Perry;Choose Your Battles;oh,
Katy Perry;Choose Your Battles;this
Katy Perry;Choose Your Battles;is
Katy Perry;Choose Your Battles;not
Katy Perry;Choose Your Battles;a
Katy Perry;Choose Your Battles;competition
Katy Perry;Choose Your Battles;you
Katy Perry;Choose Your Battles;are
Katy Perry;Choose Your Battles;my
Katy Perry;Choose Your Battles;hurt
Katy Perry;Choose Your Battles;locker
Katy Perry;Choose Your Battles;lover
Katy Perry;Choose Your Battles;keep
Katy Perry;Choose Your Battles;me
Katy Perry;Choose Your Battles;walking
Katy Perry;Choose Your Battles;on
Katy Perry;Choose Your Battles;a
Katy Perry;Choose Your Battles;wire
