artist_name;song_title;token
Katy Perry;Double Rainbow;you're
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;one
Katy Perry;Double Rainbow;of
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;one
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;one
Katy Perry;Double Rainbow;of
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;kind
Katy Perry;Double Rainbow;that
Katy Perry;Double Rainbow;you
Katy Perry;Double Rainbow;only
Katy Perry;Double Rainbow;find
Katy Perry;Double Rainbow;once
Katy Perry;Double Rainbow;in
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;lifetime
Katy Perry;Double Rainbow;made
Katy Perry;Double Rainbow;to
Katy Perry;Double Rainbow;fit
Katy Perry;Double Rainbow;like
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;fingerprint
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;code
Katy Perry;Double Rainbow;that
Katy Perry;Double Rainbow;clicks
Katy Perry;Double Rainbow;open
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;gold
Katy Perry;Double Rainbow;mine
Katy Perry;Double Rainbow;they
Katy Perry;Double Rainbow;say
Katy Perry;Double Rainbow;one
Katy Perry;Double Rainbow;man's
Katy Perry;Double Rainbow;trash
Katy Perry;Double Rainbow;is
Katy Perry;Double Rainbow;another
Katy Perry;Double Rainbow;man's
Katy Perry;Double Rainbow;treasure
Katy Perry;Double Rainbow;when
Katy Perry;Double Rainbow;i
Katy Perry;Double Rainbow;found
Katy Perry;Double Rainbow;you,
Katy Perry;Double Rainbow;it
Katy Perry;Double Rainbow;was
Katy Perry;Double Rainbow;all
Katy Perry;Double Rainbow;pretty
Katy Perry;Double Rainbow;better
Katy Perry;Double Rainbow;secretly,
Katy Perry;Double Rainbow;i
Katy Perry;Double Rainbow;hit
Katy Perry;Double Rainbow;the
Katy Perry;Double Rainbow;lottery
Katy Perry;Double Rainbow;'cause
Katy Perry;Double Rainbow;you're
Katy Perry;Double Rainbow;you're
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;one
Katy Perry;Double Rainbow;of
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;one
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;one
Katy Perry;Double Rainbow;of
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;kind
Katy Perry;Double Rainbow;that
Katy Perry;Double Rainbow;you
Katy Perry;Double Rainbow;only
Katy Perry;Double Rainbow;find
Katy Perry;Double Rainbow;once
Katy Perry;Double Rainbow;in
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;lifetime
Katy Perry;Double Rainbow;made
Katy Perry;Double Rainbow;to
Katy Perry;Double Rainbow;fit
Katy Perry;Double Rainbow;like
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;fingerprint
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;code
Katy Perry;Double Rainbow;that
Katy Perry;Double Rainbow;clicks
Katy Perry;Double Rainbow;open
Katy Perry;Double Rainbow;a
Katy Perry;Double Rainbow;gold
Katy Perry;Double Rainbow;mine
Katy Perry;Double Rainbow;they
Katy Perry;Double Rainbow;say
Katy Perry;Double Rainbow;one
Katy Perry;Double Rainbow;man's
Katy Perry;Double Rainbow;trash
Katy Perry;Double Rainbow;is
Katy Perry;Double Rainbow;another
Katy Perry;Double Rainbow;man's
Katy Perry;Double Rainbow;treasure
Katy Perry;Double Rainbow;when
Katy Perry;Double Rainbow;i
Katy Perry;Double Rainbow;found
Katy Perry;Double Rainbow;you,
Katy Perry;Double Rainbow;it
Katy Perry;Double Rainbow;was
Katy Perry;Double Rainbow;all
Katy Perry;Double Rainbow;pretty
Katy Perry;Double Rainbow;better
Katy Perry;Double Rainbow;secretly,
Katy Perry;Double Rainbow;i
Katy Perry;Double Rainbow;hit
Katy Perry;Double Rainbow;the
Katy Perry;Double Rainbow;lottery
Katy Perry;Double Rainbow;'cause
Katy Perry;Double Rainbow;you're
Katy Perry;Double Rainbow;brighter
Katy Perry;Double Rainbow;than
Katy Perry;Double Rainbow;all
Katy Perry;Double Rainbow;of
Katy Perry;Double Rainbow;the
Katy Perry;Double Rainbow;northern
Katy Perry;Double Rainbow;the
Katy Perry;Double Rainbow;lights
Katy Perry;Double Rainbow;you
Katy Perry;Double Rainbow;speak
Katy Perry;Double Rainbow;to
Katy Perry;Double Rainbow;me,
Katy Perry;Double Rainbow;even
Katy Perry;Double Rainbow;in
Katy Perry;Double Rainbow;my
Katy Perry;Double Rainbow;dreams,
Katy Perry;Double Rainbow;wouldn't
Katy Perry;Double Rainbow;let
Katy Perry;Double Rainbow;you
Katy Perry;Double Rainbow;go
Katy Perry;Double Rainbow;for
Katy Perry;Double Rainbow;even
Katy Perry;Double Rainbow;the
Katy Perry;Double Rainbow;highest
Katy Perry;Double Rainbow;price
Katy Perry;Double Rainbow;they
Katy Perry;Double Rainbow;say
Katy Perry;Double Rainbow;one
Katy Perry;Double Rainbow;man's
Katy Perry;Double Rainbow;trash
Katy Perry;Double Rainbow;is
Katy Perry;Double Rainbow;another
