artist_name;song_title;token
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;big
Katy Perry;Hey Hey Hey;beautiful
Katy Perry;Hey Hey Hey;brain
Katy Perry;Hey Hey Hey;with
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;pretty
Katy Perry;Hey Hey Hey;face,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;babydoll
Katy Perry;Hey Hey Hey;with
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;briefcase,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;hot
Katy Perry;Hey Hey Hey;little
Katy Perry;Hey Hey Hey;hurricane
Katy Perry;Hey Hey Hey;'cause
Katy Perry;Hey Hey Hey;i'm
Katy Perry;Hey Hey Hey;feminine
Katy Perry;Hey Hey Hey;and
Katy Perry;Hey Hey Hey;soft,
Katy Perry;Hey Hey Hey;but
Katy Perry;Hey Hey Hey;i'm
Katy Perry;Hey Hey Hey;still
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;boss,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;red
Katy Perry;Hey Hey Hey;lipstick
Katy Perry;Hey Hey Hey;but
Katy Perry;Hey Hey Hey;still
Katy Perry;Hey Hey Hey;so
Katy Perry;Hey Hey Hey;raw,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;marilyn
Katy Perry;Hey Hey Hey;monroe
Katy Perry;Hey Hey Hey;in
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;monster
Katy Perry;Hey Hey Hey;truck
Katy Perry;Hey Hey Hey;'cause
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;can
Katy Perry;Hey Hey Hey;be
Katy Perry;Hey Hey Hey;zen,
Katy Perry;Hey Hey Hey;and
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;can
Katy Perry;Hey Hey Hey;be
Katy Perry;Hey Hey Hey;the
Katy Perry;Hey Hey Hey;storm,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;big
Katy Perry;Hey Hey Hey;beautiful
Katy Perry;Hey Hey Hey;brain
Katy Perry;Hey Hey Hey;with
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;pretty
Katy Perry;Hey Hey Hey;face,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;babydoll
Katy Perry;Hey Hey Hey;with
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;briefcase,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;hot
Katy Perry;Hey Hey Hey;little
Katy Perry;Hey Hey Hey;hurricane
Katy Perry;Hey Hey Hey;'cause
Katy Perry;Hey Hey Hey;i'm
Katy Perry;Hey Hey Hey;feminine
Katy Perry;Hey Hey Hey;and
Katy Perry;Hey Hey Hey;soft,
Katy Perry;Hey Hey Hey;but
Katy Perry;Hey Hey Hey;i'm
Katy Perry;Hey Hey Hey;still
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;boss,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;red
Katy Perry;Hey Hey Hey;lipstick
Katy Perry;Hey Hey Hey;but
Katy Perry;Hey Hey Hey;still
Katy Perry;Hey Hey Hey;so
Katy Perry;Hey Hey Hey;raw,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;marilyn
Katy Perry;Hey Hey Hey;monroe
Katy Perry;Hey Hey Hey;in
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;monster
Katy Perry;Hey Hey Hey;truck
Katy Perry;Hey Hey Hey;'cause
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;can
Katy Perry;Hey Hey Hey;be
Katy Perry;Hey Hey Hey;zen,
Katy Perry;Hey Hey Hey;and
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;can
Katy Perry;Hey Hey Hey;be
Katy Perry;Hey Hey Hey;the
Katy Perry;Hey Hey Hey;storm,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;smell
Katy Perry;Hey Hey Hey;like
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;rose,
Katy Perry;Hey Hey Hey;and
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;pierce
Katy Perry;Hey Hey Hey;like
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;thorn,
Katy Perry;Hey Hey Hey;yeah
Katy Perry;Hey Hey Hey;karate
Katy Perry;Hey Hey Hey;chopping
Katy Perry;Hey Hey Hey;the
Katy Perry;Hey Hey Hey;clichés
Katy Perry;Hey Hey Hey;and
Katy Perry;Hey Hey Hey;norms
Katy Perry;Hey Hey Hey;all
Katy Perry;Hey Hey Hey;in
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;dress
Katy Perry;Hey Hey Hey;hey,
Katy Perry;Hey Hey Hey;hey,
Katy Perry;Hey Hey Hey;hey
Katy Perry;Hey Hey Hey;you
Katy Perry;Hey Hey Hey;think
Katy Perry;Hey Hey Hey;that
Katy Perry;Hey Hey Hey;i'm
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;little
Katy Perry;Hey Hey Hey;ba-a-by
Katy Perry;Hey Hey Hey;you
Katy Perry;Hey Hey Hey;think
Katy Perry;Hey Hey Hey;that
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;am
Katy Perry;Hey Hey Hey;fragile
Katy Perry;Hey Hey Hey;like
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;fabergé
Katy Perry;Hey Hey Hey;you
Katy Perry;Hey Hey Hey;think
Katy Perry;Hey Hey Hey;that
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;am
Katy Perry;Hey Hey Hey;cracking,
Katy Perry;Hey Hey Hey;but
Katy Perry;Hey Hey Hey;you
Katy Perry;Hey Hey Hey;can't
Katy Perry;Hey Hey Hey;break
Katy Perry;Hey Hey Hey;me
Katy Perry;Hey Hey Hey;no-o-o-o-oh,
Katy Perry;Hey Hey Hey;no
Katy Perry;Hey Hey Hey;way
Katy Perry;Hey Hey Hey;no-o-o-o-oh,
Katy Perry;Hey Hey Hey;no
Katy Perry;Hey Hey Hey;way
Katy Perry;Hey Hey Hey;no-o-o-o-oh,
Katy Perry;Hey Hey Hey;no
Katy Perry;Hey Hey Hey;way
Katy Perry;Hey Hey Hey;you
Katy Perry;Hey Hey Hey;think
Katy Perry;Hey Hey Hey;that
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;am
Katy Perry;Hey Hey Hey;cracking,
Katy Perry;Hey Hey Hey;but
Katy Perry;Hey Hey Hey;you
Katy Perry;Hey Hey Hey;can't
Katy Perry;Hey Hey Hey;break
Katy Perry;Hey Hey Hey;me
Katy Perry;Hey Hey Hey;(br-br-break
Katy Perry;Hey Hey Hey;me)
Katy Perry;Hey Hey Hey;yeah,
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;bounce
Katy Perry;Hey Hey Hey;back
Katy Perry;Hey Hey Hey;like
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;pro
Katy Perry;Hey Hey Hey;'cause
Katy Perry;Hey Hey Hey;i'm
Katy Perry;Hey Hey Hey;so
Katy Perry;Hey Hey Hey;resilient
Katy Perry;Hey Hey Hey;lol
Katy Perry;Hey Hey Hey;at
Katy Perry;Hey Hey Hey;your
Katy Perry;Hey Hey Hey;limits
Katy Perry;Hey Hey Hey;keep
Katy Perry;Hey Hey Hey;your
Katy Perry;Hey Hey Hey;penny
Katy Perry;Hey Hey Hey;thoughts,
Katy Perry;Hey Hey Hey;i'm
Katy Perry;Hey Hey Hey;making
Katy Perry;Hey Hey Hey;a
Katy Perry;Hey Hey Hey;mint
Katy Perry;Hey Hey Hey;'cause
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;can
Katy Perry;Hey Hey Hey;be
Katy Perry;Hey Hey Hey;zen,
Katy Perry;Hey Hey Hey;and
Katy Perry;Hey Hey Hey;i
Katy Perry;Hey Hey Hey;can
Katy Perry;Hey Hey Hey;be
Katy Perry;Hey Hey Hey;the
