artist_name;song_title;token
Katy Perry;Miss You More;saw
Katy Perry;Miss You More;your
Katy Perry;Miss You More;picture
Katy Perry;Miss You More;on
Katy Perry;Miss You More;accident
Katy Perry;Miss You More;your
Katy Perry;Miss You More;face
Katy Perry;Miss You More;has
Katy Perry;Miss You More;changed
Katy Perry;Miss You More;the
Katy Perry;Miss You More;lines
Katy Perry;Miss You More;are
Katy Perry;Miss You More;sinking
Katy Perry;Miss You More;in
Katy Perry;Miss You More;i
Katy Perry;Miss You More;pressed
Katy Perry;Miss You More;play,
Katy Perry;Miss You More;i
Katy Perry;Miss You More;should
Katy Perry;Miss You More;haven't
Katy Perry;Miss You More;congratulations
Katy Perry;Miss You More;but
Katy Perry;Miss You More;do
Katy Perry;Miss You More;you
Katy Perry;Miss You More;ever
Katy Perry;Miss You More;wonder
Katy Perry;Miss You More;what
Katy Perry;Miss You More;we
Katy Perry;Miss You More;could
Katy Perry;Miss You More;have
Katy Perry;Miss You More;been?
Katy Perry;Miss You More;but
Katy Perry;Miss You More;your
Katy Perry;Miss You More;mind
Katy Perry;Miss You More;plays
Katy Perry;Miss You More;tricks
Katy Perry;Miss You More;with
Katy Perry;Miss You More;distance
Katy Perry;Miss You More;always
Katy Perry;Miss You More;makes
Katy Perry;Miss You More;things
Katy Perry;Miss You More;feel
Katy Perry;Miss You More;so
Katy Perry;Miss You More;unfinished
Katy Perry;Miss You More;i
Katy Perry;Miss You More;miss
Katy Perry;Miss You More;you
Katy Perry;Miss You More;more
Katy Perry;Miss You More;than
Katy Perry;Miss You More;i
Katy Perry;Miss You More;loved
Katy Perry;Miss You More;you
Katy Perry;Miss You More;i
Katy Perry;Miss You More;do
Katy Perry;Miss You More;saw
Katy Perry;Miss You More;your
Katy Perry;Miss You More;picture
Katy Perry;Miss You More;on
Katy Perry;Miss You More;accident
Katy Perry;Miss You More;your
Katy Perry;Miss You More;face
Katy Perry;Miss You More;has
Katy Perry;Miss You More;changed
Katy Perry;Miss You More;the
Katy Perry;Miss You More;lines
Katy Perry;Miss You More;are
Katy Perry;Miss You More;sinking
Katy Perry;Miss You More;in
Katy Perry;Miss You More;i
Katy Perry;Miss You More;pressed
Katy Perry;Miss You More;play,
Katy Perry;Miss You More;i
Katy Perry;Miss You More;should
Katy Perry;Miss You More;haven't
Katy Perry;Miss You More;congratulations
Katy Perry;Miss You More;but
Katy Perry;Miss You More;do
Katy Perry;Miss You More;you
Katy Perry;Miss You More;ever
Katy Perry;Miss You More;wonder
Katy Perry;Miss You More;what
Katy Perry;Miss You More;we
Katy Perry;Miss You More;could
Katy Perry;Miss You More;have
Katy Perry;Miss You More;been?
Katy Perry;Miss You More;but
Katy Perry;Miss You More;your
Katy Perry;Miss You More;mind
Katy Perry;Miss You More;plays
Katy Perry;Miss You More;tricks
Katy Perry;Miss You More;with
Katy Perry;Miss You More;distance
Katy Perry;Miss You More;always
Katy Perry;Miss You More;makes
Katy Perry;Miss You More;things
Katy Perry;Miss You More;feel
Katy Perry;Miss You More;so
Katy Perry;Miss You More;unfinished
Katy Perry;Miss You More;i
Katy Perry;Miss You More;miss
Katy Perry;Miss You More;you
Katy Perry;Miss You More;more
Katy Perry;Miss You More;than
Katy Perry;Miss You More;i
Katy Perry;Miss You More;loved
Katy Perry;Miss You More;you
Katy Perry;Miss You More;i
Katy Perry;Miss You More;do
Katy Perry;Miss You More;i
Katy Perry;Miss You More;miss
Katy Perry;Miss You More;you
Katy Perry;Miss You More;more
Katy Perry;Miss You More;than
Katy Perry;Miss You More;i
Katy Perry;Miss You More;loved
Katy Perry;Miss You More;you
Katy Perry;Miss You More;(i
Katy Perry;Miss You More;wonder
Katy Perry;Miss You More;what
Katy Perry;Miss You More;we
Katy Perry;Miss You More;could
Katy Perry;Miss You More;have
Katy Perry;Miss You More;been)
Katy Perry;Miss You More;i
Katy Perry;Miss You More;miss
Katy Perry;Miss You More;you
Katy Perry;Miss You More;more
Katy Perry;Miss You More;than
Katy Perry;Miss You More;i
Katy Perry;Miss You More;loved
Katy Perry;Miss You More;you
Katy Perry;Miss You More;i
Katy Perry;Miss You More;do
Katy Perry;Miss You More;i
Katy Perry;Miss You More;miss
Katy Perry;Miss You More;you
Katy Perry;Miss You More;more
Katy Perry;Miss You More;than
Katy Perry;Miss You More;i
Katy Perry;Miss You More;loved
Katy Perry;Miss You More;you
Katy Perry;Miss You More;(i
Katy Perry;Miss You More;wonder
Katy Perry;Miss You More;what
Katy Perry;Miss You More;we
Katy Perry;Miss You More;could
Katy Perry;Miss You More;have
Katy Perry;Miss You More;been)
Katy Perry;Miss You More;saw
Katy Perry;Miss You More;a
Katy Perry;Miss You More;balloon
Katy Perry;Miss You More;floating
Katy Perry;Miss You More;away
Katy Perry;Miss You More;i
Katy Perry;Miss You More;thought,
Katy Perry;Miss You More;"""did"
Katy Perry;Miss You More;someone
Katy Perry;Miss You More;let
Katy Perry;Miss You More;go,
Katy Perry;Miss You More;or
Katy Perry;Miss You More;did
Katy Perry;Miss You More;they
Katy Perry;Miss You More;lose
Katy Perry;Miss You More;"it?"""
Katy Perry;Miss You More;so
Katy Perry;Miss You More;strange,
Katy Perry;Miss You More;you
Katy Perry;Miss You More;know
Katy Perry;Miss You More;all
Katy Perry;Miss You More;my
Katy Perry;Miss You More;secrets
Katy Perry;Miss You More;please
Katy Perry;Miss You More;keep
Katy Perry;Miss You More;them
Katy Perry;Miss You More;safe
Katy Perry;Miss You More;and
Katy Perry;Miss You More;darling,
Katy Perry;Miss You More;you
