artist_name;song_title;token
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;remember
Katy Perry;Save As Draft;when
Katy Perry;Save As Draft;you
Katy Perry;Save As Draft;used
Katy Perry;Save As Draft;to
Katy Perry;Save As Draft;be
Katy Perry;Save As Draft;my
Katy Perry;Save As Draft;every
Katy Perry;Save As Draft;other
Katy Perry;Save As Draft;thought
Katy Perry;Save As Draft;but
Katy Perry;Save As Draft;now
Katy Perry;Save As Draft;my
Katy Perry;Save As Draft;calendar's
Katy Perry;Save As Draft;so
Katy Perry;Save As Draft;full,
Katy Perry;Save As Draft;it's
Katy Perry;Save As Draft;easier
Katy Perry;Save As Draft;to
Katy Perry;Save As Draft;move
Katy Perry;Save As Draft;on
Katy Perry;Save As Draft;sometimes
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;swear
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;pass
Katy Perry;Save As Draft;your
Katy Perry;Save As Draft;suv
Katy Perry;Save As Draft;on
Katy Perry;Save As Draft;sunset
Katy Perry;Save As Draft;boulevard
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;don't
Katy Perry;Save As Draft;fuck
Katy Perry;Save As Draft;with
Katy Perry;Save As Draft;change,
Katy Perry;Save As Draft;but
Katy Perry;Save As Draft;lately
Katy Perry;Save As Draft;i've
Katy Perry;Save As Draft;been
Katy Perry;Save As Draft;flipping
Katy Perry;Save As Draft;coins
Katy Perry;Save As Draft;a
Katy Perry;Save As Draft;lot
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;struggle
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;juggle
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;could
Katy Perry;Save As Draft;just
Katy Perry;Save As Draft;throw
Katy Perry;Save As Draft;a
Katy Perry;Save As Draft;line
Katy Perry;Save As Draft;to
Katy Perry;Save As Draft;you
Katy Perry;Save As Draft;but
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;should
Katy Perry;Save As Draft;let
Katy Perry;Save As Draft;sleeping
Katy Perry;Save As Draft;dogs
Katy Perry;Save As Draft;lie
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;remember
Katy Perry;Save As Draft;when
Katy Perry;Save As Draft;you
Katy Perry;Save As Draft;used
Katy Perry;Save As Draft;to
Katy Perry;Save As Draft;be
Katy Perry;Save As Draft;my
Katy Perry;Save As Draft;every
Katy Perry;Save As Draft;other
Katy Perry;Save As Draft;thought
Katy Perry;Save As Draft;but
Katy Perry;Save As Draft;now
Katy Perry;Save As Draft;my
Katy Perry;Save As Draft;calendar's
Katy Perry;Save As Draft;so
Katy Perry;Save As Draft;full,
Katy Perry;Save As Draft;it's
Katy Perry;Save As Draft;easier
Katy Perry;Save As Draft;to
Katy Perry;Save As Draft;move
Katy Perry;Save As Draft;on
Katy Perry;Save As Draft;sometimes
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;swear
Katy Perry;Save As Draft;i
Katy Perry;Save As Draft;pass
Katy Perry;Save As Draft;your
Katy Perry;Save As Draft;suv
Katy Perry;Save As Draft;on
Katy Perry;Save As Draft;sunset
Katy Perry;Save As Draft;boulevard
