artist_name;song_title;token
Katy Perry;Thinking Of You;comparisons
Katy Perry;Thinking Of You;are
Katy Perry;Thinking Of You;easily
Katy Perry;Thinking Of You;done
Katy Perry;Thinking Of You;once
Katy Perry;Thinking Of You;you've
Katy Perry;Thinking Of You;had
Katy Perry;Thinking Of You;a
Katy Perry;Thinking Of You;taste
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;perfection
Katy Perry;Thinking Of You;like
Katy Perry;Thinking Of You;an
Katy Perry;Thinking Of You;apple
Katy Perry;Thinking Of You;hanging
Katy Perry;Thinking Of You;from
Katy Perry;Thinking Of You;a
Katy Perry;Thinking Of You;tree
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;picked
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;ripest
Katy Perry;Thinking Of You;one
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;still
Katy Perry;Thinking Of You;got
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;seed
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;said
Katy Perry;Thinking Of You;move
Katy Perry;Thinking Of You;on
Katy Perry;Thinking Of You;where
Katy Perry;Thinking Of You;do
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;go
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;guess
Katy Perry;Thinking Of You;second
Katy Perry;Thinking Of You;best
Katy Perry;Thinking Of You;is
Katy Perry;Thinking Of You;all
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;will
Katy Perry;Thinking Of You;know
Katy Perry;Thinking Of You;cause
Katy Perry;Thinking Of You;when
Katy Perry;Thinking Of You;i'm
Katy Perry;Thinking Of You;with
Katy Perry;Thinking Of You;him
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;am
Katy Perry;Thinking Of You;thinking
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;thinking
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;what
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;would
Katy Perry;Thinking Of You;do
Katy Perry;Thinking Of You;if
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;were
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;one
Katy Perry;Thinking Of You;comparisons
Katy Perry;Thinking Of You;are
Katy Perry;Thinking Of You;easily
Katy Perry;Thinking Of You;done
Katy Perry;Thinking Of You;once
Katy Perry;Thinking Of You;you've
Katy Perry;Thinking Of You;had
Katy Perry;Thinking Of You;a
Katy Perry;Thinking Of You;taste
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;perfection
Katy Perry;Thinking Of You;like
Katy Perry;Thinking Of You;an
Katy Perry;Thinking Of You;apple
Katy Perry;Thinking Of You;hanging
Katy Perry;Thinking Of You;from
Katy Perry;Thinking Of You;a
Katy Perry;Thinking Of You;tree
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;picked
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;ripest
Katy Perry;Thinking Of You;one
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;still
Katy Perry;Thinking Of You;got
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;seed
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;said
Katy Perry;Thinking Of You;move
Katy Perry;Thinking Of You;on
Katy Perry;Thinking Of You;where
Katy Perry;Thinking Of You;do
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;go
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;guess
Katy Perry;Thinking Of You;second
Katy Perry;Thinking Of You;best
Katy Perry;Thinking Of You;is
Katy Perry;Thinking Of You;all
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;will
Katy Perry;Thinking Of You;know
Katy Perry;Thinking Of You;cause
Katy Perry;Thinking Of You;when
Katy Perry;Thinking Of You;i'm
Katy Perry;Thinking Of You;with
Katy Perry;Thinking Of You;him
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;am
Katy Perry;Thinking Of You;thinking
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;thinking
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;what
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;would
Katy Perry;Thinking Of You;do
Katy Perry;Thinking Of You;if
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;were
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;one
Katy Perry;Thinking Of You;who
Katy Perry;Thinking Of You;was
Katy Perry;Thinking Of You;spending
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;night
Katy Perry;Thinking Of You;oh
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;wish
Katy Perry;Thinking Of You;that
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;was
Katy Perry;Thinking Of You;looking
Katy Perry;Thinking Of You;into
Katy Perry;Thinking Of You;your
Katy Perry;Thinking Of You;eyes
Katy Perry;Thinking Of You;you're
Katy Perry;Thinking Of You;like
Katy Perry;Thinking Of You;an
Katy Perry;Thinking Of You;indian
Katy Perry;Thinking Of You;summer
Katy Perry;Thinking Of You;in
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;middle
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;winter
Katy Perry;Thinking Of You;like
Katy Perry;Thinking Of You;a
Katy Perry;Thinking Of You;hard
Katy Perry;Thinking Of You;candy
Katy Perry;Thinking Of You;with
Katy Perry;Thinking Of You;a
Katy Perry;Thinking Of You;surprise
Katy Perry;Thinking Of You;center
Katy Perry;Thinking Of You;how
Katy Perry;Thinking Of You;do
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;get
Katy Perry;Thinking Of You;better
Katy Perry;Thinking Of You;once
Katy Perry;Thinking Of You;i've
Katy Perry;Thinking Of You;had
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;best
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;said
Katy Perry;Thinking Of You;there's
Katy Perry;Thinking Of You;tons
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;fish
Katy Perry;Thinking Of You;in
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;water
Katy Perry;Thinking Of You;so
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;waters
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;will
Katy Perry;Thinking Of You;test
Katy Perry;Thinking Of You;he
Katy Perry;Thinking Of You;kissed
Katy Perry;Thinking Of You;my
Katy Perry;Thinking Of You;lips
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;taste
Katy Perry;Thinking Of You;your
Katy Perry;Thinking Of You;mouth
Katy Perry;Thinking Of You;he
Katy Perry;Thinking Of You;pulled
Katy Perry;Thinking Of You;me
Katy Perry;Thinking Of You;in
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;was
Katy Perry;Thinking Of You;disgusted
Katy Perry;Thinking Of You;with
Katy Perry;Thinking Of You;myself
Katy Perry;Thinking Of You;cause
Katy Perry;Thinking Of You;when
Katy Perry;Thinking Of You;i'm
Katy Perry;Thinking Of You;with
Katy Perry;Thinking Of You;him
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;am
Katy Perry;Thinking Of You;thinking
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;thinking
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;what
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;would
Katy Perry;Thinking Of You;do
Katy Perry;Thinking Of You;if
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;were
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;one
Katy Perry;Thinking Of You;who
Katy Perry;Thinking Of You;was
Katy Perry;Thinking Of You;spending
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;night
Katy Perry;Thinking Of You;oh
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;wish
Katy Perry;Thinking Of You;that
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;was
Katy Perry;Thinking Of You;looking
Katy Perry;Thinking Of You;into
Katy Perry;Thinking Of You;your
Katy Perry;Thinking Of You;eyes
Katy Perry;Thinking Of You;you're
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;best
Katy Perry;Thinking Of You;and
Katy Perry;Thinking Of You;yes
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;do
Katy Perry;Thinking Of You;regret
Katy Perry;Thinking Of You;how
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;could
Katy Perry;Thinking Of You;let
Katy Perry;Thinking Of You;myself
Katy Perry;Thinking Of You;let
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;go
Katy Perry;Thinking Of You;now
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;lesson's
Katy Perry;Thinking Of You;learned
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;touched
Katy Perry;Thinking Of You;it
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;was
Katy Perry;Thinking Of You;burned
Katy Perry;Thinking Of You;oh
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;think
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;should
Katy Perry;Thinking Of You;know
Katy Perry;Thinking Of You;cause
Katy Perry;Thinking Of You;when
Katy Perry;Thinking Of You;i'm
Katy Perry;Thinking Of You;with
Katy Perry;Thinking Of You;him
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;am
Katy Perry;Thinking Of You;thinking
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;thinking
Katy Perry;Thinking Of You;of
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;what
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;would
Katy Perry;Thinking Of You;do
Katy Perry;Thinking Of You;if
Katy Perry;Thinking Of You;you
Katy Perry;Thinking Of You;were
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;one
Katy Perry;Thinking Of You;who
Katy Perry;Thinking Of You;was
Katy Perry;Thinking Of You;spending
Katy Perry;Thinking Of You;the
Katy Perry;Thinking Of You;night
Katy Perry;Thinking Of You;oh
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;wish
Katy Perry;Thinking Of You;that
Katy Perry;Thinking Of You;i
Katy Perry;Thinking Of You;was
Katy Perry;Thinking Of You;looking
Katy Perry;Thinking Of You;into
