artist_name;song_title;token
Lady Gaga;Born This Way;it
Lady Gaga;Born This Way;doesn't
Lady Gaga;Born This Way;matter
Lady Gaga;Born This Way;if
Lady Gaga;Born This Way;you
Lady Gaga;Born This Way;love
Lady Gaga;Born This Way;him,
Lady Gaga;Born This Way;or
Lady Gaga;Born This Way;capital
Lady Gaga;Born This Way;h-i-m
Lady Gaga;Born This Way;just
Lady Gaga;Born This Way;put
Lady Gaga;Born This Way;your
Lady Gaga;Born This Way;paws
Lady Gaga;Born This Way;up
Lady Gaga;Born This Way;'cause
Lady Gaga;Born This Way;you
Lady Gaga;Born This Way;were
Lady Gaga;Born This Way;born
Lady Gaga;Born This Way;this
Lady Gaga;Born This Way;way,
Lady Gaga;Born This Way;baby
Lady Gaga;Born This Way;my
Lady Gaga;Born This Way;mama
Lady Gaga;Born This Way;told
Lady Gaga;Born This Way;me
Lady Gaga;Born This Way;when
Lady Gaga;Born This Way;i
Lady Gaga;Born This Way;was
Lady Gaga;Born This Way;young
Lady Gaga;Born This Way;we
Lady Gaga;Born This Way;are
Lady Gaga;Born This Way;all
Lady Gaga;Born This Way;born
Lady Gaga;Born This Way;superstars
Lady Gaga;Born This Way;she
Lady Gaga;Born This Way;rolled
Lady Gaga;Born This Way;my
Lady Gaga;Born This Way;hair
Lady Gaga;Born This Way;and
Lady Gaga;Born This Way;put
Lady Gaga;Born This Way;my
Lady Gaga;Born This Way;lipstick
Lady Gaga;Born This Way;on
Lady Gaga;Born This Way;in
Lady Gaga;Born This Way;the
Lady Gaga;Born This Way;glass
Lady Gaga;Born This Way;of
Lady Gaga;Born This Way;her
Lady Gaga;Born This Way;boudoir
Lady Gaga;Born This Way;"""there's"
Lady Gaga;Born This Way;nothing
Lady Gaga;Born This Way;wrong
Lady Gaga;Born This Way;with
Lady Gaga;Born This Way;loving
Lady Gaga;Born This Way;who
Lady Gaga;Born This Way;you
Lady Gaga;Born This Way;"are"""
Lady Gaga;Born This Way;it
Lady Gaga;Born This Way;doesn't
Lady Gaga;Born This Way;matter
Lady Gaga;Born This Way;if
Lady Gaga;Born This Way;you
Lady Gaga;Born This Way;love
Lady Gaga;Born This Way;him,
Lady Gaga;Born This Way;or
Lady Gaga;Born This Way;capital
Lady Gaga;Born This Way;h-i-m
Lady Gaga;Born This Way;just
Lady Gaga;Born This Way;put
Lady Gaga;Born This Way;your
Lady Gaga;Born This Way;paws
Lady Gaga;Born This Way;up
Lady Gaga;Born This Way;'cause
Lady Gaga;Born This Way;you
Lady Gaga;Born This Way;were
Lady Gaga;Born This Way;born
Lady Gaga;Born This Way;this
Lady Gaga;Born This Way;way,
Lady Gaga;Born This Way;baby
Lady Gaga;Born This Way;my
Lady Gaga;Born This Way;mama
Lady Gaga;Born This Way;told
Lady Gaga;Born This Way;me
Lady Gaga;Born This Way;when
Lady Gaga;Born This Way;i
Lady Gaga;Born This Way;was
Lady Gaga;Born This Way;young
Lady Gaga;Born This Way;we
Lady Gaga;Born This Way;are
Lady Gaga;Born This Way;all
Lady Gaga;Born This Way;born
Lady Gaga;Born This Way;superstars
Lady Gaga;Born This Way;she
Lady Gaga;Born This Way;rolled
Lady Gaga;Born This Way;my
Lady Gaga;Born This Way;hair
Lady Gaga;Born This Way;and
Lady Gaga;Born This Way;put
Lady Gaga;Born This Way;my
Lady Gaga;Born This Way;lipstick
Lady Gaga;Born This Way;on
Lady Gaga;Born This Way;in
Lady Gaga;Born This Way;the
Lady Gaga;Born This Way;glass
Lady Gaga;Born This Way;of
Lady Gaga;Born This Way;her
Lady Gaga;Born This Way;boudoir
Lady Gaga;Born This Way;"""there's"
Lady Gaga;Born This Way;nothing
Lady Gaga;Born This Way;wrong
Lady Gaga;Born This Way;with
Lady Gaga;Born This Way;loving
Lady Gaga;Born This Way;who
Lady Gaga;Born This Way;you
Lady Gaga;Born This Way;"are"""
Lady Gaga;Born This Way;she
Lady Gaga;Born This Way;said,
Lady Gaga;Born This Way;"""'cause"
Lady Gaga;Born This Way;he
Lady Gaga;Born This Way;made
Lady Gaga;Born This Way;you
Lady Gaga;Born This Way;perfect,
Lady Gaga;Born This Way;"babe"""
Lady Gaga;Born This Way;"""so"
Lady Gaga;Born This Way;hold
Lady Gaga;Born This Way;your
Lady Gaga;Born This Way;head
Lady Gaga;Born This Way;up
Lady Gaga;Born This Way;girl
Lady Gaga;Born This Way;and
Lady Gaga;Born This Way;you'll
Lady Gaga;Born This Way;go
Lady Gaga;Born This Way;far,
Lady Gaga;Born This Way;listen
Lady Gaga;Born This Way;to
Lady Gaga;Born This Way;me
Lady Gaga;Born This Way;when
Lady Gaga;Born This Way;i
Lady Gaga;Born This Way;"say"""
Lady Gaga;Born This Way;i'm
Lady Gaga;Born This Way;beautiful
Lady Gaga;Born This Way;in
Lady Gaga;Born This Way;my
Lady Gaga;Born This Way;way
Lady Gaga;Born This Way;'cause
Lady Gaga;Born This Way;god
Lady Gaga;Born This Way;makes
Lady Gaga;Born This Way;no
Lady Gaga;Born This Way;mistakes
Lady Gaga;Born This Way;i'm
Lady Gaga;Born This Way;on
Lady Gaga;Born This Way;the
Lady Gaga;Born This Way;right
Lady Gaga;Born This Way;track,
Lady Gaga;Born This Way;baby
Lady Gaga;Born This Way;i
Lady Gaga;Born This Way;was
Lady Gaga;Born This Way;born
Lady Gaga;Born This Way;this
Lady Gaga;Born This Way;way
Lady Gaga;Born This Way;don't
Lady Gaga;Born This Way;hide
Lady Gaga;Born This Way;yourself
Lady Gaga;Born This Way;in
Lady Gaga;Born This Way;regret
Lady Gaga;Born This Way;just
Lady Gaga;Born This Way;love
Lady Gaga;Born This Way;yourself
Lady Gaga;Born This Way;and
Lady Gaga;Born This Way;you're
Lady Gaga;Born This Way;set
Lady Gaga;Born This Way;i'm
Lady Gaga;Born This Way;on
Lady Gaga;Born This Way;the
Lady Gaga;Born This Way;right
Lady Gaga;Born This Way;track,
Lady Gaga;Born This Way;baby
Lady Gaga;Born This Way;i
Lady Gaga;Born This Way;was
Lady Gaga;Born This Way;born
Lady Gaga;Born This Way;this
Lady Gaga;Born This Way;way
Lady Gaga;Born This Way;oh
Lady Gaga;Born This Way;there
Lady Gaga;Born This Way;ain't
Lady Gaga;Born This Way;no
Lady Gaga;Born This Way;other
Lady Gaga;Born This Way;way
Lady Gaga;Born This Way;baby
Lady Gaga;Born This Way;i
Lady Gaga;Born This Way;was
Lady Gaga;Born This Way;born
Lady Gaga;Born This Way;this
Lady Gaga;Born This Way;way
Lady Gaga;Born This Way;baby
Lady Gaga;Born This Way;i
Lady Gaga;Born This Way;was
Lady Gaga;Born This Way;born
Lady Gaga;Born This Way;this
Lady Gaga;Born This Way;way
Lady Gaga;Born This Way;oh
Lady Gaga;Born This Way;there
Lady Gaga;Born This Way;ain't
