artist_name;song_title;token
Lady Gaga;Do What U Want;yeah
Lady Gaga;Do What U Want;turn
Lady Gaga;Do What U Want;the
Lady Gaga;Do What U Want;mic
Lady Gaga;Do What U Want;up
Lady Gaga;Do What U Want;i,
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;feel
Lady Gaga;Do What U Want;good,
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;walk
Lady Gaga;Do What U Want;alone
Lady Gaga;Do What U Want;but
Lady Gaga;Do What U Want;then
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;trip
Lady Gaga;Do What U Want;over
Lady Gaga;Do What U Want;myself,
Lady Gaga;Do What U Want;and
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;fall
Lady Gaga;Do What U Want;i,
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;stand
Lady Gaga;Do What U Want;up,
Lady Gaga;Do What U Want;and
Lady Gaga;Do What U Want;then
Lady Gaga;Do What U Want;i'm
Lady Gaga;Do What U Want;okay
Lady Gaga;Do What U Want;but
Lady Gaga;Do What U Want;then
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;print
Lady Gaga;Do What U Want;some
Lady Gaga;Do What U Want;shit
Lady Gaga;Do What U Want;that
Lady Gaga;Do What U Want;makes
Lady Gaga;Do What U Want;me
Lady Gaga;Do What U Want;wanna
Lady Gaga;Do What U Want;scream
Lady Gaga;Do What U Want;so
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;don't
Lady Gaga;Do What U Want;stop,
Lady Gaga;Do What U Want;let's
Lady Gaga;Do What U Want;party
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;yeah
Lady Gaga;Do What U Want;turn
Lady Gaga;Do What U Want;the
Lady Gaga;Do What U Want;mic
Lady Gaga;Do What U Want;up
Lady Gaga;Do What U Want;i,
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;feel
Lady Gaga;Do What U Want;good,
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;walk
Lady Gaga;Do What U Want;alone
Lady Gaga;Do What U Want;but
Lady Gaga;Do What U Want;then
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;trip
Lady Gaga;Do What U Want;over
Lady Gaga;Do What U Want;myself,
Lady Gaga;Do What U Want;and
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;fall
Lady Gaga;Do What U Want;i,
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;stand
Lady Gaga;Do What U Want;up,
Lady Gaga;Do What U Want;and
Lady Gaga;Do What U Want;then
Lady Gaga;Do What U Want;i'm
Lady Gaga;Do What U Want;okay
Lady Gaga;Do What U Want;but
Lady Gaga;Do What U Want;then
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;print
Lady Gaga;Do What U Want;some
Lady Gaga;Do What U Want;shit
Lady Gaga;Do What U Want;that
Lady Gaga;Do What U Want;makes
Lady Gaga;Do What U Want;me
Lady Gaga;Do What U Want;wanna
Lady Gaga;Do What U Want;scream
Lady Gaga;Do What U Want;so
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;don't
Lady Gaga;Do What U Want;stop,
Lady Gaga;Do What U Want;let's
Lady Gaga;Do What U Want;party
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;write
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;say
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;about
Lady Gaga;Do What U Want;me
Lady Gaga;Do What U Want;if
Lady Gaga;Do What U Want;you're
Lady Gaga;Do What U Want;wondering,
Lady Gaga;Do What U Want;know
Lady Gaga;Do What U Want;that
Lady Gaga;Do What U Want;i'm
Lady Gaga;Do What U Want;not
Lady Gaga;Do What U Want;sorry
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;can't
Lady Gaga;Do What U Want;have
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;heart,
Lady Gaga;Do What U Want;and
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;won't
Lady Gaga;Do What U Want;use
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;mind,
Lady Gaga;Do What U Want;but
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;can't
Lady Gaga;Do What U Want;stop
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;voice
Lady Gaga;Do What U Want;'cause
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;don't
Lady Gaga;Do What U Want;own
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;life,
Lady Gaga;Do What U Want;but
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;do
Lady Gaga;Do What U Want;what
Lady Gaga;Do What U Want;you
Lady Gaga;Do What U Want;want
Lady Gaga;Do What U Want;with
Lady Gaga;Do What U Want;my
Lady Gaga;Do What U Want;body
Lady Gaga;Do What U Want;early
Lady Gaga;Do What U Want;morning,
Lady Gaga;Do What U Want;longer
Lady Gaga;Do What U Want;nights
Lady Gaga;Do What U Want;tom
Lady Gaga;Do What U Want;ford,
Lady Gaga;Do What U Want;private
Lady Gaga;Do What U Want;flights
Lady Gaga;Do What U Want;crazy
Lady Gaga;Do What U Want;schedule,
Lady Gaga;Do What U Want;fast
Lady Gaga;Do What U Want;life
Lady Gaga;Do What U Want;i
Lady Gaga;Do What U Want;wouldn't
Lady Gaga;Do What U Want;trade
Lady Gaga;Do What U Want;it
Lady Gaga;Do What U Want;in
Lady Gaga;Do What U Want;'cause
Lady Gaga;Do What U Want;it's
Lady Gaga;Do What U Want;our
