artist_name;song_title;token
Lady Gaga;Eh, Eh (Nothing Else I Can Say);cherry-cherry
Lady Gaga;Eh, Eh (Nothing Else I Can Say);boom-boom
Lady Gaga;Eh, Eh (Nothing Else I Can Say);gaga
Lady Gaga;Eh, Eh (Nothing Else I Can Say);boy
Lady Gaga;Eh, Eh (Nothing Else I Can Say);we've
Lady Gaga;Eh, Eh (Nothing Else I Can Say);had
Lady Gaga;Eh, Eh (Nothing Else I Can Say);a
Lady Gaga;Eh, Eh (Nothing Else I Can Say);real
Lady Gaga;Eh, Eh (Nothing Else I Can Say);good
Lady Gaga;Eh, Eh (Nothing Else I Can Say);time
Lady Gaga;Eh, Eh (Nothing Else I Can Say);and
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);wish
Lady Gaga;Eh, Eh (Nothing Else I Can Say);you
Lady Gaga;Eh, Eh (Nothing Else I Can Say);the
Lady Gaga;Eh, Eh (Nothing Else I Can Say);best
Lady Gaga;Eh, Eh (Nothing Else I Can Say);on
Lady Gaga;Eh, Eh (Nothing Else I Can Say);your
Lady Gaga;Eh, Eh (Nothing Else I Can Say);way,
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);didn't
Lady Gaga;Eh, Eh (Nothing Else I Can Say);mean
Lady Gaga;Eh, Eh (Nothing Else I Can Say);to
Lady Gaga;Eh, Eh (Nothing Else I Can Say);hurt
Lady Gaga;Eh, Eh (Nothing Else I Can Say);you
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);never
Lady Gaga;Eh, Eh (Nothing Else I Can Say);thought
Lady Gaga;Eh, Eh (Nothing Else I Can Say);we'd
Lady Gaga;Eh, Eh (Nothing Else I Can Say);fall
Lady Gaga;Eh, Eh (Nothing Else I Can Say);out
Lady Gaga;Eh, Eh (Nothing Else I Can Say);of
Lady Gaga;Eh, Eh (Nothing Else I Can Say);place,
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh,
Lady Gaga;Eh, Eh (Nothing Else I Can Say);hay
Lady Gaga;Eh, Eh (Nothing Else I Can Say);hay
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);have
Lady Gaga;Eh, Eh (Nothing Else I Can Say);something
Lady Gaga;Eh, Eh (Nothing Else I Can Say);that
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);love
Lady Gaga;Eh, Eh (Nothing Else I Can Say);long-long
Lady Gaga;Eh, Eh (Nothing Else I Can Say);but
Lady Gaga;Eh, Eh (Nothing Else I Can Say);my
Lady Gaga;Eh, Eh (Nothing Else I Can Say);friends
Lady Gaga;Eh, Eh (Nothing Else I Can Say);keep
Lady Gaga;Eh, Eh (Nothing Else I Can Say);ah-telling
Lady Gaga;Eh, Eh (Nothing Else I Can Say);me
Lady Gaga;Eh, Eh (Nothing Else I Can Say);that
Lady Gaga;Eh, Eh (Nothing Else I Can Say);something's
Lady Gaga;Eh, Eh (Nothing Else I Can Say);wrong
Lady Gaga;Eh, Eh (Nothing Else I Can Say);then
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);met
Lady Gaga;Eh, Eh (Nothing Else I Can Say);someone
Lady Gaga;Eh, Eh (Nothing Else I Can Say);cherry-cherry
Lady Gaga;Eh, Eh (Nothing Else I Can Say);boom-boom
Lady Gaga;Eh, Eh (Nothing Else I Can Say);gaga
Lady Gaga;Eh, Eh (Nothing Else I Can Say);boy
Lady Gaga;Eh, Eh (Nothing Else I Can Say);we've
Lady Gaga;Eh, Eh (Nothing Else I Can Say);had
Lady Gaga;Eh, Eh (Nothing Else I Can Say);a
Lady Gaga;Eh, Eh (Nothing Else I Can Say);real
Lady Gaga;Eh, Eh (Nothing Else I Can Say);good
Lady Gaga;Eh, Eh (Nothing Else I Can Say);time
Lady Gaga;Eh, Eh (Nothing Else I Can Say);and
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);wish
Lady Gaga;Eh, Eh (Nothing Else I Can Say);you
Lady Gaga;Eh, Eh (Nothing Else I Can Say);the
Lady Gaga;Eh, Eh (Nothing Else I Can Say);best
Lady Gaga;Eh, Eh (Nothing Else I Can Say);on
Lady Gaga;Eh, Eh (Nothing Else I Can Say);your
Lady Gaga;Eh, Eh (Nothing Else I Can Say);way,
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);didn't
Lady Gaga;Eh, Eh (Nothing Else I Can Say);mean
Lady Gaga;Eh, Eh (Nothing Else I Can Say);to
Lady Gaga;Eh, Eh (Nothing Else I Can Say);hurt
Lady Gaga;Eh, Eh (Nothing Else I Can Say);you
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);never
Lady Gaga;Eh, Eh (Nothing Else I Can Say);thought
Lady Gaga;Eh, Eh (Nothing Else I Can Say);we'd
Lady Gaga;Eh, Eh (Nothing Else I Can Say);fall
Lady Gaga;Eh, Eh (Nothing Else I Can Say);out
Lady Gaga;Eh, Eh (Nothing Else I Can Say);of
Lady Gaga;Eh, Eh (Nothing Else I Can Say);place,
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh,
Lady Gaga;Eh, Eh (Nothing Else I Can Say);hay
Lady Gaga;Eh, Eh (Nothing Else I Can Say);hay
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);have
Lady Gaga;Eh, Eh (Nothing Else I Can Say);something
Lady Gaga;Eh, Eh (Nothing Else I Can Say);that
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);love
Lady Gaga;Eh, Eh (Nothing Else I Can Say);long-long
Lady Gaga;Eh, Eh (Nothing Else I Can Say);but
Lady Gaga;Eh, Eh (Nothing Else I Can Say);my
Lady Gaga;Eh, Eh (Nothing Else I Can Say);friends
Lady Gaga;Eh, Eh (Nothing Else I Can Say);keep
Lady Gaga;Eh, Eh (Nothing Else I Can Say);ah-telling
Lady Gaga;Eh, Eh (Nothing Else I Can Say);me
Lady Gaga;Eh, Eh (Nothing Else I Can Say);that
Lady Gaga;Eh, Eh (Nothing Else I Can Say);something's
Lady Gaga;Eh, Eh (Nothing Else I Can Say);wrong
Lady Gaga;Eh, Eh (Nothing Else I Can Say);then
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);met
Lady Gaga;Eh, Eh (Nothing Else I Can Say);someone
Lady Gaga;Eh, Eh (Nothing Else I Can Say);and
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh,
Lady Gaga;Eh, Eh (Nothing Else I Can Say);there's
Lady Gaga;Eh, Eh (Nothing Else I Can Say);nothing
Lady Gaga;Eh, Eh (Nothing Else I Can Say);else
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);can
Lady Gaga;Eh, Eh (Nothing Else I Can Say);say
Lady Gaga;Eh, Eh (Nothing Else I Can Say);there's
Lady Gaga;Eh, Eh (Nothing Else I Can Say);nothing
Lady Gaga;Eh, Eh (Nothing Else I Can Say);else
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);can
Lady Gaga;Eh, Eh (Nothing Else I Can Say);say
Lady Gaga;Eh, Eh (Nothing Else I Can Say);(eh,
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh)
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);wish
Lady Gaga;Eh, Eh (Nothing Else I Can Say);he
Lady Gaga;Eh, Eh (Nothing Else I Can Say);never
Lady Gaga;Eh, Eh (Nothing Else I Can Say);looked
Lady Gaga;Eh, Eh (Nothing Else I Can Say);at
Lady Gaga;Eh, Eh (Nothing Else I Can Say);me
Lady Gaga;Eh, Eh (Nothing Else I Can Say);that
Lady Gaga;Eh, Eh (Nothing Else I Can Say);way
Lady Gaga;Eh, Eh (Nothing Else I Can Say);(eh,
Lady Gaga;Eh, Eh (Nothing Else I Can Say);eh)
Lady Gaga;Eh, Eh (Nothing Else I Can Say);there's
Lady Gaga;Eh, Eh (Nothing Else I Can Say);nothing
Lady Gaga;Eh, Eh (Nothing Else I Can Say);else
Lady Gaga;Eh, Eh (Nothing Else I Can Say);i
Lady Gaga;Eh, Eh (Nothing Else I Can Say);can
Lady Gaga;Eh, Eh (Nothing Else I Can Say);say
