artist_name;song_title;token
Lady Gaga;Fashion Of His Love;i
Lady Gaga;Fashion Of His Love;never
Lady Gaga;Fashion Of His Love;was
Lady Gaga;Fashion Of His Love;the
Lady Gaga;Fashion Of His Love;kind
Lady Gaga;Fashion Of His Love;of
Lady Gaga;Fashion Of His Love;girl
Lady Gaga;Fashion Of His Love;that's
Lady Gaga;Fashion Of His Love;naturally
Lady Gaga;Fashion Of His Love;sure
Lady Gaga;Fashion Of His Love;when
Lady Gaga;Fashion Of His Love;it
Lady Gaga;Fashion Of His Love;comes
Lady Gaga;Fashion Of His Love;to
Lady Gaga;Fashion Of His Love;love,
Lady Gaga;Fashion Of His Love;oh
Lady Gaga;Fashion Of His Love;no
Lady Gaga;Fashion Of His Love;i
Lady Gaga;Fashion Of His Love;was
Lady Gaga;Fashion Of His Love;insecure,
Lady Gaga;Fashion Of His Love;insecure
Lady Gaga;Fashion Of His Love;but
Lady Gaga;Fashion Of His Love;when
Lady Gaga;Fashion Of His Love;it
Lady Gaga;Fashion Of His Love;comes
Lady Gaga;Fashion Of His Love;to
Lady Gaga;Fashion Of His Love;you
Lady Gaga;Fashion Of His Love;and
Lady Gaga;Fashion Of His Love;me
Lady Gaga;Fashion Of His Love;i
Lady Gaga;Fashion Of His Love;can't
Lady Gaga;Fashion Of His Love;deny
Lady Gaga;Fashion Of His Love;this
Lady Gaga;Fashion Of His Love;feeling
Lady Gaga;Fashion Of His Love;inside
Lady Gaga;Fashion Of His Love;oh
Lady Gaga;Fashion Of His Love;no,
Lady Gaga;Fashion Of His Love;i
Lady Gaga;Fashion Of His Love;never
Lady Gaga;Fashion Of His Love;felt
Lady Gaga;Fashion Of His Love;like
Lady Gaga;Fashion Of His Love;this
Lady Gaga;Fashion Of His Love;before
Lady Gaga;Fashion Of His Love;this
Lady Gaga;Fashion Of His Love;before,
Lady Gaga;Fashion Of His Love;no,
Lady Gaga;Fashion Of His Love;no,
Lady Gaga;Fashion Of His Love;no
Lady Gaga;Fashion Of His Love;i'm
Lady Gaga;Fashion Of His Love;seeing
Lady Gaga;Fashion Of His Love;all
Lady Gaga;Fashion Of His Love;the
Lady Gaga;Fashion Of His Love;signs
Lady Gaga;Fashion Of His Love;from
Lady Gaga;Fashion Of His Love;above
Lady Gaga;Fashion Of His Love;i'm
Lady Gaga;Fashion Of His Love;gonna
Lady Gaga;Fashion Of His Love;be
Lady Gaga;Fashion Of His Love;the
Lady Gaga;Fashion Of His Love;one
Lady Gaga;Fashion Of His Love;that
Lady Gaga;Fashion Of His Love;he
Lady Gaga;Fashion Of His Love;loves
Lady Gaga;Fashion Of His Love;i
Lady Gaga;Fashion Of His Love;never
Lady Gaga;Fashion Of His Love;was
Lady Gaga;Fashion Of His Love;the
Lady Gaga;Fashion Of His Love;kind
Lady Gaga;Fashion Of His Love;of
Lady Gaga;Fashion Of His Love;girl
Lady Gaga;Fashion Of His Love;that's
Lady Gaga;Fashion Of His Love;naturally
Lady Gaga;Fashion Of His Love;sure
Lady Gaga;Fashion Of His Love;when
Lady Gaga;Fashion Of His Love;it
Lady Gaga;Fashion Of His Love;comes
Lady Gaga;Fashion Of His Love;to
Lady Gaga;Fashion Of His Love;love,
Lady Gaga;Fashion Of His Love;oh
Lady Gaga;Fashion Of His Love;no
Lady Gaga;Fashion Of His Love;i
Lady Gaga;Fashion Of His Love;was
