artist_name;song_title;token
Lady Gaga;Filthy Pop;hello!
Lady Gaga;Filthy Pop;mr.radio
Lady Gaga;Filthy Pop;got
Lady Gaga;Filthy Pop;her
Lady Gaga;Filthy Pop;pink
Lady Gaga;Filthy Pop;tights
Lady Gaga;Filthy Pop;and
Lady Gaga;Filthy Pop;her
Lady Gaga;Filthy Pop;funny-money
Lady Gaga;Filthy Pop;retro
Lady Gaga;Filthy Pop;sound
Lady Gaga;Filthy Pop;(sound)
Lady Gaga;Filthy Pop;spin
Lady Gaga;Filthy Pop;that
Lady Gaga;Filthy Pop;shit
Lady Gaga;Filthy Pop;spin
Lady Gaga;Filthy Pop;it
Lady Gaga;Filthy Pop;cause
Lady Gaga;Filthy Pop;it's
Lady Gaga;Filthy Pop;fabulous!
Lady Gaga;Filthy Pop;dance
Lady Gaga;Filthy Pop;mr.radio
Lady Gaga;Filthy Pop;nerd
Lady Gaga;Filthy Pop;how
Lady Gaga;Filthy Pop;'bout
Lady Gaga;Filthy Pop;we
Lady Gaga;Filthy Pop;trade
Lady Gaga;Filthy Pop;them
Lady Gaga;Filthy Pop;speakers
Lady Gaga;Filthy Pop;for
Lady Gaga;Filthy Pop;these
Lady Gaga;Filthy Pop;new
Lady Gaga;Filthy Pop;jimmy
Lady Gaga;Filthy Pop;choo
Lady Gaga;Filthy Pop;sneakers
Lady Gaga;Filthy Pop;what
Lady Gaga;Filthy Pop;do
Lady Gaga;Filthy Pop;you
Lady Gaga;Filthy Pop;say?
Lady Gaga;Filthy Pop;what
Lady Gaga;Filthy Pop;do
Lady Gaga;Filthy Pop;you
Lady Gaga;Filthy Pop;say?
Lady Gaga;Filthy Pop;play
Lady Gaga;Filthy Pop;it
Lady Gaga;Filthy Pop;for
Lady Gaga;Filthy Pop;me
Lady Gaga;Filthy Pop;baby,
Lady Gaga;Filthy Pop;give
Lady Gaga;Filthy Pop;it
Lady Gaga;Filthy Pop;to
Lady Gaga;Filthy Pop;me
Lady Gaga;Filthy Pop;real
Lady Gaga;Filthy Pop;filthy
