artist_name;song_title;token
Lady Gaga;I'll Wait For You (Dialogue);why
Lady Gaga;I'll Wait For You (Dialogue);did
Lady Gaga;I'll Wait For You (Dialogue);you
Lady Gaga;I'll Wait For You (Dialogue);come
Lady Gaga;I'll Wait For You (Dialogue);back
Lady Gaga;I'll Wait For You (Dialogue);here?
Lady Gaga;I'll Wait For You (Dialogue);your
Lady Gaga;I'll Wait For You (Dialogue);friend
Lady Gaga;I'll Wait For You (Dialogue);brought
Lady Gaga;I'll Wait For You (Dialogue);me
Lady Gaga;I'll Wait For You (Dialogue);back
Lady Gaga;I'll Wait For You (Dialogue);here.
Lady Gaga;I'll Wait For You (Dialogue);i'm
Lady Gaga;I'll Wait For You (Dialogue);glad
Lady Gaga;I'll Wait For You (Dialogue);he
Lady Gaga;I'll Wait For You (Dialogue);did.
Lady Gaga;I'll Wait For You (Dialogue);can
Lady Gaga;I'll Wait For You (Dialogue);i
Lady Gaga;I'll Wait For You (Dialogue);buy
Lady Gaga;I'll Wait For You (Dialogue);you
Lady Gaga;I'll Wait For You (Dialogue);a
Lady Gaga;I'll Wait For You (Dialogue);drink?
Lady Gaga;I'll Wait For You (Dialogue);oh
Lady Gaga;I'll Wait For You (Dialogue);i-i-i
Lady Gaga;I'll Wait For You (Dialogue);got
Lady Gaga;I'll Wait For You (Dialogue);to
Lady Gaga;I'll Wait For You (Dialogue);change
Lady Gaga;I'll Wait For You (Dialogue);and
Lady Gaga;I'll Wait For You (Dialogue);i-i
Lady Gaga;I'll Wait For You (Dialogue);got
Lady Gaga;I'll Wait For You (Dialogue);paint
Lady Gaga;I'll Wait For You (Dialogue);in
Lady Gaga;I'll Wait For You (Dialogue);my
Lady Gaga;I'll Wait For You (Dialogue);hair
Lady Gaga;I'll Wait For You (Dialogue);"and&#8212;"
Lady Gaga;I'll Wait For You (Dialogue);i'll
Lady Gaga;I'll Wait For You (Dialogue);wait
Lady Gaga;I'll Wait For You (Dialogue);for
Lady Gaga;I'll Wait For You (Dialogue);you
Lady Gaga;I'll Wait For You (Dialogue);um,
Lady Gaga;I'll Wait For You (Dialogue);yeah,
Lady Gaga;I'll Wait For You (Dialogue);okay,
Lady Gaga;I'll Wait For You (Dialogue);sure
Lady Gaga;I'll Wait For You (Dialogue);yeah,
Lady Gaga;I'll Wait For You (Dialogue);if
Lady Gaga;I'll Wait For You (Dialogue);you
Lady Gaga;I'll Wait For You (Dialogue);wanna
Lady Gaga;I'll Wait For You (Dialogue);wait
Lady Gaga;I'll Wait For You (Dialogue);i'll
Lady Gaga;I'll Wait For You (Dialogue);come
Lady Gaga;I'll Wait For You (Dialogue);have
Lady Gaga;I'll Wait For You (Dialogue);a
Lady Gaga;I'll Wait For You (Dialogue);drink
Lady Gaga;I'll Wait For You (Dialogue);with
Lady Gaga;I'll Wait For You (Dialogue);you,
Lady Gaga;I'll Wait For You (Dialogue);sure
Lady Gaga;I'll Wait For You (Dialogue);why
Lady Gaga;I'll Wait For You (Dialogue);did
Lady Gaga;I'll Wait For You (Dialogue);you
Lady Gaga;I'll Wait For You (Dialogue);come
Lady Gaga;I'll Wait For You (Dialogue);back
Lady Gaga;I'll Wait For You (Dialogue);here?
Lady Gaga;I'll Wait For You (Dialogue);your
Lady Gaga;I'll Wait For You (Dialogue);friend
Lady Gaga;I'll Wait For You (Dialogue);brought
Lady Gaga;I'll Wait For You (Dialogue);me
Lady Gaga;I'll Wait For You (Dialogue);back
Lady Gaga;I'll Wait For You (Dialogue);here.
Lady Gaga;I'll Wait For You (Dialogue);i'm
Lady Gaga;I'll Wait For You (Dialogue);glad
Lady Gaga;I'll Wait For You (Dialogue);he
Lady Gaga;I'll Wait For You (Dialogue);did.
Lady Gaga;I'll Wait For You (Dialogue);can
Lady Gaga;I'll Wait For You (Dialogue);i
Lady Gaga;I'll Wait For You (Dialogue);buy
Lady Gaga;I'll Wait For You (Dialogue);you
Lady Gaga;I'll Wait For You (Dialogue);a
Lady Gaga;I'll Wait For You (Dialogue);drink?
Lady Gaga;I'll Wait For You (Dialogue);oh
Lady Gaga;I'll Wait For You (Dialogue);i-i-i
Lady Gaga;I'll Wait For You (Dialogue);got
Lady Gaga;I'll Wait For You (Dialogue);to
Lady Gaga;I'll Wait For You (Dialogue);change
Lady Gaga;I'll Wait For You (Dialogue);and
Lady Gaga;I'll Wait For You (Dialogue);i-i
Lady Gaga;I'll Wait For You (Dialogue);got
Lady Gaga;I'll Wait For You (Dialogue);paint
Lady Gaga;I'll Wait For You (Dialogue);in
Lady Gaga;I'll Wait For You (Dialogue);my
