artist_name;song_title;token
Lady Gaga;Stuck On Fuckin' You;got
Lady Gaga;Stuck On Fuckin' You;no
Lady Gaga;Stuck On Fuckin' You;plans,
Lady Gaga;Stuck On Fuckin' You;got
Lady Gaga;Stuck On Fuckin' You;no
Lady Gaga;Stuck On Fuckin' You;clothes
Lady Gaga;Stuck On Fuckin' You;got
Lady Gaga;Stuck On Fuckin' You;no
Lady Gaga;Stuck On Fuckin' You;piano,
Lady Gaga;Stuck On Fuckin' You;we
Lady Gaga;Stuck On Fuckin' You;got
Lady Gaga;Stuck On Fuckin' You;no
Lady Gaga;Stuck On Fuckin' You;shows
Lady Gaga;Stuck On Fuckin' You;no,
Lady Gaga;Stuck On Fuckin' You;i've
Lady Gaga;Stuck On Fuckin' You;got
Lady Gaga;Stuck On Fuckin' You;nothing
Lady Gaga;Stuck On Fuckin' You;to
Lady Gaga;Stuck On Fuckin' You;do
Lady Gaga;Stuck On Fuckin' You;but
Lady Gaga;Stuck On Fuckin' You;to
Lady Gaga;Stuck On Fuckin' You;be
Lady Gaga;Stuck On Fuckin' You;stuck
Lady Gaga;Stuck On Fuckin' You;on
Lady Gaga;Stuck On Fuckin' You;you
Lady Gaga;Stuck On Fuckin' You;got
Lady Gaga;Stuck On Fuckin' You;no
Lady Gaga;Stuck On Fuckin' You;flights,
Lady Gaga;Stuck On Fuckin' You;out
Lady Gaga;Stuck On Fuckin' You;of
Lady Gaga;Stuck On Fuckin' You;here
Lady Gaga;Stuck On Fuckin' You;got
Lady Gaga;Stuck On Fuckin' You;no
Lady Gaga;Stuck On Fuckin' You;tv
Lady Gaga;Stuck On Fuckin' You;shows
Lady Gaga;Stuck On Fuckin' You;until
Lady Gaga;Stuck On Fuckin' You;next
Lady Gaga;Stuck On Fuckin' You;year
Lady Gaga;Stuck On Fuckin' You;no
Lady Gaga;Stuck On Fuckin' You;i
Lady Gaga;Stuck On Fuckin' You;got
Lady Gaga;Stuck On Fuckin' You;nothing
Lady Gaga;Stuck On Fuckin' You;to
Lady Gaga;Stuck On Fuckin' You;do
Lady Gaga;Stuck On Fuckin' You;but
Lady Gaga;Stuck On Fuckin' You;to
Lady Gaga;Stuck On Fuckin' You;be
Lady Gaga;Stuck On Fuckin' You;stuck
Lady Gaga;Stuck On Fuckin' You;on
Lady Gaga;Stuck On Fuckin' You;you
Lady Gaga;Stuck On Fuckin' You;baby,
Lady Gaga;Stuck On Fuckin' You;you're
Lady Gaga;Stuck On Fuckin' You;my
Lady Gaga;Stuck On Fuckin' You;liquor
Lady Gaga;Stuck On Fuckin' You;i'm
Lady Gaga;Stuck On Fuckin' You;addicted
Lady Gaga;Stuck On Fuckin' You;to
Lady Gaga;Stuck On Fuckin' You;you
Lady Gaga;Stuck On Fuckin' You;so
Lady Gaga;Stuck On Fuckin' You;i'll
Lady Gaga;Stuck On Fuckin' You;just
Lady Gaga;Stuck On Fuckin' You;be
Lady Gaga;Stuck On Fuckin' You;stuck
Lady Gaga;Stuck On Fuckin' You;on
Lady Gaga;Stuck On Fuckin' You;stuck
Lady Gaga;Stuck On Fuckin' You;on
Lady Gaga;Stuck On Fuckin' You;fuckin'
Lady Gaga;Stuck On Fuckin' You;you
Lady Gaga;Stuck On Fuckin' You;got
Lady Gaga;Stuck On Fuckin' You;no
Lady Gaga;Stuck On Fuckin' You;plans,
Lady Gaga;Stuck On Fuckin' You;got
Lady Gaga;Stuck On Fuckin' You;no
Lady Gaga;Stuck On Fuckin' You;clothes
Lady Gaga;Stuck On Fuckin' You;got
