artist_name;song_title;token
Lady Gaga;Swine;hush
Lady Gaga;Swine;up
Lady Gaga;Swine;don't
Lady Gaga;Swine;speak
Lady Gaga;Swine;don't
Lady Gaga;Swine;wanna
Lady Gaga;Swine;hear
Lady Gaga;Swine;another
Lady Gaga;Swine;(not
Lady Gaga;Swine;another
Lady Gaga;Swine;word
Lady Gaga;Swine;from
Lady Gaga;Swine;you)
Lady Gaga;Swine;you're
Lady Gaga;Swine;just
Lady Gaga;Swine;a
Lady Gaga;Swine;ani-
Lady Gaga;Swine;mal
Lady Gaga;Swine;tryin'
Lady Gaga;Swine;to
Lady Gaga;Swine;act
Lady Gaga;Swine;real
Lady Gaga;Swine;special
Lady Gaga;Swine;(but
Lady Gaga;Swine;deep
Lady Gaga;Swine;down
Lady Gaga;Swine;you
Lady Gaga;Swine;are
Lady Gaga;Swine;just
Lady Gaga;Swine;a
Lady Gaga;Swine;shrew)
Lady Gaga;Swine;maybe
Lady Gaga;Swine;i
Lady Gaga;Swine;should
Lady Gaga;Swine;have
Lady Gaga;Swine;a
Lady Gaga;Swine;little
Lady Gaga;Swine;more
Lady Gaga;Swine;just
Lady Gaga;Swine;to
Lady Gaga;Swine;stay
Lady Gaga;Swine;out
Lady Gaga;Swine;of
Lady Gaga;Swine;my
Lady Gaga;Swine;mind
Lady Gaga;Swine;'cause
Lady Gaga;Swine;its
Lady Gaga;Swine;when
Lady Gaga;Swine;i'm
Lady Gaga;Swine;not
Lady Gaga;Swine;thinking
Lady Gaga;Swine;with
Lady Gaga;Swine;you
Lady Gaga;Swine;that
Lady Gaga;Swine;i
Lady Gaga;Swine;act
Lady Gaga;Swine;like
Lady Gaga;Swine;a
Lady Gaga;Swine;swine
Lady Gaga;Swine;act
Lady Gaga;Swine;like
Lady Gaga;Swine;a
Lady Gaga;Swine;swine
Lady Gaga;Swine;hush
Lady Gaga;Swine;up
Lady Gaga;Swine;don't
Lady Gaga;Swine;speak
Lady Gaga;Swine;don't
Lady Gaga;Swine;wanna
Lady Gaga;Swine;hear
Lady Gaga;Swine;another
Lady Gaga;Swine;(not
Lady Gaga;Swine;another
Lady Gaga;Swine;word
Lady Gaga;Swine;from
Lady Gaga;Swine;you)
Lady Gaga;Swine;you're
Lady Gaga;Swine;just
Lady Gaga;Swine;a
Lady Gaga;Swine;ani-
Lady Gaga;Swine;mal
Lady Gaga;Swine;tryin'
Lady Gaga;Swine;to
Lady Gaga;Swine;act
Lady Gaga;Swine;real
