artist_name;song_title;token
Madonna;Beautiful Stranger;haven't
Madonna;Beautiful Stranger;we
Madonna;Beautiful Stranger;met?
Madonna;Beautiful Stranger;some
Madonna;Beautiful Stranger;kind
Madonna;Beautiful Stranger;of
Madonna;Beautiful Stranger;beautiful
Madonna;Beautiful Stranger;stranger
Madonna;Beautiful Stranger;you
Madonna;Beautiful Stranger;could
Madonna;Beautiful Stranger;be
Madonna;Beautiful Stranger;good
Madonna;Beautiful Stranger;for
Madonna;Beautiful Stranger;me
Madonna;Beautiful Stranger;i've
Madonna;Beautiful Stranger;had
Madonna;Beautiful Stranger;the
Madonna;Beautiful Stranger;taste
Madonna;Beautiful Stranger;for
Madonna;Beautiful Stranger;danger
Madonna;Beautiful Stranger;if
Madonna;Beautiful Stranger;i'm
Madonna;Beautiful Stranger;smart
Madonna;Beautiful Stranger;then
Madonna;Beautiful Stranger;i'll
Madonna;Beautiful Stranger;run
Madonna;Beautiful Stranger;away
Madonna;Beautiful Stranger;but
Madonna;Beautiful Stranger;i'm
Madonna;Beautiful Stranger;not
Madonna;Beautiful Stranger;so
Madonna;Beautiful Stranger;i
Madonna;Beautiful Stranger;guess
Madonna;Beautiful Stranger;i'll
Madonna;Beautiful Stranger;stay
Madonna;Beautiful Stranger;heaven
Madonna;Beautiful Stranger;forbid
Madonna;Beautiful Stranger;i'll
Madonna;Beautiful Stranger;take
Madonna;Beautiful Stranger;my
Madonna;Beautiful Stranger;chance
Madonna;Beautiful Stranger;on
Madonna;Beautiful Stranger;a
Madonna;Beautiful Stranger;beautiful
Madonna;Beautiful Stranger;stranger
Madonna;Beautiful Stranger;i
Madonna;Beautiful Stranger;looked
Madonna;Beautiful Stranger;into
Madonna;Beautiful Stranger;your
Madonna;Beautiful Stranger;eyes
Madonna;Beautiful Stranger;and
Madonna;Beautiful Stranger;my
Madonna;Beautiful Stranger;world
Madonna;Beautiful Stranger;came
Madonna;Beautiful Stranger;tumblin'
Madonna;Beautiful Stranger;down
Madonna;Beautiful Stranger;you're
Madonna;Beautiful Stranger;the
Madonna;Beautiful Stranger;devil
Madonna;Beautiful Stranger;in
Madonna;Beautiful Stranger;disguise
Madonna;Beautiful Stranger;haven't
Madonna;Beautiful Stranger;we
Madonna;Beautiful Stranger;met?
Madonna;Beautiful Stranger;some
Madonna;Beautiful Stranger;kind
Madonna;Beautiful Stranger;of
Madonna;Beautiful Stranger;beautiful
Madonna;Beautiful Stranger;stranger
Madonna;Beautiful Stranger;you
Madonna;Beautiful Stranger;could
Madonna;Beautiful Stranger;be
Madonna;Beautiful Stranger;good
Madonna;Beautiful Stranger;for
Madonna;Beautiful Stranger;me
Madonna;Beautiful Stranger;i've
Madonna;Beautiful Stranger;had
Madonna;Beautiful Stranger;the
Madonna;Beautiful Stranger;taste
Madonna;Beautiful Stranger;for
Madonna;Beautiful Stranger;danger
Madonna;Beautiful Stranger;if
Madonna;Beautiful Stranger;i'm
Madonna;Beautiful Stranger;smart
Madonna;Beautiful Stranger;then
Madonna;Beautiful Stranger;i'll
Madonna;Beautiful Stranger;run
Madonna;Beautiful Stranger;away
Madonna;Beautiful Stranger;but
Madonna;Beautiful Stranger;i'm
Madonna;Beautiful Stranger;not
Madonna;Beautiful Stranger;so
Madonna;Beautiful Stranger;i
Madonna;Beautiful Stranger;guess
Madonna;Beautiful Stranger;i'll
Madonna;Beautiful Stranger;stay
Madonna;Beautiful Stranger;heaven
Madonna;Beautiful Stranger;forbid
Madonna;Beautiful Stranger;i'll
Madonna;Beautiful Stranger;take
Madonna;Beautiful Stranger;my
Madonna;Beautiful Stranger;chance
Madonna;Beautiful Stranger;on
Madonna;Beautiful Stranger;a
Madonna;Beautiful Stranger;beautiful
Madonna;Beautiful Stranger;stranger
Madonna;Beautiful Stranger;i
Madonna;Beautiful Stranger;looked
Madonna;Beautiful Stranger;into
Madonna;Beautiful Stranger;your
Madonna;Beautiful Stranger;eyes
Madonna;Beautiful Stranger;and
Madonna;Beautiful Stranger;my
Madonna;Beautiful Stranger;world
Madonna;Beautiful Stranger;came
Madonna;Beautiful Stranger;tumblin'
Madonna;Beautiful Stranger;down
Madonna;Beautiful Stranger;you're
Madonna;Beautiful Stranger;the
Madonna;Beautiful Stranger;devil
Madonna;Beautiful Stranger;in
Madonna;Beautiful Stranger;disguise
Madonna;Beautiful Stranger;that's
Madonna;Beautiful Stranger;why
Madonna;Beautiful Stranger;i'm
Madonna;Beautiful Stranger;singing
Madonna;Beautiful Stranger;this
Madonna;Beautiful Stranger;song
Madonna;Beautiful Stranger;to
Madonna;Beautiful Stranger;know
Madonna;Beautiful Stranger;you
Madonna;Beautiful Stranger;is
Madonna;Beautiful Stranger;to
Madonna;Beautiful Stranger;love
Madonna;Beautiful Stranger;you
Madonna;Beautiful Stranger;you're
Madonna;Beautiful Stranger;everywhere
Madonna;Beautiful Stranger;i
Madonna;Beautiful Stranger;go
Madonna;Beautiful Stranger;and
Madonna;Beautiful Stranger;everybody
Madonna;Beautiful Stranger;knows
Madonna;Beautiful Stranger;to
Madonna;Beautiful Stranger;love
Madonna;Beautiful Stranger;you
Madonna;Beautiful Stranger;is
Madonna;Beautiful Stranger;to
Madonna;Beautiful Stranger;be
Madonna;Beautiful Stranger;part
Madonna;Beautiful Stranger;of
Madonna;Beautiful Stranger;you
Madonna;Beautiful Stranger;i
Madonna;Beautiful Stranger;paid
Madonna;Beautiful Stranger;for
Madonna;Beautiful Stranger;you
Madonna;Beautiful Stranger;with
Madonna;Beautiful Stranger;tears
Madonna;Beautiful Stranger;and
Madonna;Beautiful Stranger;swallowed
Madonna;Beautiful Stranger;all
Madonna;Beautiful Stranger;my
Madonna;Beautiful Stranger;pride
Madonna;Beautiful Stranger;dara
Madonna;Beautiful Stranger;dara
Madonna;Beautiful Stranger;dara
Madonna;Beautiful Stranger;da
Madonna;Beautiful Stranger;da
Madonna;Beautiful Stranger;dara
Madonna;Beautiful Stranger;da
Madonna;Beautiful Stranger;beautiful
Madonna;Beautiful Stranger;stranger
Madonna;Beautiful Stranger;dara
Madonna;Beautiful Stranger;dara
Madonna;Beautiful Stranger;dara
Madonna;Beautiful Stranger;da
Madonna;Beautiful Stranger;da
Madonna;Beautiful Stranger;dara
Madonna;Beautiful Stranger;da
Madonna;Beautiful Stranger;beautiful
Madonna;Beautiful Stranger;stranger
Madonna;Beautiful Stranger;if
Madonna;Beautiful Stranger;i'm
Madonna;Beautiful Stranger;smart
Madonna;Beautiful Stranger;then
Madonna;Beautiful Stranger;i'll
Madonna;Beautiful Stranger;run
Madonna;Beautiful Stranger;away
Madonna;Beautiful Stranger;but
Madonna;Beautiful Stranger;i'm
Madonna;Beautiful Stranger;not
Madonna;Beautiful Stranger;so
Madonna;Beautiful Stranger;i
Madonna;Beautiful Stranger;guess
Madonna;Beautiful Stranger;i'll
Madonna;Beautiful Stranger;stay
Madonna;Beautiful Stranger;haven't
Madonna;Beautiful Stranger;you
Madonna;Beautiful Stranger;heard?
Madonna;Beautiful Stranger;i
Madonna;Beautiful Stranger;fell
Madonna;Beautiful Stranger;in
Madonna;Beautiful Stranger;love
Madonna;Beautiful Stranger;with
Madonna;Beautiful Stranger;a
Madonna;Beautiful Stranger;beautiful
Madonna;Beautiful Stranger;stranger
Madonna;Beautiful Stranger;i
Madonna;Beautiful Stranger;looked
Madonna;Beautiful Stranger;into
Madonna;Beautiful Stranger;your
Madonna;Beautiful Stranger;face
Madonna;Beautiful Stranger;my
Madonna;Beautiful Stranger;heart
Madonna;Beautiful Stranger;was
Madonna;Beautiful Stranger;dancing
Madonna;Beautiful Stranger;all
Madonna;Beautiful Stranger;over
Madonna;Beautiful Stranger;the
Madonna;Beautiful Stranger;place
Madonna;Beautiful Stranger;i'd
Madonna;Beautiful Stranger;like
Madonna;Beautiful Stranger;to
Madonna;Beautiful Stranger;change
Madonna;Beautiful Stranger;my
Madonna;Beautiful Stranger;point
Madonna;Beautiful Stranger;of
Madonna;Beautiful Stranger;view
Madonna;Beautiful Stranger;if
Madonna;Beautiful Stranger;i
Madonna;Beautiful Stranger;could
Madonna;Beautiful Stranger;just
Madonna;Beautiful Stranger;forget
