artist_name;song_title;token
Madonna;Buenos Aires;what's
Madonna;Buenos Aires;new,
Madonna;Buenos Aires;buenos
Madonna;Buenos Aires;aires?!
Madonna;Buenos Aires;i'm
Madonna;Buenos Aires;new!
Madonna;Buenos Aires;i
Madonna;Buenos Aires;wanna
Madonna;Buenos Aires;say
Madonna;Buenos Aires;i'm
Madonna;Buenos Aires;just
Madonna;Buenos Aires;a
Madonna;Buenos Aires;little
Madonna;Buenos Aires;stuck
Madonna;Buenos Aires;on
Madonna;Buenos Aires;you!
Madonna;Buenos Aires;you'll
Madonna;Buenos Aires;be
Madonna;Buenos Aires;on
Madonna;Buenos Aires;me
Madonna;Buenos Aires;too!
Madonna;Buenos Aires;i
Madonna;Buenos Aires;get
Madonna;Buenos Aires;out
Madonna;Buenos Aires;here,
Madonna;Buenos Aires;buenos
Madonna;Buenos Aires;aires!
Madonna;Buenos Aires;stand
Madonna;Buenos Aires;back!
Madonna;Buenos Aires;you
Madonna;Buenos Aires;oughta
Madonna;Buenos Aires;know
Madonna;Buenos Aires;whatcha
Madonna;Buenos Aires;gonna
Madonna;Buenos Aires;get
Madonna;Buenos Aires;in
Madonna;Buenos Aires;me!
Madonna;Buenos Aires;just
Madonna;Buenos Aires;a
Madonna;Buenos Aires;little
Madonna;Buenos Aires;touch
Madonna;Buenos Aires;of
Madonna;Buenos Aires;star
Madonna;Buenos Aires;quality!
Madonna;Buenos Aires;fill
Madonna;Buenos Aires;me
Madonna;Buenos Aires;up
Madonna;Buenos Aires;with
Madonna;Buenos Aires;your
Madonna;Buenos Aires;heat,
Madonna;Buenos Aires;with
Madonna;Buenos Aires;your
Madonna;Buenos Aires;noise,
Madonna;Buenos Aires;with
Madonna;Buenos Aires;your
Madonna;Buenos Aires;dirt,
Madonna;Buenos Aires;overdo
Madonna;Buenos Aires;me
Madonna;Buenos Aires;what's
Madonna;Buenos Aires;new,
Madonna;Buenos Aires;buenos
Madonna;Buenos Aires;aires?!
Madonna;Buenos Aires;i'm
Madonna;Buenos Aires;new!
Madonna;Buenos Aires;i
Madonna;Buenos Aires;wanna
Madonna;Buenos Aires;say
Madonna;Buenos Aires;i'm
Madonna;Buenos Aires;just
Madonna;Buenos Aires;a
Madonna;Buenos Aires;little
Madonna;Buenos Aires;stuck
Madonna;Buenos Aires;on
Madonna;Buenos Aires;you!
Madonna;Buenos Aires;you'll
Madonna;Buenos Aires;be
Madonna;Buenos Aires;on
Madonna;Buenos Aires;me
Madonna;Buenos Aires;too!
Madonna;Buenos Aires;i
Madonna;Buenos Aires;get
Madonna;Buenos Aires;out
Madonna;Buenos Aires;here,
Madonna;Buenos Aires;buenos
Madonna;Buenos Aires;aires!
Madonna;Buenos Aires;stand
Madonna;Buenos Aires;back!
Madonna;Buenos Aires;you
Madonna;Buenos Aires;oughta
Madonna;Buenos Aires;know
Madonna;Buenos Aires;whatcha
Madonna;Buenos Aires;gonna
Madonna;Buenos Aires;get
Madonna;Buenos Aires;in
Madonna;Buenos Aires;me!
Madonna;Buenos Aires;just
Madonna;Buenos Aires;a
Madonna;Buenos Aires;little
Madonna;Buenos Aires;touch
Madonna;Buenos Aires;of
Madonna;Buenos Aires;star
Madonna;Buenos Aires;quality!
Madonna;Buenos Aires;fill
Madonna;Buenos Aires;me
Madonna;Buenos Aires;up
Madonna;Buenos Aires;with
Madonna;Buenos Aires;your
Madonna;Buenos Aires;heat,
Madonna;Buenos Aires;with
Madonna;Buenos Aires;your
Madonna;Buenos Aires;noise,
Madonna;Buenos Aires;with
Madonna;Buenos Aires;your
Madonna;Buenos Aires;dirt,
Madonna;Buenos Aires;overdo
Madonna;Buenos Aires;me
Madonna;Buenos Aires;let
Madonna;Buenos Aires;me
Madonna;Buenos Aires;dance
Madonna;Buenos Aires;to
Madonna;Buenos Aires;your
Madonna;Buenos Aires;beat,
Madonna;Buenos Aires;make
Madonna;Buenos Aires;it
Madonna;Buenos Aires;loud,
Madonna;Buenos Aires;let
Madonna;Buenos Aires;it
Madonna;Buenos Aires;hurt,
Madonna;Buenos Aires;run
Madonna;Buenos Aires;it
Madonna;Buenos Aires;through
Madonna;Buenos Aires;me
Madonna;Buenos Aires;don't
Madonna;Buenos Aires;hold
Madonna;Buenos Aires;back,
Madonna;Buenos Aires;you
Madonna;Buenos Aires;are
Madonna;Buenos Aires;certain
Madonna;Buenos Aires;to
Madonna;Buenos Aires;impress
Madonna;Buenos Aires;tell
Madonna;Buenos Aires;the
Madonna;Buenos Aires;driver
Madonna;Buenos Aires;this
Madonna;Buenos Aires;is
Madonna;Buenos Aires;where
Madonna;Buenos Aires;i'm
Madonna;Buenos Aires;staying!
Madonna;Buenos Aires;hello,
Madonna;Buenos Aires;buenos
Madonna;Buenos Aires;aires!
Madonna;Buenos Aires;get
Madonna;Buenos Aires;this!
Madonna;Buenos Aires;just
Madonna;Buenos Aires;look
Madonna;Buenos Aires;at
Madonna;Buenos Aires;me
Madonna;Buenos Aires;dressed
Madonna;Buenos Aires;up,
Madonna;Buenos Aires;somewhere
Madonna;Buenos Aires;to
Madonna;Buenos Aires;go,
Madonna;Buenos Aires;we'll
Madonna;Buenos Aires;put
Madonna;Buenos Aires;on
Madonna;Buenos Aires;a
Madonna;Buenos Aires;show!
Madonna;Buenos Aires;take
Madonna;Buenos Aires;me
Madonna;Buenos Aires;in
Madonna;Buenos Aires;at
Madonna;Buenos Aires;your
Madonna;Buenos Aires;flood,
Madonna;Buenos Aires;give
Madonna;Buenos Aires;me
Madonna;Buenos Aires;speed,
Madonna;Buenos Aires;ive
Madonna;Buenos Aires;me
Madonna;Buenos Aires;lights,
Madonna;Buenos Aires;set
Madonna;Buenos Aires;me
Madonna;Buenos Aires;humming
Madonna;Buenos Aires;shoot
Madonna;Buenos Aires;me
Madonna;Buenos Aires;up
Madonna;Buenos Aires;with
Madonna;Buenos Aires;your
Madonna;Buenos Aires;blood,
Madonna;Buenos Aires;wine
Madonna;Buenos Aires;me
Madonna;Buenos Aires;up,
Madonna;Buenos Aires;with
Madonna;Buenos Aires;your
Madonna;Buenos Aires;nights,
Madonna;Buenos Aires;watch
Madonna;Buenos Aires;me
Madonna;Buenos Aires;coming!
Madonna;Buenos Aires;all
Madonna;Buenos Aires;i
Madonna;Buenos Aires;want
Madonna;Buenos Aires;is
Madonna;Buenos Aires;a
Madonna;Buenos Aires;whole
Madonna;Buenos Aires;lot
Madonna;Buenos Aires;of
Madonna;Buenos Aires;excess!
Madonna;Buenos Aires;tell
Madonna;Buenos Aires;the
Madonna;Buenos Aires;singer
Madonna;Buenos Aires;this
Madonna;Buenos Aires;is
Madonna;Buenos Aires;where
Madonna;Buenos Aires;i'm
Madonna;Buenos Aires;playing!
Madonna;Buenos Aires;stand
Madonna;Buenos Aires;back,
Madonna;Buenos Aires;buenos
Madonna;Buenos Aires;aires!
Madonna;Buenos Aires;because...
Madonna;Buenos Aires;you
Madonna;Buenos Aires;oughta
Madonna;Buenos Aires;know
Madonna;Buenos Aires;whatcha
Madonna;Buenos Aires;gonna
Madonna;Buenos Aires;get
Madonna;Buenos Aires;in
Madonna;Buenos Aires;me
Madonna;Buenos Aires;just
Madonna;Buenos Aires;a
Madonna;Buenos Aires;little
Madonna;Buenos Aires;touch
Madonna;Buenos Aires;of
Madonna;Buenos Aires;star
Madonna;Buenos Aires;quality
Madonna;Buenos Aires;and
Madonna;Buenos Aires;if
Madonna;Buenos Aires;ever
Madonna;Buenos Aires;i
Madonna;Buenos Aires;go
Madonna;Buenos Aires;too
Madonna;Buenos Aires;far
Madonna;Buenos Aires;it's
Madonna;Buenos Aires;because
Madonna;Buenos Aires;of
Madonna;Buenos Aires;the
Madonna;Buenos Aires;things
Madonna;Buenos Aires;you
Madonna;Buenos Aires;are
Madonna;Buenos Aires;beautiful
Madonna;Buenos Aires;town,
Madonna;Buenos Aires;i
Madonna;Buenos Aires;love
Madonna;Buenos Aires;you!
Madonna;Buenos Aires;and
Madonna;Buenos Aires;if
Madonna;Buenos Aires;i
Madonna;Buenos Aires;need
Madonna;Buenos Aires;a
Madonna;Buenos Aires;moment's
Madonna;Buenos Aires;rest
Madonna;Buenos Aires;give
Madonna;Buenos Aires;your
Madonna;Buenos Aires;lover
Madonna;Buenos Aires;the
Madonna;Buenos Aires;very
Madonna;Buenos Aires;best!
Madonna;Buenos Aires;real
Madonna;Buenos Aires;eiderdown
Madonna;Buenos Aires;and
Madonna;Buenos Aires;silence
Madonna;Buenos Aires;you're
Madonna;Buenos Aires;a
Madonna;Buenos Aires;tramp,
Madonna;Buenos Aires;you're
Madonna;Buenos Aires;a
Madonna;Buenos Aires;treat,
Madonna;Buenos Aires;you
Madonna;Buenos Aires;will
Madonna;Buenos Aires;shine
Madonna;Buenos Aires;to
Madonna;Buenos Aires;the
Madonna;Buenos Aires;death,
Madonna;Buenos Aires;you
Madonna;Buenos Aires;are
Madonna;Buenos Aires;shoddy!
Madonna;Buenos Aires;but
Madonna;Buenos Aires;you're
Madonna;Buenos Aires;flesh,
Madonna;Buenos Aires;you
Madonna;Buenos Aires;are
Madonna;Buenos Aires;meat,
Madonna;Buenos Aires;you
Madonna;Buenos Aires;shall
Madonna;Buenos Aires;have
Madonna;Buenos Aires;every
Madonna;Buenos Aires;breath
Madonna;Buenos Aires;in
Madonna;Buenos Aires;my
Madonna;Buenos Aires;body!
Madonna;Buenos Aires;put
Madonna;Buenos Aires;me
Madonna;Buenos Aires;down
Madonna;Buenos Aires;for
Madonna;Buenos Aires;a
Madonna;Buenos Aires;lifetime
Madonna;Buenos Aires;of
Madonna;Buenos Aires;success!
Madonna;Buenos Aires;give
Madonna;Buenos Aires;me
Madonna;Buenos Aires;credit,
Madonna;Buenos Aires;i'll
Madonna;Buenos Aires;find
Madonna;Buenos Aires;ways
Madonna;Buenos Aires;of
Madonna;Buenos Aires;paying
Madonna;Buenos Aires;rio
Madonna;Buenos Aires;de
Madonna;Buenos Aires;la
Madonna;Buenos Aires;plata,
Madonna;Buenos Aires;florida,
Madonna;Buenos Aires;corrientes,
Madonna;Buenos Aires;nueve
Madonna;Buenos Aires;de
Madonna;Buenos Aires;julio
Madonna;Buenos Aires;all
Madonna;Buenos Aires;i
Madonna;Buenos Aires;want
Madonna;Buenos Aires;to
Madonna;Buenos Aires;know!
Madonna;Buenos Aires;stand
Madonna;Buenos Aires;back,
Madonna;Buenos Aires;buenos
Madonna;Buenos Aires;aires!
Madonna;Buenos Aires;because...
Madonna;Buenos Aires;you
Madonna;Buenos Aires;oughta
Madonna;Buenos Aires;know
Madonna;Buenos Aires;whatcha
Madonna;Buenos Aires;gonna
Madonna;Buenos Aires;get
Madonna;Buenos Aires;in
Madonna;Buenos Aires;me
Madonna;Buenos Aires;just
Madonna;Buenos Aires;a
Madonna;Buenos Aires;little
Madonna;Buenos Aires;touch
Madonna;Buenos Aires;of...
Madonna;Buenos Aires;just
Madonna;Buenos Aires;a
Madonna;Buenos Aires;little
Madonna;Buenos Aires;touch
Madonna;Buenos Aires;of...
Madonna;Buenos Aires;just
Madonna;Buenos Aires;a
Madonna;Buenos Aires;little
Madonna;Buenos Aires;touch
Madonna;Buenos Aires;of
Madonna;Buenos Aires;star
Madonna;Buenos Aires;quality!
