artist_name;song_title;token
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;know
Madonna;Spanish Eyes;for
Madonna;Spanish Eyes;sure
Madonna;Spanish Eyes;his
Madonna;Spanish Eyes;heart
Madonna;Spanish Eyes;is
Madonna;Spanish Eyes;here
Madonna;Spanish Eyes;with
Madonna;Spanish Eyes;me
Madonna;Spanish Eyes;though
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;wish
Madonna;Spanish Eyes;him
Madonna;Spanish Eyes;back,
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;know
Madonna;Spanish Eyes;he
Madonna;Spanish Eyes;cannot
Madonna;Spanish Eyes;see
Madonna;Spanish Eyes;my
Madonna;Spanish Eyes;hands
Madonna;Spanish Eyes;trembling,
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;know
Madonna;Spanish Eyes;he
Madonna;Spanish Eyes;hears
Madonna;Spanish Eyes;me
Madonna;Spanish Eyes;sing
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;light
Madonna;Spanish Eyes;this
Madonna;Spanish Eyes;candle
Madonna;Spanish Eyes;and
Madonna;Spanish Eyes;watch
Madonna;Spanish Eyes;it
Madonna;Spanish Eyes;throw
Madonna;Spanish Eyes;tears
Madonna;Spanish Eyes;on
Madonna;Spanish Eyes;my
Madonna;Spanish Eyes;pillow
Madonna;Spanish Eyes;and
Madonna;Spanish Eyes;if
Madonna;Spanish Eyes;there
Madonna;Spanish Eyes;is
Madonna;Spanish Eyes;a
Madonna;Spanish Eyes;christ,
Madonna;Spanish Eyes;he'll
Madonna;Spanish Eyes;come
Madonna;Spanish Eyes;tonight
Madonna;Spanish Eyes;to
Madonna;Spanish Eyes;pray
Madonna;Spanish Eyes;for
Madonna;Spanish Eyes;spanish
Madonna;Spanish Eyes;eyes
Madonna;Spanish Eyes;and
Madonna;Spanish Eyes;if
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;have
Madonna;Spanish Eyes;nothing
Madonna;Spanish Eyes;left
Madonna;Spanish Eyes;to
Madonna;Spanish Eyes;show
Madonna;Spanish Eyes;tears
Madonna;Spanish Eyes;on
Madonna;Spanish Eyes;my
Madonna;Spanish Eyes;pillow
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;know
Madonna;Spanish Eyes;for
Madonna;Spanish Eyes;sure
Madonna;Spanish Eyes;his
Madonna;Spanish Eyes;heart
Madonna;Spanish Eyes;is
Madonna;Spanish Eyes;here
Madonna;Spanish Eyes;with
Madonna;Spanish Eyes;me
Madonna;Spanish Eyes;though
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;wish
Madonna;Spanish Eyes;him
Madonna;Spanish Eyes;back,
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;know
Madonna;Spanish Eyes;he
Madonna;Spanish Eyes;cannot
Madonna;Spanish Eyes;see
Madonna;Spanish Eyes;my
Madonna;Spanish Eyes;hands
Madonna;Spanish Eyes;trembling,
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;know
Madonna;Spanish Eyes;he
Madonna;Spanish Eyes;hears
Madonna;Spanish Eyes;me
Madonna;Spanish Eyes;sing
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;light
Madonna;Spanish Eyes;this
Madonna;Spanish Eyes;candle
Madonna;Spanish Eyes;and
Madonna;Spanish Eyes;watch
Madonna;Spanish Eyes;it
Madonna;Spanish Eyes;throw
Madonna;Spanish Eyes;tears
Madonna;Spanish Eyes;on
Madonna;Spanish Eyes;my
Madonna;Spanish Eyes;pillow
Madonna;Spanish Eyes;and
Madonna;Spanish Eyes;if
Madonna;Spanish Eyes;there
Madonna;Spanish Eyes;is
Madonna;Spanish Eyes;a
Madonna;Spanish Eyes;christ,
Madonna;Spanish Eyes;he'll
Madonna;Spanish Eyes;come
Madonna;Spanish Eyes;tonight
Madonna;Spanish Eyes;to
Madonna;Spanish Eyes;pray
Madonna;Spanish Eyes;for
Madonna;Spanish Eyes;spanish
Madonna;Spanish Eyes;eyes
Madonna;Spanish Eyes;and
Madonna;Spanish Eyes;if
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;have
Madonna;Spanish Eyes;nothing
Madonna;Spanish Eyes;left
Madonna;Spanish Eyes;to
Madonna;Spanish Eyes;show
Madonna;Spanish Eyes;tears
Madonna;Spanish Eyes;on
Madonna;Spanish Eyes;my
Madonna;Spanish Eyes;pillow
Madonna;Spanish Eyes;what
Madonna;Spanish Eyes;kind
Madonna;Spanish Eyes;of
Madonna;Spanish Eyes;life
Madonna;Spanish Eyes;is
Madonna;Spanish Eyes;this
Madonna;Spanish Eyes;if
Madonna;Spanish Eyes;god
Madonna;Spanish Eyes;exists
Madonna;Spanish Eyes;then
Madonna;Spanish Eyes;help
Madonna;Spanish Eyes;me
Madonna;Spanish Eyes;pray
Madonna;Spanish Eyes;for
Madonna;Spanish Eyes;spanish
Madonna;Spanish Eyes;eyes
Madonna;Spanish Eyes;he
Madonna;Spanish Eyes;had
Madonna;Spanish Eyes;to
Madonna;Spanish Eyes;fight
Madonna;Spanish Eyes;like
Madonna;Spanish Eyes;all
Madonna;Spanish Eyes;the
Madonna;Spanish Eyes;rest
Madonna;Spanish Eyes;in
Madonna;Spanish Eyes;the
Madonna;Spanish Eyes;barrio
Madonna;Spanish Eyes;all
Madonna;Spanish Eyes;the
Madonna;Spanish Eyes;streets
Madonna;Spanish Eyes;are
Madonna;Spanish Eyes;paved
Madonna;Spanish Eyes;with
Madonna;Spanish Eyes;fear
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;don't
Madonna;Spanish Eyes;"understand;"
Madonna;Spanish Eyes;at
Madonna;Spanish Eyes;least
Madonna;Spanish Eyes;he
Madonna;Spanish Eyes;was
Madonna;Spanish Eyes;a
Madonna;Spanish Eyes;man
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;light
Madonna;Spanish Eyes;this
Madonna;Spanish Eyes;candle
Madonna;Spanish Eyes;and
Madonna;Spanish Eyes;watch
Madonna;Spanish Eyes;it
Madonna;Spanish Eyes;throw
Madonna;Spanish Eyes;tears
Madonna;Spanish Eyes;on
Madonna;Spanish Eyes;my
Madonna;Spanish Eyes;pillow
Madonna;Spanish Eyes;and
Madonna;Spanish Eyes;if
Madonna;Spanish Eyes;there
Madonna;Spanish Eyes;is
Madonna;Spanish Eyes;a
Madonna;Spanish Eyes;christ,
Madonna;Spanish Eyes;he'll
Madonna;Spanish Eyes;come
Madonna;Spanish Eyes;tonight
Madonna;Spanish Eyes;to
Madonna;Spanish Eyes;pray
Madonna;Spanish Eyes;for
Madonna;Spanish Eyes;spanish
Madonna;Spanish Eyes;eyes
Madonna;Spanish Eyes;and
Madonna;Spanish Eyes;if
Madonna;Spanish Eyes;i
Madonna;Spanish Eyes;have
Madonna;Spanish Eyes;nothing
Madonna;Spanish Eyes;left
Madonna;Spanish Eyes;to
Madonna;Spanish Eyes;show
Madonna;Spanish Eyes;tears
Madonna;Spanish Eyes;on
Madonna;Spanish Eyes;my
Madonna;Spanish Eyes;pillow
Madonna;Spanish Eyes;what
Madonna;Spanish Eyes;kind
Madonna;Spanish Eyes;of
Madonna;Spanish Eyes;life
