artist_name;song_title;token
Madonna;Where Life Begins;warm
Madonna;Where Life Begins;inside...
Madonna;Where Life Begins;mmm!
Madonna;Where Life Begins;yeah!
Madonna;Where Life Begins;i'd
Madonna;Where Life Begins;like
Madonna;Where Life Begins;to
Madonna;Where Life Begins;direct
Madonna;Where Life Begins;your
Madonna;Where Life Begins;attention
Madonna;Where Life Begins;to
Madonna;Where Life Begins;something
Madonna;Where Life Begins;that
Madonna;Where Life Begins;needs
Madonna;Where Life Begins;directing
Madonna;Where Life Begins;to
Madonna;Where Life Begins;a
Madonna;Where Life Begins;lot
Madonna;Where Life Begins;of
Madonna;Where Life Begins;people
Madonna;Where Life Begins;talk
Madonna;Where Life Begins;about
Madonna;Where Life Begins;dining
Madonna;Where Life Begins;in
Madonna;Where Life Begins;and
Madonna;Where Life Begins;eating
Madonna;Where Life Begins;out
Madonna;Where Life Begins;i
Madonna;Where Life Begins;guess
Madonna;Where Life Begins;that's
Madonna;Where Life Begins;what
Madonna;Where Life Begins;this
Madonna;Where Life Begins;song's
Madonna;Where Life Begins;about
Madonna;Where Life Begins;i
Madonna;Where Life Begins;know
Madonna;Where Life Begins;this
Madonna;Where Life Begins;is
Madonna;Where Life Begins;not
Madonna;Where Life Begins;a
Madonna;Where Life Begins;dining
Madonna;Where Life Begins;room
Madonna;Where Life Begins;conversation
Madonna;Where Life Begins;and
Madonna;Where Life Begins;you
Madonna;Where Life Begins;don't
Madonna;Where Life Begins;have
Madonna;Where Life Begins;to
Madonna;Where Life Begins;listen
Madonna;Where Life Begins;if
Madonna;Where Life Begins;you
Madonna;Where Life Begins;don't
Madonna;Where Life Begins;have
Madonna;Where Life Begins;the
Madonna;Where Life Begins;time
Madonna;Where Life Begins;warm
Madonna;Where Life Begins;inside...
Madonna;Where Life Begins;mmm!
Madonna;Where Life Begins;yeah!
Madonna;Where Life Begins;i'd
Madonna;Where Life Begins;like
Madonna;Where Life Begins;to
Madonna;Where Life Begins;direct
Madonna;Where Life Begins;your
Madonna;Where Life Begins;attention
Madonna;Where Life Begins;to
Madonna;Where Life Begins;something
Madonna;Where Life Begins;that
Madonna;Where Life Begins;needs
Madonna;Where Life Begins;directing
Madonna;Where Life Begins;to
Madonna;Where Life Begins;a
Madonna;Where Life Begins;lot
