artist_name;song_title;token
Manowar;Army Of The Immortals;battle
Manowar;Army Of The Immortals;hymns
Manowar;Army Of The Immortals;did
Manowar;Army Of The Immortals;sound
Manowar;Army Of The Immortals;the
Manowar;Army Of The Immortals;call
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;came
Manowar;Army Of The Immortals;to
Manowar;Army Of The Immortals;our
Manowar;Army Of The Immortals;side
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;heard
Manowar;Army Of The Immortals;true
Manowar;Army Of The Immortals;metal
Manowar;Army Of The Immortals;into
Manowar;Army Of The Immortals;glory
Manowar;Army Of The Immortals;ride
Manowar;Army Of The Immortals;come
Manowar;Army Of The Immortals;on
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;stood
Manowar;Army Of The Immortals;beside
Manowar;Army Of The Immortals;us
Manowar;Army Of The Immortals;the
Manowar;Army Of The Immortals;false
Manowar;Army Of The Immortals;ones
Manowar;Army Of The Immortals;cried
Manowar;Army Of The Immortals;your
Manowar;Army Of The Immortals;love
Manowar;Army Of The Immortals;is
Manowar;Army Of The Immortals;judgement
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;gave
Manowar;Army Of The Immortals;us
Manowar;Army Of The Immortals;life
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;wait
Manowar;Army Of The Immortals;in
Manowar;Army Of The Immortals;the
Manowar;Army Of The Immortals;rain
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;walk
Manowar;Army Of The Immortals;through
Manowar;Army Of The Immortals;the
Manowar;Army Of The Immortals;snow
Manowar;Army Of The Immortals;we
Manowar;Army Of The Immortals;give
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;our
Manowar;Army Of The Immortals;blood
Manowar;Army Of The Immortals;we
Manowar;Army Of The Immortals;want
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;to
Manowar;Army Of The Immortals;know
Manowar;Army Of The Immortals;in
Manowar;Army Of The Immortals;our
Manowar;Army Of The Immortals;eyes
Manowar;Army Of The Immortals;your
Manowar;Army Of The Immortals;immortal
Manowar;Army Of The Immortals;battle
Manowar;Army Of The Immortals;hymns
Manowar;Army Of The Immortals;did
Manowar;Army Of The Immortals;sound
Manowar;Army Of The Immortals;the
Manowar;Army Of The Immortals;call
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;came
Manowar;Army Of The Immortals;to
Manowar;Army Of The Immortals;our
Manowar;Army Of The Immortals;side
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;heard
Manowar;Army Of The Immortals;true
Manowar;Army Of The Immortals;metal
Manowar;Army Of The Immortals;into
Manowar;Army Of The Immortals;glory
Manowar;Army Of The Immortals;ride
Manowar;Army Of The Immortals;come
Manowar;Army Of The Immortals;on
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;stood
Manowar;Army Of The Immortals;beside
Manowar;Army Of The Immortals;us
Manowar;Army Of The Immortals;the
Manowar;Army Of The Immortals;false
Manowar;Army Of The Immortals;ones
Manowar;Army Of The Immortals;cried
Manowar;Army Of The Immortals;your
Manowar;Army Of The Immortals;love
Manowar;Army Of The Immortals;is
Manowar;Army Of The Immortals;judgement
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;gave
Manowar;Army Of The Immortals;us
Manowar;Army Of The Immortals;life
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;wait
Manowar;Army Of The Immortals;in
Manowar;Army Of The Immortals;the
Manowar;Army Of The Immortals;rain
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;walk
Manowar;Army Of The Immortals;through
Manowar;Army Of The Immortals;the
Manowar;Army Of The Immortals;snow
Manowar;Army Of The Immortals;we
Manowar;Army Of The Immortals;give
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;our
Manowar;Army Of The Immortals;blood
Manowar;Army Of The Immortals;we
Manowar;Army Of The Immortals;want
Manowar;Army Of The Immortals;you
Manowar;Army Of The Immortals;to
Manowar;Army Of The Immortals;know
Manowar;Army Of The Immortals;in
Manowar;Army Of The Immortals;our
Manowar;Army Of The Immortals;eyes
Manowar;Army Of The Immortals;your
Manowar;Army Of The Immortals;immortal
Manowar;Army Of The Immortals;in
Manowar;Army Of The Immortals;our
Manowar;Army Of The Immortals;hearts
Manowar;Army Of The Immortals;you'll
Manowar;Army Of The Immortals;live
Manowar;Army Of The Immortals;forever
Manowar;Army Of The Immortals;in
Manowar;Army Of The Immortals;our
Manowar;Army Of The Immortals;eyes
Manowar;Army Of The Immortals;your
Manowar;Army Of The Immortals;immortal
Manowar;Army Of The Immortals;in
Manowar;Army Of The Immortals;our
