artist_name;song_title;token
Manowar;Black Wind, Fire And Steel;full
Manowar;Black Wind, Fire And Steel;moon's
Manowar;Black Wind, Fire And Steel;light
Manowar;Black Wind, Fire And Steel;is
Manowar;Black Wind, Fire And Steel;calling
Manowar;Black Wind, Fire And Steel;me
Manowar;Black Wind, Fire And Steel;my
Manowar;Black Wind, Fire And Steel;kingdom
Manowar;Black Wind, Fire And Steel;lies
Manowar;Black Wind, Fire And Steel;within.
Manowar;Black Wind, Fire And Steel;the
Manowar;Black Wind, Fire And Steel;mystic
Manowar;Black Wind, Fire And Steel;soul
Manowar;Black Wind, Fire And Steel;and
Manowar;Black Wind, Fire And Steel;lion's
Manowar;Black Wind, Fire And Steel;heart
Manowar;Black Wind, Fire And Steel;brought
Manowar;Black Wind, Fire And Steel;by
Manowar;Black Wind, Fire And Steel;the
Manowar;Black Wind, Fire And Steel;talisman.
Manowar;Black Wind, Fire And Steel;the
Manowar;Black Wind, Fire And Steel;ecstasy
Manowar;Black Wind, Fire And Steel;of
Manowar;Black Wind, Fire And Steel;battle
Manowar;Black Wind, Fire And Steel;takes
Manowar;Black Wind, Fire And Steel;me
Manowar;Black Wind, Fire And Steel;where
Manowar;Black Wind, Fire And Steel;the
Manowar;Black Wind, Fire And Steel;falcons
Manowar;Black Wind, Fire And Steel;fly.
Manowar;Black Wind, Fire And Steel;immortal
Manowar;Black Wind, Fire And Steel;youth
Manowar;Black Wind, Fire And Steel;was
Manowar;Black Wind, Fire And Steel;granted
Manowar;Black Wind, Fire And Steel;me
Manowar;Black Wind, Fire And Steel;i
Manowar;Black Wind, Fire And Steel;will
Manowar;Black Wind, Fire And Steel;never
Manowar;Black Wind, Fire And Steel;die.
Manowar;Black Wind, Fire And Steel;born
Manowar;Black Wind, Fire And Steel;of
Manowar;Black Wind, Fire And Steel;black
Manowar;Black Wind, Fire And Steel;wind,
Manowar;Black Wind, Fire And Steel;fire
Manowar;Black Wind, Fire And Steel;and
Manowar;Black Wind, Fire And Steel;steel
Manowar;Black Wind, Fire And Steel;born
Manowar;Black Wind, Fire And Steel;of
Manowar;Black Wind, Fire And Steel;black
Manowar;Black Wind, Fire And Steel;wind,
Manowar;Black Wind, Fire And Steel;fire
