artist_name;song_title;token
Megadeth;Captive Honour;madness
Megadeth;Captive Honour;comes
Megadeth;Captive Honour;and
Megadeth;Captive Honour;madness
Megadeth;Captive Honour;goes
Megadeth;Captive Honour;an
Megadeth;Captive Honour;insane
Megadeth;Captive Honour;place
Megadeth;Captive Honour;with
Megadeth;Captive Honour;insane
Megadeth;Captive Honour;moves
Megadeth;Captive Honour;battles
Megadeth;Captive Honour;without
Megadeth;Captive Honour;for
Megadeth;Captive Honour;battles
Megadeth;Captive Honour;within
Megadeth;Captive Honour;where
Megadeth;Captive Honour;evil
Megadeth;Captive Honour;lives
Megadeth;Captive Honour;and
Megadeth;Captive Honour;evil
Megadeth;Captive Honour;rules
Megadeth;Captive Honour;breaking
Megadeth;Captive Honour;them
Megadeth;Captive Honour;up
Megadeth;Captive Honour;just
Megadeth;Captive Honour;breaking
Megadeth;Captive Honour;them
Megadeth;Captive Honour;in
Megadeth;Captive Honour;quickest
Megadeth;Captive Honour;way
Megadeth;Captive Honour;out
Megadeth;Captive Honour;quickest
Megadeth;Captive Honour;relief
Megadeth;Captive Honour;wins
Megadeth;Captive Honour;never
Megadeth;Captive Honour;disclose
Megadeth;Captive Honour;never
Megadeth;Captive Honour;betray
Megadeth;Captive Honour;cease
Megadeth;Captive Honour;to
Megadeth;Captive Honour;speak
Megadeth;Captive Honour;or
Megadeth;Captive Honour;cease
Megadeth;Captive Honour;to
Megadeth;Captive Honour;breathe
Megadeth;Captive Honour;madness
Megadeth;Captive Honour;comes
Megadeth;Captive Honour;and
Megadeth;Captive Honour;madness
Megadeth;Captive Honour;goes
Megadeth;Captive Honour;an
Megadeth;Captive Honour;insane
Megadeth;Captive Honour;place
Megadeth;Captive Honour;with
Megadeth;Captive Honour;insane
Megadeth;Captive Honour;moves
Megadeth;Captive Honour;battles
Megadeth;Captive Honour;without
Megadeth;Captive Honour;for
Megadeth;Captive Honour;battles
Megadeth;Captive Honour;within
Megadeth;Captive Honour;where
Megadeth;Captive Honour;evil
Megadeth;Captive Honour;lives
Megadeth;Captive Honour;and
Megadeth;Captive Honour;evil
Megadeth;Captive Honour;rules
Megadeth;Captive Honour;breaking
Megadeth;Captive Honour;them
Megadeth;Captive Honour;up
Megadeth;Captive Honour;just
Megadeth;Captive Honour;breaking
Megadeth;Captive Honour;them
Megadeth;Captive Honour;in
Megadeth;Captive Honour;quickest
Megadeth;Captive Honour;way
Megadeth;Captive Honour;out
Megadeth;Captive Honour;quickest
Megadeth;Captive Honour;relief
Megadeth;Captive Honour;wins
Megadeth;Captive Honour;never
Megadeth;Captive Honour;disclose
Megadeth;Captive Honour;never
Megadeth;Captive Honour;betray
Megadeth;Captive Honour;cease
Megadeth;Captive Honour;to
Megadeth;Captive Honour;speak
Megadeth;Captive Honour;or
Megadeth;Captive Honour;cease
Megadeth;Captive Honour;to
Megadeth;Captive Honour;breathe
Megadeth;Captive Honour;and
Megadeth;Captive Honour;when
Megadeth;Captive Honour;you
Megadeth;Captive Honour;kill
Megadeth;Captive Honour;a
Megadeth;Captive Honour;man
Megadeth;Captive Honour;you're
Megadeth;Captive Honour;a
Megadeth;Captive Honour;murderer
Megadeth;Captive Honour;kill
Megadeth;Captive Honour;many
Megadeth;Captive Honour;and
Megadeth;Captive Honour;you're
Megadeth;Captive Honour;a
Megadeth;Captive Honour;conqueror
Megadeth;Captive Honour;kill
Megadeth;Captive Honour;them
Megadeth;Captive Honour;all
Megadeth;Captive Honour;ooh-oh
Megadeth;Captive Honour;you're
Megadeth;Captive Honour;a
Megadeth;Captive Honour;god
Megadeth;Captive Honour;ladies
Megadeth;Captive Honour;and
Megadeth;Captive Honour;gentlemen
Megadeth;Captive Honour;of
Megadeth;Captive Honour;the
Megadeth;Captive Honour;jury
Megadeth;Captive Honour;have
Megadeth;Captive Honour;you
Megadeth;Captive Honour;reached
Megadeth;Captive Honour;a
Megadeth;Captive Honour;verdict
Megadeth;Captive Honour;yes
Megadeth;Captive Honour;we
Megadeth;Captive Honour;have
Megadeth;Captive Honour;your
Megadeth;Captive Honour;honour
Megadeth;Captive Honour;we
Megadeth;Captive Honour;find
Megadeth;Captive Honour;the
Megadeth;Captive Honour;defendant
Megadeth;Captive Honour;guilty
Megadeth;Captive Honour;on
Megadeth;Captive Honour;all
Megadeth;Captive Honour;counts
Megadeth;Captive Honour;for
Megadeth;Captive Honour;crimes
Megadeth;Captive Honour;against
Megadeth;Captive Honour;all
Megadeth;Captive Honour;humanity
Megadeth;Captive Honour;by
Megadeth;Captive Honour;virtue
Megadeth;Captive Honour;of
Megadeth;Captive Honour;the
Megadeth;Captive Honour;jury
Megadeth;Captive Honour;decision
Megadeth;Captive Honour;and
Megadeth;Captive Honour;the
Megadeth;Captive Honour;power
Megadeth;Captive Honour;vested
Megadeth;Captive Honour;in
Megadeth;Captive Honour;me
Megadeth;Captive Honour;by
Megadeth;Captive Honour;the
Megadeth;Captive Honour;state
Megadeth;Captive Honour;i
Megadeth;Captive Honour;hereby
Megadeth;Captive Honour;sentence
Megadeth;Captive Honour;you
Megadeth;Captive Honour;to
Megadeth;Captive Honour;be
Megadeth;Captive Honour;incarcerated
Megadeth;Captive Honour;with
Megadeth;Captive Honour;no
Megadeth;Captive Honour;possibility
Megadeth;Captive Honour;of
Megadeth;Captive Honour;parole
Megadeth;Captive Honour;for
Megadeth;Captive Honour;life
Megadeth;Captive Honour;life
Megadeth;Captive Honour;whadda
Megadeth;Captive Honour;ya
Megadeth;Captive Honour;mean
Megadeth;Captive Honour;life
Megadeth;Captive Honour;i
Megadeth;Captive Honour;ain't
Megadeth;Captive Honour;got
Megadeth;Captive Honour;a
Megadeth;Captive Honour;life
Megadeth;Captive Honour;boy
Megadeth;Captive Honour;your
Megadeth;Captive Honour;soul
Megadeth;Captive Honour;better
Megadeth;Captive Honour;belong
Megadeth;Captive Honour;to
Megadeth;Captive Honour;jesus
Megadeth;Captive Honour;hmmm-mmm
Megadeth;Captive Honour;'cause
Megadeth;Captive Honour;your
Megadeth;Captive Honour;ass
Megadeth;Captive Honour;belongs
Megadeth;Captive Honour;to
Megadeth;Captive Honour;me
Megadeth;Captive Honour;captive
Megadeth;Captive Honour;honour
Megadeth;Captive Honour;ain't
Megadeth;Captive Honour;no
Megadeth;Captive Honour;honour
Megadeth;Captive Honour;captive
Megadeth;Captive Honour;honour
Megadeth;Captive Honour;ain't
Megadeth;Captive Honour;no
Megadeth;Captive Honour;honour
Megadeth;Captive Honour;no
Megadeth;Captive Honour;time
Megadeth;Captive Honour;for
Megadeth;Captive Honour;questions
Megadeth;Captive Honour;no
Megadeth;Captive Honour;time
Megadeth;Captive Honour;for
Megadeth;Captive Honour;the
Megadeth;Captive Honour;games
Megadeth;Captive Honour;start
Megadeth;Captive Honour;kicking
Megadeth;Captive Honour;ass
Megadeth;Captive Honour;and
Megadeth;Captive Honour;taking
Megadeth;Captive Honour;down
Megadeth;Captive Honour;the
Megadeth;Captive Honour;names
Megadeth;Captive Honour;a
Megadeth;Captive Honour;long
Megadeth;Captive Honour;shit
Megadeth;Captive Honour;list
Megadeth;Captive Honour;a
Megadeth;Captive Honour;shorter
Megadeth;Captive Honour;fuse
Megadeth;Captive Honour;he
Megadeth;Captive Honour;is
Megadeth;Captive Honour;untouchable
Megadeth;Captive Honour;and
Megadeth;Captive Honour;guarantees
Megadeth;Captive Honour;you'll
Megadeth;Captive Honour;lose
Megadeth;Captive Honour;captive
Megadeth;Captive Honour;honour
Megadeth;Captive Honour;ain't
Megadeth;Captive Honour;no
Megadeth;Captive Honour;honour
Megadeth;Captive Honour;captive
Megadeth;Captive Honour;honour
Megadeth;Captive Honour;ain't
Megadeth;Captive Honour;no
Megadeth;Captive Honour;honour
Megadeth;Captive Honour;inside
Megadeth;Captive Honour;the
Megadeth;Captive Honour;bighouse
Megadeth;Captive Honour;his
Megadeth;Captive Honour;nightmare
Megadeth;Captive Honour;unfolds
Megadeth;Captive Honour;before
Megadeth;Captive Honour;he
Megadeth;Captive Honour;got
Megadeth;Captive Honour;there
Megadeth;Captive Honour;his
Megadeth;Captive Honour;manpussy
Megadeth;Captive Honour;was
Megadeth;Captive Honour;sold
Megadeth;Captive Honour;black
Megadeth;Captive Honour;blanket
