artist_name;song_title;token
Megadeth;Elysian Fields;uneasy
Megadeth;Elysian Fields;feeling
Megadeth;Elysian Fields;burning
Megadeth;Elysian Fields;out
Megadeth;Elysian Fields;my
Megadeth;Elysian Fields;eyes
Megadeth;Elysian Fields;i
Megadeth;Elysian Fields;hope
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;end
Megadeth;Elysian Fields;is
Megadeth;Elysian Fields;less
Megadeth;Elysian Fields;painful
Megadeth;Elysian Fields;than
Megadeth;Elysian Fields;my
Megadeth;Elysian Fields;life
Megadeth;Elysian Fields;i
Megadeth;Elysian Fields;stand
Megadeth;Elysian Fields;on
Megadeth;Elysian Fields;trial
Megadeth;Elysian Fields;before
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;gods
Megadeth;Elysian Fields;on
Megadeth;Elysian Fields;judgement
Megadeth;Elysian Fields;day
Megadeth;Elysian Fields;a
Megadeth;Elysian Fields;blink
Megadeth;Elysian Fields;of
Megadeth;Elysian Fields;an
Megadeth;Elysian Fields;eye
Megadeth;Elysian Fields;between
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;cradle
Megadeth;Elysian Fields;and
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;grave
Megadeth;Elysian Fields;one
Megadeth;Elysian Fields;last
Megadeth;Elysian Fields;look
Megadeth;Elysian Fields;at
Megadeth;Elysian Fields;visions
Megadeth;Elysian Fields;of
Megadeth;Elysian Fields;flesh
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;last
Megadeth;Elysian Fields;best
Megadeth;Elysian Fields;hope
Megadeth;Elysian Fields;of
Megadeth;Elysian Fields;man
Megadeth;Elysian Fields;on
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;earth
Megadeth;Elysian Fields;pontius
Megadeth;Elysian Fields;pilate
Megadeth;Elysian Fields;still
Megadeth;Elysian Fields;washing
Megadeth;Elysian Fields;his
Megadeth;Elysian Fields;hands
Megadeth;Elysian Fields;uneasy
Megadeth;Elysian Fields;feeling
Megadeth;Elysian Fields;burning
Megadeth;Elysian Fields;out
Megadeth;Elysian Fields;my
Megadeth;Elysian Fields;eyes
Megadeth;Elysian Fields;i
Megadeth;Elysian Fields;hope
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;end
Megadeth;Elysian Fields;is
Megadeth;Elysian Fields;less
Megadeth;Elysian Fields;painful
Megadeth;Elysian Fields;than
Megadeth;Elysian Fields;my
Megadeth;Elysian Fields;life
Megadeth;Elysian Fields;i
Megadeth;Elysian Fields;stand
Megadeth;Elysian Fields;on
Megadeth;Elysian Fields;trial
Megadeth;Elysian Fields;before
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;gods
Megadeth;Elysian Fields;on
Megadeth;Elysian Fields;judgement
Megadeth;Elysian Fields;day
Megadeth;Elysian Fields;a
Megadeth;Elysian Fields;blink
Megadeth;Elysian Fields;of
Megadeth;Elysian Fields;an
Megadeth;Elysian Fields;eye
Megadeth;Elysian Fields;between
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;cradle
Megadeth;Elysian Fields;and
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;grave
Megadeth;Elysian Fields;one
Megadeth;Elysian Fields;last
Megadeth;Elysian Fields;look
Megadeth;Elysian Fields;at
Megadeth;Elysian Fields;visions
Megadeth;Elysian Fields;of
Megadeth;Elysian Fields;flesh
Megadeth;Elysian Fields;the
Megadeth;Elysian Fields;last
Megadeth;Elysian Fields;best
Megadeth;Elysian Fields;hope
