artist_name;song_title;token
Megadeth;Have Cool, Will Travel;mamas
Megadeth;Have Cool, Will Travel;pack
Megadeth;Have Cool, Will Travel;their
Megadeth;Have Cool, Will Travel;lunches
Megadeth;Have Cool, Will Travel;kids
Megadeth;Have Cool, Will Travel;pack
Megadeth;Have Cool, Will Travel;their
Megadeth;Have Cool, Will Travel;guns
Megadeth;Have Cool, Will Travel;wishing
Megadeth;Have Cool, Will Travel;it
Megadeth;Have Cool, Will Travel;will
Megadeth;Have Cool, Will Travel;go
Megadeth;Have Cool, Will Travel;away
Megadeth;Have Cool, Will Travel;but
Megadeth;Have Cool, Will Travel;nothing
Megadeth;Have Cool, Will Travel;getting
Megadeth;Have Cool, Will Travel;done
Megadeth;Have Cool, Will Travel;a
Megadeth;Have Cool, Will Travel;shot
Megadeth;Have Cool, Will Travel;heard
Megadeth;Have Cool, Will Travel;around
Megadeth;Have Cool, Will Travel;the
Megadeth;Have Cool, Will Travel;world
Megadeth;Have Cool, Will Travel;when
Megadeth;Have Cool, Will Travel;a
Megadeth;Have Cool, Will Travel;mother
Megadeth;Have Cool, Will Travel;baby
Megadeth;Have Cool, Will Travel;dies
Megadeth;Have Cool, Will Travel;we
Megadeth;Have Cool, Will Travel;the
Megadeth;Have Cool, Will Travel;people
Megadeth;Have Cool, Will Travel;point
Megadeth;Have Cool, Will Travel;our
Megadeth;Have Cool, Will Travel;fingers
Megadeth;Have Cool, Will Travel;blame
Megadeth;Have Cool, Will Travel;and
Megadeth;Have Cool, Will Travel;wonder
Megadeth;Have Cool, Will Travel;why
Megadeth;Have Cool, Will Travel;face
Megadeth;Have Cool, Will Travel;it
Megadeth;Have Cool, Will Travel;and
Megadeth;Have Cool, Will Travel;fight
Megadeth;Have Cool, Will Travel;or
Megadeth;Have Cool, Will Travel;turn
Megadeth;Have Cool, Will Travel;high
Megadeth;Have Cool, Will Travel;tail
Megadeth;Have Cool, Will Travel;and
Megadeth;Have Cool, Will Travel;run
Megadeth;Have Cool, Will Travel;'til
Megadeth;Have Cool, Will Travel;it
Megadeth;Have Cool, Will Travel;comes
Megadeth;Have Cool, Will Travel;back
Megadeth;Have Cool, Will Travel;again
Megadeth;Have Cool, Will Travel;just
Megadeth;Have Cool, Will Travel;like
Megadeth;Have Cool, Will Travel;the
Megadeth;Have Cool, Will Travel;rising
Megadeth;Have Cool, Will Travel;sun
Megadeth;Have Cool, Will Travel;mamas
Megadeth;Have Cool, Will Travel;pack
Megadeth;Have Cool, Will Travel;their
Megadeth;Have Cool, Will Travel;lunches
Megadeth;Have Cool, Will Travel;kids
Megadeth;Have Cool, Will Travel;pack
Megadeth;Have Cool, Will Travel;their
Megadeth;Have Cool, Will Travel;guns
Megadeth;Have Cool, Will Travel;wishing
Megadeth;Have Cool, Will Travel;it
Megadeth;Have Cool, Will Travel;will
Megadeth;Have Cool, Will Travel;go
Megadeth;Have Cool, Will Travel;away
Megadeth;Have Cool, Will Travel;but
Megadeth;Have Cool, Will Travel;nothing
Megadeth;Have Cool, Will Travel;getting
Megadeth;Have Cool, Will Travel;done
Megadeth;Have Cool, Will Travel;a
Megadeth;Have Cool, Will Travel;shot
Megadeth;Have Cool, Will Travel;heard
Megadeth;Have Cool, Will Travel;around
Megadeth;Have Cool, Will Travel;the
Megadeth;Have Cool, Will Travel;world
Megadeth;Have Cool, Will Travel;when
Megadeth;Have Cool, Will Travel;a
Megadeth;Have Cool, Will Travel;mother
Megadeth;Have Cool, Will Travel;baby
Megadeth;Have Cool, Will Travel;dies
Megadeth;Have Cool, Will Travel;we
Megadeth;Have Cool, Will Travel;the
Megadeth;Have Cool, Will Travel;people
Megadeth;Have Cool, Will Travel;point
Megadeth;Have Cool, Will Travel;our
Megadeth;Have Cool, Will Travel;fingers
Megadeth;Have Cool, Will Travel;blame
Megadeth;Have Cool, Will Travel;and
Megadeth;Have Cool, Will Travel;wonder
Megadeth;Have Cool, Will Travel;why
Megadeth;Have Cool, Will Travel;face
Megadeth;Have Cool, Will Travel;it
Megadeth;Have Cool, Will Travel;and
Megadeth;Have Cool, Will Travel;fight
Megadeth;Have Cool, Will Travel;or
Megadeth;Have Cool, Will Travel;turn
Megadeth;Have Cool, Will Travel;high
Megadeth;Have Cool, Will Travel;tail
Megadeth;Have Cool, Will Travel;and
Megadeth;Have Cool, Will Travel;run
Megadeth;Have Cool, Will Travel;'til
Megadeth;Have Cool, Will Travel;it
Megadeth;Have Cool, Will Travel;comes
Megadeth;Have Cool, Will Travel;back
Megadeth;Have Cool, Will Travel;again
Megadeth;Have Cool, Will Travel;just
Megadeth;Have Cool, Will Travel;like
Megadeth;Have Cool, Will Travel;the
Megadeth;Have Cool, Will Travel;rising
Megadeth;Have Cool, Will Travel;sun
Megadeth;Have Cool, Will Travel;say
Megadeth;Have Cool, Will Travel;they
Megadeth;Have Cool, Will Travel;do
Megadeth;Have Cool, Will Travel;all
Megadeth;Have Cool, Will Travel;they
Megadeth;Have Cool, Will Travel;can
Megadeth;Have Cool, Will Travel;it
Megadeth;Have Cool, Will Travel;just
Megadeth;Have Cool, Will Travel;another
Megadeth;Have Cool, Will Travel;lie
Megadeth;Have Cool, Will Travel;the
Megadeth;Have Cool, Will Travel;answer
Megadeth;Have Cool, Will Travel;plain
Megadeth;Have Cool, Will Travel;to
Megadeth;Have Cool, Will Travel;see
Megadeth;Have Cool, Will Travel;nobody
Megadeth;Have Cool, Will Travel;nobody
Megadeth;Have Cool, Will Travel;wants
Megadeth;Have Cool, Will Travel;to
Megadeth;Have Cool, Will Travel;try
Megadeth;Have Cool, Will Travel;oh
Megadeth;Have Cool, Will Travel;there
