artist_name;song_title;token
Megadeth;Post-American World;we
Megadeth;Post-American World;see
Megadeth;Post-American World;each
Megadeth;Post-American World;other
Megadeth;Post-American World;through
Megadeth;Post-American World;different
Megadeth;Post-American World;eyes
Megadeth;Post-American World;segregating
Megadeth;Post-American World;ourselves
Megadeth;Post-American World;by
Megadeth;Post-American World;class
Megadeth;Post-American World;and
Megadeth;Post-American World;size
Megadeth;Post-American World;it
Megadeth;Post-American World;me
Megadeth;Post-American World;against
Megadeth;Post-American World;you
Megadeth;Post-American World;in
Megadeth;Post-American World;everything
Megadeth;Post-American World;that
Megadeth;Post-American World;they
Megadeth;Post-American World;do
Megadeth;Post-American World;this
Megadeth;Post-American World;planet
Megadeth;Post-American World;become
Megadeth;Post-American World;one
Megadeth;Post-American World;big
Megadeth;Post-American World;spinning
Megadeth;Post-American World;disaster
Megadeth;Post-American World;if
Megadeth;Post-American World;you
Megadeth;Post-American World;don't
Megadeth;Post-American World;like
Megadeth;Post-American World;where
Megadeth;Post-American World;we're
Megadeth;Post-American World;going
Megadeth;Post-American World;then
Megadeth;Post-American World;you
Megadeth;Post-American World;won't
Megadeth;Post-American World;like
Megadeth;Post-American World;what
Megadeth;Post-American World;coming
Megadeth;Post-American World;next
Megadeth;Post-American World;what
Megadeth;Post-American World;will
Megadeth;Post-American World;we
Megadeth;Post-American World;look
Megadeth;Post-American World;like
Megadeth;Post-American World;in
Megadeth;Post-American World;a
Megadeth;Post-American World;post
Megadeth;Post-American World;american
Megadeth;Post-American World;world
Megadeth;Post-American World;we
Megadeth;Post-American World;see
Megadeth;Post-American World;each
Megadeth;Post-American World;other
Megadeth;Post-American World;through
Megadeth;Post-American World;different
Megadeth;Post-American World;eyes
Megadeth;Post-American World;segregating
Megadeth;Post-American World;ourselves
Megadeth;Post-American World;by
Megadeth;Post-American World;class
Megadeth;Post-American World;and
Megadeth;Post-American World;size
Megadeth;Post-American World;it
Megadeth;Post-American World;me
Megadeth;Post-American World;against
Megadeth;Post-American World;you
Megadeth;Post-American World;in
Megadeth;Post-American World;everything
Megadeth;Post-American World;that
Megadeth;Post-American World;they
Megadeth;Post-American World;do
Megadeth;Post-American World;this
Megadeth;Post-American World;planet
Megadeth;Post-American World;become
Megadeth;Post-American World;one
Megadeth;Post-American World;big
Megadeth;Post-American World;spinning
Megadeth;Post-American World;disaster
Megadeth;Post-American World;if
Megadeth;Post-American World;you
Megadeth;Post-American World;don't
Megadeth;Post-American World;like
Megadeth;Post-American World;where
Megadeth;Post-American World;we're
Megadeth;Post-American World;going
Megadeth;Post-American World;then
Megadeth;Post-American World;you
Megadeth;Post-American World;won't
Megadeth;Post-American World;like
Megadeth;Post-American World;what
Megadeth;Post-American World;coming
Megadeth;Post-American World;next
Megadeth;Post-American World;what
Megadeth;Post-American World;will
Megadeth;Post-American World;we
Megadeth;Post-American World;look
Megadeth;Post-American World;like
Megadeth;Post-American World;in
Megadeth;Post-American World;a
Megadeth;Post-American World;post
Megadeth;Post-American World;american
Megadeth;Post-American World;world
Megadeth;Post-American World;why
Megadeth;Post-American World;cower
Megadeth;Post-American World;to
Megadeth;Post-American World;all
Megadeth;Post-American World;those
Megadeth;Post-American World;who
Megadeth;Post-American World;oppose
Megadeth;Post-American World;the
Megadeth;Post-American World;american
Megadeth;Post-American World;world
Megadeth;Post-American World;when
Megadeth;Post-American World;you
Megadeth;Post-American World;walk
Megadeth;Post-American World;away
Megadeth;Post-American World;from
Megadeth;Post-American World;that
Megadeth;Post-American World;which
Megadeth;Post-American World;makes
Megadeth;Post-American World;you
Megadeth;Post-American World;strong
Megadeth;Post-American World;you
Megadeth;Post-American World;only
Megadeth;Post-American World;fool
Megadeth;Post-American World;yourself
Megadeth;Post-American World;you
Megadeth;Post-American World;only
Megadeth;Post-American World;weaken
Megadeth;Post-American World;your
Megadeth;Post-American World;cause
Megadeth;Post-American World;there
Megadeth;Post-American World;creeping
Megadeth;Post-American World;hate
Megadeth;Post-American World;if
Megadeth;Post-American World;you
Megadeth;Post-American World;resist
Megadeth;Post-American World;the
Megadeth;Post-American World;false
Megadeth;Post-American World;narrative
Megadeth;Post-American World;crushing
Megadeth;Post-American World;all
Megadeth;Post-American World;the
Megadeth;Post-American World;dissenters
Megadeth;Post-American World;who
Megadeth;Post-American World;still
Megadeth;Post-American World;think
Megadeth;Post-American World;for
Megadeth;Post-American World;them
Megadeth;Post-American World;selves
Megadeth;Post-American World;if
Megadeth;Post-American World;you
Megadeth;Post-American World;don't
Megadeth;Post-American World;like
Megadeth;Post-American World;where
Megadeth;Post-American World;we're
Megadeth;Post-American World;going
Megadeth;Post-American World;then
Megadeth;Post-American World;you
Megadeth;Post-American World;won't
Megadeth;Post-American World;like
Megadeth;Post-American World;what
Megadeth;Post-American World;coming
Megadeth;Post-American World;next
Megadeth;Post-American World;what
Megadeth;Post-American World;will
Megadeth;Post-American World;we
Megadeth;Post-American World;look
Megadeth;Post-American World;like
Megadeth;Post-American World;in
Megadeth;Post-American World;a
Megadeth;Post-American World;post
Megadeth;Post-American World;american
Megadeth;Post-American World;world
Megadeth;Post-American World;why
Megadeth;Post-American World;cower
Megadeth;Post-American World;to
Megadeth;Post-American World;all
Megadeth;Post-American World;those
Megadeth;Post-American World;who
Megadeth;Post-American World;oppose
Megadeth;Post-American World;the
Megadeth;Post-American World;american
Megadeth;Post-American World;world
