artist_name;song_title;token
Megadeth;Return To Hangar;welcome
Megadeth;Return To Hangar;to
Megadeth;Return To Hangar;our
Megadeth;Return To Hangar;fortress
Megadeth;Return To Hangar;tall
Megadeth;Return To Hangar;i'll
Megadeth;Return To Hangar;take
Megadeth;Return To Hangar;some
Megadeth;Return To Hangar;time
Megadeth;Return To Hangar;to
Megadeth;Return To Hangar;show
Megadeth;Return To Hangar;you
Megadeth;Return To Hangar;around
Megadeth;Return To Hangar;impossible
Megadeth;Return To Hangar;to
Megadeth;Return To Hangar;break
Megadeth;Return To Hangar;these
Megadeth;Return To Hangar;walls
Megadeth;Return To Hangar;for
Megadeth;Return To Hangar;you
Megadeth;Return To Hangar;see
Megadeth;Return To Hangar;the
Megadeth;Return To Hangar;steel
Megadeth;Return To Hangar;is
Megadeth;Return To Hangar;much
Megadeth;Return To Hangar;too
Megadeth;Return To Hangar;strong
Megadeth;Return To Hangar;computer
Megadeth;Return To Hangar;banks
Megadeth;Return To Hangar;to
Megadeth;Return To Hangar;rule
Megadeth;Return To Hangar;the
Megadeth;Return To Hangar;world
Megadeth;Return To Hangar;instruments
Megadeth;Return To Hangar;to
Megadeth;Return To Hangar;sight
Megadeth;Return To Hangar;the
Megadeth;Return To Hangar;stars
Megadeth;Return To Hangar;possibly
Megadeth;Return To Hangar;i've
Megadeth;Return To Hangar;seen
Megadeth;Return To Hangar;too
Megadeth;Return To Hangar;much
Megadeth;Return To Hangar;hangar
Megadeth;Return To Hangar;18
Megadeth;Return To Hangar;i
Megadeth;Return To Hangar;know
Megadeth;Return To Hangar;too
Megadeth;Return To Hangar;much
Megadeth;Return To Hangar;foreign
Megadeth;Return To Hangar;life
Megadeth;Return To Hangar;forms
Megadeth;Return To Hangar;inventory
Megadeth;Return To Hangar;welcome
Megadeth;Return To Hangar;to
Megadeth;Return To Hangar;our
Megadeth;Return To Hangar;fortress
Megadeth;Return To Hangar;tall
Megadeth;Return To Hangar;i'll
Megadeth;Return To Hangar;take
Megadeth;Return To Hangar;some
Megadeth;Return To Hangar;time
Megadeth;Return To Hangar;to
Megadeth;Return To Hangar;show
Megadeth;Return To Hangar;you
Megadeth;Return To Hangar;around
Megadeth;Return To Hangar;impossible
Megadeth;Return To Hangar;to
Megadeth;Return To Hangar;break
Megadeth;Return To Hangar;these
Megadeth;Return To Hangar;walls
Megadeth;Return To Hangar;for
Megadeth;Return To Hangar;you
Megadeth;Return To Hangar;see
Megadeth;Return To Hangar;the
Megadeth;Return To Hangar;steel
Megadeth;Return To Hangar;is
Megadeth;Return To Hangar;much
Megadeth;Return To Hangar;too
Megadeth;Return To Hangar;strong
Megadeth;Return To Hangar;computer
Megadeth;Return To Hangar;banks
Megadeth;Return To Hangar;to
Megadeth;Return To Hangar;rule
Megadeth;Return To Hangar;the
Megadeth;Return To Hangar;world
Megadeth;Return To Hangar;instruments
Megadeth;Return To Hangar;to
Megadeth;Return To Hangar;sight
Megadeth;Return To Hangar;the
Megadeth;Return To Hangar;stars
Megadeth;Return To Hangar;possibly
Megadeth;Return To Hangar;i've
Megadeth;Return To Hangar;seen
Megadeth;Return To Hangar;too
Megadeth;Return To Hangar;much
Megadeth;Return To Hangar;hangar
Megadeth;Return To Hangar;18
Megadeth;Return To Hangar;i
Megadeth;Return To Hangar;know
Megadeth;Return To Hangar;too
Megadeth;Return To Hangar;much
Megadeth;Return To Hangar;foreign
Megadeth;Return To Hangar;life
Megadeth;Return To Hangar;forms
Megadeth;Return To Hangar;inventory
Megadeth;Return To Hangar;suspended
Megadeth;Return To Hangar;state
Megadeth;Return To Hangar;of
Megadeth;Return To Hangar;cryogenics
Megadeth;Return To Hangar;selective
Megadeth;Return To Hangar;amnesia
Megadeth;Return To Hangar;the
Megadeth;Return To Hangar;story
Megadeth;Return To Hangar;believed
Megadeth;Return To Hangar;foretold
Megadeth;Return To Hangar;but
Megadeth;Return To Hangar;who
Megadeth;Return To Hangar;would
Megadeth;Return To Hangar;suspect
Megadeth;Return To Hangar;the
Megadeth;Return To Hangar;military
Megadeth;Return To Hangar;intelligence
Megadeth;Return To Hangar;two
Megadeth;Return To Hangar;words
Megadeth;Return To Hangar;combined
Megadeth;Return To Hangar;that
Megadeth;Return To Hangar;can't
Megadeth;Return To Hangar;make
Megadeth;Return To Hangar;sense
Megadeth;Return To Hangar;possibly
Megadeth;Return To Hangar;i've
Megadeth;Return To Hangar;seen
Megadeth;Return To Hangar;too
Megadeth;Return To Hangar;much
Megadeth;Return To Hangar;hangar
Megadeth;Return To Hangar;18
Megadeth;Return To Hangar;i
Megadeth;Return To Hangar;know
Megadeth;Return To Hangar;too
Megadeth;Return To Hangar;much
