artist_name;song_title;token
Metallica;Turn The Page;on
Metallica;Turn The Page;a
Metallica;Turn The Page;long
Metallica;Turn The Page;and
Metallica;Turn The Page;lonesome
Metallica;Turn The Page;highway
Metallica;Turn The Page;east
Metallica;Turn The Page;of
Metallica;Turn The Page;omaha
Metallica;Turn The Page;you
Metallica;Turn The Page;can
Metallica;Turn The Page;listen
Metallica;Turn The Page;to
Metallica;Turn The Page;the
Metallica;Turn The Page;engines
Metallica;Turn The Page;moanin'
Metallica;Turn The Page;out
Metallica;Turn The Page;his
Metallica;Turn The Page;one
Metallica;Turn The Page;old
Metallica;Turn The Page;song
Metallica;Turn The Page;think
Metallica;Turn The Page;about
Metallica;Turn The Page;the
Metallica;Turn The Page;woman
Metallica;Turn The Page;or
Metallica;Turn The Page;the
Metallica;Turn The Page;girl
Metallica;Turn The Page;you
Metallica;Turn The Page;knew
Metallica;Turn The Page;the
Metallica;Turn The Page;night
Metallica;Turn The Page;before
Metallica;Turn The Page;but
Metallica;Turn The Page;your
Metallica;Turn The Page;thoughts
Metallica;Turn The Page;will
Metallica;Turn The Page;soon
Metallica;Turn The Page;be
Metallica;Turn The Page;wanderin'
Metallica;Turn The Page;the
Metallica;Turn The Page;way
Metallica;Turn The Page;they
Metallica;Turn The Page;always
Metallica;Turn The Page;do
Metallica;Turn The Page;when
Metallica;Turn The Page;you're
Metallica;Turn The Page;ridin'
Metallica;Turn The Page;sixteen
Metallica;Turn The Page;hours
Metallica;Turn The Page;and
Metallica;Turn The Page;there
Metallica;Turn The Page;nothin'
Metallica;Turn The Page;much
Metallica;Turn The Page;to
Metallica;Turn The Page;do
Metallica;Turn The Page;on
Metallica;Turn The Page;a
Metallica;Turn The Page;long
Metallica;Turn The Page;and
Metallica;Turn The Page;lonesome
Metallica;Turn The Page;highway
Metallica;Turn The Page;east
Metallica;Turn The Page;of
Metallica;Turn The Page;omaha
Metallica;Turn The Page;you
Metallica;Turn The Page;can
Metallica;Turn The Page;listen
Metallica;Turn The Page;to
Metallica;Turn The Page;the
Metallica;Turn The Page;engines
Metallica;Turn The Page;moanin'
Metallica;Turn The Page;out
Metallica;Turn The Page;his
Metallica;Turn The Page;one
Metallica;Turn The Page;old
Metallica;Turn The Page;song
Metallica;Turn The Page;think
Metallica;Turn The Page;about
Metallica;Turn The Page;the
Metallica;Turn The Page;woman
Metallica;Turn The Page;or
Metallica;Turn The Page;the
Metallica;Turn The Page;girl
Metallica;Turn The Page;you
Metallica;Turn The Page;knew
Metallica;Turn The Page;the
Metallica;Turn The Page;night
Metallica;Turn The Page;before
Metallica;Turn The Page;but
Metallica;Turn The Page;your
Metallica;Turn The Page;thoughts
Metallica;Turn The Page;will
Metallica;Turn The Page;soon
Metallica;Turn The Page;be
Metallica;Turn The Page;wanderin'
Metallica;Turn The Page;the
Metallica;Turn The Page;way
Metallica;Turn The Page;they
Metallica;Turn The Page;always
Metallica;Turn The Page;do
Metallica;Turn The Page;when
Metallica;Turn The Page;you're
Metallica;Turn The Page;ridin'
Metallica;Turn The Page;sixteen
Metallica;Turn The Page;hours
Metallica;Turn The Page;and
Metallica;Turn The Page;there
Metallica;Turn The Page;nothin'
Metallica;Turn The Page;much
Metallica;Turn The Page;to
Metallica;Turn The Page;do
Metallica;Turn The Page;and
Metallica;Turn The Page;you
Metallica;Turn The Page;don't
Metallica;Turn The Page;feel
Metallica;Turn The Page;much
Metallica;Turn The Page;like
Metallica;Turn The Page;ridin'
Metallica;Turn The Page;you
Metallica;Turn The Page;wish
Metallica;Turn The Page;the
Metallica;Turn The Page;trip
Metallica;Turn The Page;was
Metallica;Turn The Page;through
Metallica;Turn The Page;here
Metallica;Turn The Page;i
Metallica;Turn The Page;am
Metallica;Turn The Page;on
Metallica;Turn The Page;the
Metallica;Turn The Page;road
Metallica;Turn The Page;again
Metallica;Turn The Page;here
Metallica;Turn The Page;i
Metallica;Turn The Page;am
Metallica;Turn The Page;up
Metallica;Turn The Page;on
Metallica;Turn The Page;the
Metallica;Turn The Page;stage
Metallica;Turn The Page;here
Metallica;Turn The Page;i
Metallica;Turn The Page;go
Metallica;Turn The Page;playin'
Metallica;Turn The Page;star
Metallica;Turn The Page;again
Metallica;Turn The Page;there
Metallica;Turn The Page;i
Metallica;Turn The Page;go
Metallica;Turn The Page;turn
Metallica;Turn The Page;the
Metallica;Turn The Page;page
Metallica;Turn The Page;so
Metallica;Turn The Page;you
Metallica;Turn The Page;walk
Metallica;Turn The Page;into
Metallica;Turn The Page;this
Metallica;Turn The Page;restaurant
Metallica;Turn The Page;all
Metallica;Turn The Page;strung
Metallica;Turn The Page;out
Metallica;Turn The Page;from
Metallica;Turn The Page;the
Metallica;Turn The Page;road
Metallica;Turn The Page;and
Metallica;Turn The Page;you
Metallica;Turn The Page;feel
Metallica;Turn The Page;the
Metallica;Turn The Page;eyes
Metallica;Turn The Page;upon
Metallica;Turn The Page;you
Metallica;Turn The Page;as
Metallica;Turn The Page;you're
Metallica;Turn The Page;shakin'
Metallica;Turn The Page;off
Metallica;Turn The Page;the
Metallica;Turn The Page;cold
Metallica;Turn The Page;you
Metallica;Turn The Page;pretend
Metallica;Turn The Page;it
Metallica;Turn The Page;doesn't
Metallica;Turn The Page;bother
Metallica;Turn The Page;you
Metallica;Turn The Page;but
Metallica;Turn The Page;you
Metallica;Turn The Page;just
Metallica;Turn The Page;want
Metallica;Turn The Page;to
Metallica;Turn The Page;explode
Metallica;Turn The Page;yeah
Metallica;Turn The Page;oh
Metallica;Turn The Page;most
Metallica;Turn The Page;times
Metallica;Turn The Page;you
Metallica;Turn The Page;can't
Metallica;Turn The Page;hear
Metallica;Turn The Page;'em
Metallica;Turn The Page;talk
Metallica;Turn The Page;other
Metallica;Turn The Page;times
Metallica;Turn The Page;you
Metallica;Turn The Page;can
Metallica;Turn The Page;all
Metallica;Turn The Page;the
Metallica;Turn The Page;same
Metallica;Turn The Page;old
Metallica;Turn The Page;cliché
Metallica;Turn The Page;is
Metallica;Turn The Page;it
Metallica;Turn The Page;woman
Metallica;Turn The Page;or
Metallica;Turn The Page;is
Metallica;Turn The Page;it
Metallica;Turn The Page;man
Metallica;Turn The Page;and
Metallica;Turn The Page;you
Metallica;Turn The Page;always
Metallica;Turn The Page;seem
Metallica;Turn The Page;outnumbered
Metallica;Turn The Page;you
Metallica;Turn The Page;don't
Metallica;Turn The Page;dare
Metallica;Turn The Page;make
Metallica;Turn The Page;your
Metallica;Turn The Page;stand
Metallica;Turn The Page;make
Metallica;Turn The Page;your
Metallica;Turn The Page;stand
Metallica;Turn The Page;ah
Metallica;Turn The Page;here
Metallica;Turn The Page;i
Metallica;Turn The Page;am
Metallica;Turn The Page;on
Metallica;Turn The Page;the
Metallica;Turn The Page;road
Metallica;Turn The Page;again
Metallica;Turn The Page;here
Metallica;Turn The Page;i
Metallica;Turn The Page;am
Metallica;Turn The Page;up
Metallica;Turn The Page;on
Metallica;Turn The Page;the
Metallica;Turn The Page;stage
Metallica;Turn The Page;here
Metallica;Turn The Page;i
Metallica;Turn The Page;go
Metallica;Turn The Page;playin'
Metallica;Turn The Page;star
Metallica;Turn The Page;again
Metallica;Turn The Page;there
Metallica;Turn The Page;i
Metallica;Turn The Page;go
Metallica;Turn The Page;turn
Metallica;Turn The Page;the
Metallica;Turn The Page;page
Metallica;Turn The Page;whoa
Metallica;Turn The Page;hey
Metallica;Turn The Page;out
Metallica;Turn The Page;there
Metallica;Turn The Page;in
Metallica;Turn The Page;the
Metallica;Turn The Page;spotlight
Metallica;Turn The Page;you're
Metallica;Turn The Page;a
Metallica;Turn The Page;million
Metallica;Turn The Page;miles
Metallica;Turn The Page;away
Metallica;Turn The Page;every
Metallica;Turn The Page;ounce
Metallica;Turn The Page;of
Metallica;Turn The Page;energy
Metallica;Turn The Page;you
Metallica;Turn The Page;try
Metallica;Turn The Page;and
Metallica;Turn The Page;give
Metallica;Turn The Page;away
Metallica;Turn The Page;as
Metallica;Turn The Page;the
Metallica;Turn The Page;sweat
Metallica;Turn The Page;pours
Metallica;Turn The Page;out
Metallica;Turn The Page;your
Metallica;Turn The Page;body
Metallica;Turn The Page;like
Metallica;Turn The Page;the
Metallica;Turn The Page;music
Metallica;Turn The Page;that
Metallica;Turn The Page;you
Metallica;Turn The Page;play
Metallica;Turn The Page;later
Metallica;Turn The Page;in
Metallica;Turn The Page;the
Metallica;Turn The Page;evenin'
Metallica;Turn The Page;as
Metallica;Turn The Page;you
Metallica;Turn The Page;lie
Metallica;Turn The Page;awake
Metallica;Turn The Page;in
Metallica;Turn The Page;bed
Metallica;Turn The Page;with
Metallica;Turn The Page;the
Metallica;Turn The Page;echoes
Metallica;Turn The Page;of
Metallica;Turn The Page;the
Metallica;Turn The Page;amplifiers
Metallica;Turn The Page;ringin'
Metallica;Turn The Page;in
Metallica;Turn The Page;your
Metallica;Turn The Page;head
Metallica;Turn The Page;you
Metallica;Turn The Page;smoke
Metallica;Turn The Page;the
Metallica;Turn The Page;day
Metallica;Turn The Page;last
Metallica;Turn The Page;cigarette
Metallica;Turn The Page;rememberin'
Metallica;Turn The Page;what
Metallica;Turn The Page;she
Metallica;Turn The Page;said
Metallica;Turn The Page;what
