artist_name;song_title;token
Queen;Mother Love;i
Queen;Mother Love;don't
Queen;Mother Love;want
Queen;Mother Love;to
Queen;Mother Love;sleep
Queen;Mother Love;with
Queen;Mother Love;you
Queen;Mother Love;i
Queen;Mother Love;don't
Queen;Mother Love;need
Queen;Mother Love;the
Queen;Mother Love;passion
Queen;Mother Love;too
Queen;Mother Love;i
Queen;Mother Love;don't
Queen;Mother Love;want
Queen;Mother Love;a
Queen;Mother Love;stormy
Queen;Mother Love;affair
Queen;Mother Love;to
Queen;Mother Love;make
Queen;Mother Love;me
Queen;Mother Love;feel
Queen;Mother Love;my
Queen;Mother Love;life
Queen;Mother Love;is
Queen;Mother Love;heading
Queen;Mother Love;somewhere
Queen;Mother Love;all
Queen;Mother Love;i
Queen;Mother Love;want
Queen;Mother Love;is
Queen;Mother Love;the
Queen;Mother Love;comfort
Queen;Mother Love;and
Queen;Mother Love;care
Queen;Mother Love;just
Queen;Mother Love;to
Queen;Mother Love;know
Queen;Mother Love;that
Queen;Mother Love;my
Queen;Mother Love;woman
Queen;Mother Love;gives
Queen;Mother Love;me
Queen;Mother Love;sweet
Queen;Mother Love;mother
Queen;Mother Love;love
Queen;Mother Love;ah
Queen;Mother Love;ha
Queen;Mother Love;i've
Queen;Mother Love;walked
Queen;Mother Love;too
Queen;Mother Love;long
Queen;Mother Love;in
Queen;Mother Love;this
Queen;Mother Love;lonely
Queen;Mother Love;lane
Queen;Mother Love;i've
Queen;Mother Love;had
Queen;Mother Love;enough
Queen;Mother Love;of
Queen;Mother Love;this
Queen;Mother Love;same
Queen;Mother Love;old
Queen;Mother Love;game
Queen;Mother Love;i
Queen;Mother Love;don't
Queen;Mother Love;want
Queen;Mother Love;to
Queen;Mother Love;sleep
Queen;Mother Love;with
Queen;Mother Love;you
Queen;Mother Love;i
Queen;Mother Love;don't
Queen;Mother Love;need
Queen;Mother Love;the
Queen;Mother Love;passion
Queen;Mother Love;too
Queen;Mother Love;i
Queen;Mother Love;don't
Queen;Mother Love;want
Queen;Mother Love;a
Queen;Mother Love;stormy
Queen;Mother Love;affair
Queen;Mother Love;to
Queen;Mother Love;make
Queen;Mother Love;me
Queen;Mother Love;feel
Queen;Mother Love;my
Queen;Mother Love;life
Queen;Mother Love;is
Queen;Mother Love;heading
Queen;Mother Love;somewhere
Queen;Mother Love;all
Queen;Mother Love;i
Queen;Mother Love;want
Queen;Mother Love;is
Queen;Mother Love;the
Queen;Mother Love;comfort
Queen;Mother Love;and
Queen;Mother Love;care
Queen;Mother Love;just
Queen;Mother Love;to
Queen;Mother Love;know
Queen;Mother Love;that
Queen;Mother Love;my
Queen;Mother Love;woman
Queen;Mother Love;gives
Queen;Mother Love;me
Queen;Mother Love;sweet
Queen;Mother Love;mother
Queen;Mother Love;love
Queen;Mother Love;ah
Queen;Mother Love;ha
Queen;Mother Love;i've
Queen;Mother Love;walked
Queen;Mother Love;too
Queen;Mother Love;long
Queen;Mother Love;in
Queen;Mother Love;this
Queen;Mother Love;lonely
Queen;Mother Love;lane
Queen;Mother Love;i've
Queen;Mother Love;had
Queen;Mother Love;enough
Queen;Mother Love;of
Queen;Mother Love;this
Queen;Mother Love;same
Queen;Mother Love;old
Queen;Mother Love;game
Queen;Mother Love;i'm
Queen;Mother Love;a
Queen;Mother Love;man
Queen;Mother Love;of
Queen;Mother Love;the
Queen;Mother Love;world
Queen;Mother Love;and
Queen;Mother Love;they
Queen;Mother Love;say
Queen;Mother Love;that
Queen;Mother Love;i'm
Queen;Mother Love;strong
Queen;Mother Love;but
Queen;Mother Love;my
Queen;Mother Love;heart
Queen;Mother Love;is
Queen;Mother Love;heavy
Queen;Mother Love;and
Queen;Mother Love;my
Queen;Mother Love;hope
Queen;Mother Love;is
Queen;Mother Love;gone
Queen;Mother Love;out
Queen;Mother Love;in
Queen;Mother Love;the
Queen;Mother Love;city
Queen;Mother Love;in
Queen;Mother Love;the
Queen;Mother Love;cold
Queen;Mother Love;world
Queen;Mother Love;outside
Queen;Mother Love;i
Queen;Mother Love;don't
Queen;Mother Love;want
Queen;Mother Love;pity
Queen;Mother Love;just
Queen;Mother Love;a
Queen;Mother Love;safe
Queen;Mother Love;place
Queen;Mother Love;to
Queen;Mother Love;hide
Queen;Mother Love;mama
Queen;Mother Love;please
Queen;Mother Love;let
Queen;Mother Love;me
Queen;Mother Love;back
Queen;Mother Love;inside
Queen;Mother Love;i
Queen;Mother Love;don't
Queen;Mother Love;want
Queen;Mother Love;to
Queen;Mother Love;make
Queen;Mother Love;no
Queen;Mother Love;waves
Queen;Mother Love;but
Queen;Mother Love;you
Queen;Mother Love;can
