artist_name;song_title;token
Queen;Sweet Lady;oh
Queen;Sweet Lady;i
Queen;Sweet Lady;like
Queen;Sweet Lady;it
Queen;Sweet Lady;you
Queen;Sweet Lady;call
Queen;Sweet Lady;me
Queen;Sweet Lady;up
Queen;Sweet Lady;and
Queen;Sweet Lady;treat
Queen;Sweet Lady;me
Queen;Sweet Lady;like
Queen;Sweet Lady;a
Queen;Sweet Lady;dog
Queen;Sweet Lady;you
Queen;Sweet Lady;call
Queen;Sweet Lady;me
Queen;Sweet Lady;up
Queen;Sweet Lady;and
Queen;Sweet Lady;tear
Queen;Sweet Lady;me
Queen;Sweet Lady;up
Queen;Sweet Lady;inside
Queen;Sweet Lady;you've
Queen;Sweet Lady;got
Queen;Sweet Lady;me
Queen;Sweet Lady;on
Queen;Sweet Lady;a
Queen;Sweet Lady;lead
Queen;Sweet Lady;you
Queen;Sweet Lady;bring
Queen;Sweet Lady;me
Queen;Sweet Lady;down
Queen;Sweet Lady;you
Queen;Sweet Lady;shout
Queen;Sweet Lady;around
Queen;Sweet Lady;you
Queen;Sweet Lady;don't
Queen;Sweet Lady;believe
Queen;Sweet Lady;that
Queen;Sweet Lady;i'm
Queen;Sweet Lady;alone
Queen;Sweet Lady;oh
Queen;Sweet Lady;you
Queen;Sweet Lady;don't
Queen;Sweet Lady;believe
Queen;Sweet Lady;me
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;oh
Queen;Sweet Lady;stay
Queen;Sweet Lady;sweet
Queen;Sweet Lady;you
Queen;Sweet Lady;say
Queen;Sweet Lady;oh
Queen;Sweet Lady;i
Queen;Sweet Lady;like
Queen;Sweet Lady;it
Queen;Sweet Lady;you
Queen;Sweet Lady;call
Queen;Sweet Lady;me
Queen;Sweet Lady;up
Queen;Sweet Lady;and
Queen;Sweet Lady;treat
Queen;Sweet Lady;me
Queen;Sweet Lady;like
Queen;Sweet Lady;a
Queen;Sweet Lady;dog
Queen;Sweet Lady;you
Queen;Sweet Lady;call
Queen;Sweet Lady;me
Queen;Sweet Lady;up
Queen;Sweet Lady;and
Queen;Sweet Lady;tear
Queen;Sweet Lady;me
Queen;Sweet Lady;up
Queen;Sweet Lady;inside
Queen;Sweet Lady;you've
Queen;Sweet Lady;got
Queen;Sweet Lady;me
Queen;Sweet Lady;on
Queen;Sweet Lady;a
Queen;Sweet Lady;lead
Queen;Sweet Lady;you
Queen;Sweet Lady;bring
Queen;Sweet Lady;me
Queen;Sweet Lady;down
Queen;Sweet Lady;you
Queen;Sweet Lady;shout
Queen;Sweet Lady;around
Queen;Sweet Lady;you
Queen;Sweet Lady;don't
Queen;Sweet Lady;believe
Queen;Sweet Lady;that
Queen;Sweet Lady;i'm
Queen;Sweet Lady;alone
Queen;Sweet Lady;oh
Queen;Sweet Lady;you
Queen;Sweet Lady;don't
Queen;Sweet Lady;believe
Queen;Sweet Lady;me
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;oh
Queen;Sweet Lady;stay
Queen;Sweet Lady;sweet
Queen;Sweet Lady;you
Queen;Sweet Lady;say
Queen;Sweet Lady;you
Queen;Sweet Lady;call
Queen;Sweet Lady;me
Queen;Sweet Lady;up
Queen;Sweet Lady;and
Queen;Sweet Lady;feed
Queen;Sweet Lady;me
Queen;Sweet Lady;all
Queen;Sweet Lady;the
Queen;Sweet Lady;lines
Queen;Sweet Lady;you
Queen;Sweet Lady;call
Queen;Sweet Lady;me
Queen;Sweet Lady;sweet
Queen;Sweet Lady;like
Queen;Sweet Lady;i'm
Queen;Sweet Lady;some
Queen;Sweet Lady;kind
Queen;Sweet Lady;of
Queen;Sweet Lady;cheese
Queen;Sweet Lady;waiting
Queen;Sweet Lady;on
Queen;Sweet Lady;the
Queen;Sweet Lady;shelf
Queen;Sweet Lady;you
Queen;Sweet Lady;eat
Queen;Sweet Lady;me
Queen;Sweet Lady;up
Queen;Sweet Lady;you
Queen;Sweet Lady;hold
Queen;Sweet Lady;me
Queen;Sweet Lady;down
Queen;Sweet Lady;i'm
Queen;Sweet Lady;just
Queen;Sweet Lady;a
Queen;Sweet Lady;fool
Queen;Sweet Lady;to
Queen;Sweet Lady;make
Queen;Sweet Lady;you
Queen;Sweet Lady;a
Queen;Sweet Lady;home
Queen;Sweet Lady;oh
Queen;Sweet Lady;you
Queen;Sweet Lady;really
Queen;Sweet Lady;do
Queen;Sweet Lady;me
Queen;Sweet Lady;when
Queen;Sweet Lady;you
Queen;Sweet Lady;say
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;oh
Queen;Sweet Lady;come
Queen;Sweet Lady;on
Queen;Sweet Lady;stay
Queen;Sweet Lady;sweet
Queen;Sweet Lady;my
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;though
Queen;Sweet Lady;it
Queen;Sweet Lady;seems
Queen;Sweet Lady;like
Queen;Sweet Lady;we
Queen;Sweet Lady;wait
Queen;Sweet Lady;forever
Queen;Sweet Lady;stay
Queen;Sweet Lady;sweet
Queen;Sweet Lady;baby
Queen;Sweet Lady;believe
Queen;Sweet Lady;and
Queen;Sweet Lady;we've
Queen;Sweet Lady;got
Queen;Sweet Lady;everything
Queen;Sweet Lady;we
Queen;Sweet Lady;need
Queen;Sweet Lady;got
Queen;Sweet Lady;everything
Queen;Sweet Lady;we
Queen;Sweet Lady;need
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
Queen;Sweet Lady;oh
Queen;Sweet Lady;stay
Queen;Sweet Lady;sweet
Queen;Sweet Lady;stay
Queen;Sweet Lady;sweet
Queen;Sweet Lady;oh
Queen;Sweet Lady;runaway
Queen;Sweet Lady;come
Queen;Sweet Lady;on
Queen;Sweet Lady;yeah
Queen;Sweet Lady;yeah
Queen;Sweet Lady;yeah
Queen;Sweet Lady;yeah
Queen;Sweet Lady;sweet
Queen;Sweet Lady;lady
