artist_name;song_title;token
Red Hot Chilli Peppers;Backwoods;ah
Red Hot Chilli Peppers;Backwoods;someone
Red Hot Chilli Peppers;Backwoods;spilled
Red Hot Chilli Peppers;Backwoods;blood
Red Hot Chilli Peppers;Backwoods;many
Red Hot Chilli Peppers;Backwoods;years
Red Hot Chilli Peppers;Backwoods;ago
Red Hot Chilli Peppers;Backwoods;ow
Red Hot Chilli Peppers;Backwoods;someone
Red Hot Chilli Peppers;Backwoods;spilled
Red Hot Chilli Peppers;Backwoods;blood
Red Hot Chilli Peppers;Backwoods;but
Red Hot Chilli Peppers;Backwoods;do
Red Hot Chilli Peppers;Backwoods;you
Red Hot Chilli Peppers;Backwoods;know
Red Hot Chilli Peppers;Backwoods;that
Red Hot Chilli Peppers;Backwoods;from
Red Hot Chilli Peppers;Backwoods;the
Red Hot Chilli Peppers;Backwoods;backwoods
Red Hot Chilli Peppers;Backwoods;where
Red Hot Chilli Peppers;Backwoods;the
Red Hot Chilli Peppers;Backwoods;chuck
Red Hot Chilli Peppers;Backwoods;berries
Red Hot Chilli Peppers;Backwoods;grow
Red Hot Chilli Peppers;Backwoods;come
Red Hot Chilli Peppers;Backwoods;your
Red Hot Chilli Peppers;Backwoods;long
Red Hot Chilli Peppers;Backwoods;tall
Red Hot Chilli Peppers;Backwoods;daddies
Red Hot Chilli Peppers;Backwoods;of
Red Hot Chilli Peppers;Backwoods;a
Red Hot Chilli Peppers;Backwoods;rock
Red Hot Chilli Peppers;Backwoods;and
Red Hot Chilli Peppers;Backwoods;roll
Red Hot Chilli Peppers;Backwoods;oh
Red Hot Chilli Peppers;Backwoods;no
Red Hot Chilli Peppers;Backwoods;take
Red Hot Chilli Peppers;Backwoods;me
Red Hot Chilli Peppers;Backwoods;to
Red Hot Chilli Peppers;Backwoods;your
Red Hot Chilli Peppers;Backwoods;backwoods
Red Hot Chilli Peppers;Backwoods;now
Red Hot Chilli Peppers;Backwoods;take
Red Hot Chilli Peppers;Backwoods;me
Red Hot Chilli Peppers;Backwoods;to
Red Hot Chilli Peppers;Backwoods;your
Red Hot Chilli Peppers;Backwoods;backwoods
Red Hot Chilli Peppers;Backwoods;now
Red Hot Chilli Peppers;Backwoods;spinning'
Red Hot Chilli Peppers;Backwoods;down
Red Hot Chilli Peppers;Backwoods;from
Red Hot Chilli Peppers;Backwoods;the
Red Hot Chilli Peppers;Backwoods;clouds
Red Hot Chilli Peppers;Backwoods;like
Red Hot Chilli Peppers;Backwoods;a
Red Hot Chilli Peppers;Backwoods;tornado
Red Hot Chilli Peppers;Backwoods;ah
Red Hot Chilli Peppers;Backwoods;someone
Red Hot Chilli Peppers;Backwoods;spilled
Red Hot Chilli Peppers;Backwoods;blood
Red Hot Chilli Peppers;Backwoods;many
Red Hot Chilli Peppers;Backwoods;years
Red Hot Chilli Peppers;Backwoods;ago
Red Hot Chilli Peppers;Backwoods;ow
Red Hot Chilli Peppers;Backwoods;someone
Red Hot Chilli Peppers;Backwoods;spilled
Red Hot Chilli Peppers;Backwoods;blood
Red Hot Chilli Peppers;Backwoods;but
Red Hot Chilli Peppers;Backwoods;do
Red Hot Chilli Peppers;Backwoods;you
Red Hot Chilli Peppers;Backwoods;know
Red Hot Chilli Peppers;Backwoods;that
Red Hot Chilli Peppers;Backwoods;from
Red Hot Chilli Peppers;Backwoods;the
Red Hot Chilli Peppers;Backwoods;backwoods
Red Hot Chilli Peppers;Backwoods;where
Red Hot Chilli Peppers;Backwoods;the
Red Hot Chilli Peppers;Backwoods;chuck
Red Hot Chilli Peppers;Backwoods;berries
Red Hot Chilli Peppers;Backwoods;grow
Red Hot Chilli Peppers;Backwoods;come
Red Hot Chilli Peppers;Backwoods;your
Red Hot Chilli Peppers;Backwoods;long
Red Hot Chilli Peppers;Backwoods;tall
Red Hot Chilli Peppers;Backwoods;daddies
Red Hot Chilli Peppers;Backwoods;of
Red Hot Chilli Peppers;Backwoods;a
Red Hot Chilli Peppers;Backwoods;rock
Red Hot Chilli Peppers;Backwoods;and
Red Hot Chilli Peppers;Backwoods;roll
