artist_name;song_title;token
Red Hot Chilli Peppers;Charlie;all
Red Hot Chilli Peppers;Charlie;aboard
Red Hot Chilli Peppers;Charlie;stitch
Red Hot Chilli Peppers;Charlie;in
Red Hot Chilli Peppers;Charlie;time
Red Hot Chilli Peppers;Charlie;get
Red Hot Chilli Peppers;Charlie;yours
Red Hot Chilli Peppers;Charlie;got
Red Hot Chilli Peppers;Charlie;mine
Red Hot Chilli Peppers;Charlie;in
Red Hot Chilli Peppers;Charlie;a
Red Hot Chilli Peppers;Charlie;minute
Red Hot Chilli Peppers;Charlie;i'll
Red Hot Chilli Peppers;Charlie;be
Red Hot Chilli Peppers;Charlie;there
Red Hot Chilli Peppers;Charlie;sit
Red Hot Chilli Peppers;Charlie;tight
Red Hot Chilli Peppers;Charlie;get
Red Hot Chilli Peppers;Charlie;square
Red Hot Chilli Peppers;Charlie;you
Red Hot Chilli Peppers;Charlie;can
Red Hot Chilli Peppers;Charlie;do
Red Hot Chilli Peppers;Charlie;it
Red Hot Chilli Peppers;Charlie;at
Red Hot Chilli Peppers;Charlie;the
Red Hot Chilli Peppers;Charlie;hippodrome
Red Hot Chilli Peppers;Charlie;slide
Red Hot Chilli Peppers;Charlie;back
Red Hot Chilli Peppers;Charlie;trombone
Red Hot Chilli Peppers;Charlie;anybody
Red Hot Chilli Peppers;Charlie;got
Red Hot Chilli Peppers;Charlie;a
Red Hot Chilli Peppers;Charlie;tv
Red Hot Chilli Peppers;Charlie;tome
Red Hot Chilli Peppers;Charlie;that
Red Hot Chilli Peppers;Charlie;right
Red Hot Chilli Peppers;Charlie;unknown
Red Hot Chilli Peppers;Charlie;when
Red Hot Chilli Peppers;Charlie;i
Red Hot Chilli Peppers;Charlie;pick
Red Hot Chilli Peppers;Charlie;up
Red Hot Chilli Peppers;Charlie;on
Red Hot Chilli Peppers;Charlie;that
Red Hot Chilli Peppers;Charlie;smell
Red Hot Chilli Peppers;Charlie;pick
Red Hot Chilli Peppers;Charlie;it
Red Hot Chilli Peppers;Charlie;up
Red Hot Chilli Peppers;Charlie;and
Red Hot Chilli Peppers;Charlie;run
Red Hot Chilli Peppers;Charlie;like
Red Hot Chilli Peppers;Charlie;hell
Red Hot Chilli Peppers;Charlie;little
Red Hot Chilli Peppers;Charlie;woman
