artist_name;song_title;token
Red Hot Chilli Peppers;Higher Ground;people
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;learnin'
Red Hot Chilli Peppers;Higher Ground;soldiers
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;warrin'
Red Hot Chilli Peppers;Higher Ground;world
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;turnin'
Red Hot Chilli Peppers;Higher Ground;cause
Red Hot Chilli Peppers;Higher Ground;it
Red Hot Chilli Peppers;Higher Ground;won't
Red Hot Chilli Peppers;Higher Ground;be
Red Hot Chilli Peppers;Higher Ground;too
Red Hot Chilli Peppers;Higher Ground;long
Red Hot Chilli Peppers;Higher Ground;powers
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;lyin'
Red Hot Chilli Peppers;Higher Ground;while
Red Hot Chilli Peppers;Higher Ground;your
Red Hot Chilli Peppers;Higher Ground;people
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;dyin'
Red Hot Chilli Peppers;Higher Ground;world
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;turnin'
Red Hot Chilli Peppers;Higher Ground;cause
Red Hot Chilli Peppers;Higher Ground;it
Red Hot Chilli Peppers;Higher Ground;won't
Red Hot Chilli Peppers;Higher Ground;be
Red Hot Chilli Peppers;Higher Ground;too
Red Hot Chilli Peppers;Higher Ground;long
Red Hot Chilli Peppers;Higher Ground;i'm
Red Hot Chilli Peppers;Higher Ground;so
Red Hot Chilli Peppers;Higher Ground;darn
Red Hot Chilli Peppers;Higher Ground;glad
Red Hot Chilli Peppers;Higher Ground;he
Red Hot Chilli Peppers;Higher Ground;let
Red Hot Chilli Peppers;Higher Ground;me
Red Hot Chilli Peppers;Higher Ground;try
Red Hot Chilli Peppers;Higher Ground;it
Red Hot Chilli Peppers;Higher Ground;again
Red Hot Chilli Peppers;Higher Ground;'cause
Red Hot Chilli Peppers;Higher Ground;my
Red Hot Chilli Peppers;Higher Ground;last
Red Hot Chilli Peppers;Higher Ground;time
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;earth
Red Hot Chilli Peppers;Higher Ground;i
Red Hot Chilli Peppers;Higher Ground;lived
Red Hot Chilli Peppers;Higher Ground;a
Red Hot Chilli Peppers;Higher Ground;whole
Red Hot Chilli Peppers;Higher Ground;world
Red Hot Chilli Peppers;Higher Ground;of
Red Hot Chilli Peppers;Higher Ground;sin
Red Hot Chilli Peppers;Higher Ground;people
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;learnin'
Red Hot Chilli Peppers;Higher Ground;soldiers
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;warrin'
Red Hot Chilli Peppers;Higher Ground;world
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;turnin'
Red Hot Chilli Peppers;Higher Ground;cause
Red Hot Chilli Peppers;Higher Ground;it
Red Hot Chilli Peppers;Higher Ground;won't
Red Hot Chilli Peppers;Higher Ground;be
Red Hot Chilli Peppers;Higher Ground;too
Red Hot Chilli Peppers;Higher Ground;long
Red Hot Chilli Peppers;Higher Ground;powers
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;lyin'
Red Hot Chilli Peppers;Higher Ground;while
Red Hot Chilli Peppers;Higher Ground;your
Red Hot Chilli Peppers;Higher Ground;people
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;dyin'
Red Hot Chilli Peppers;Higher Ground;world
Red Hot Chilli Peppers;Higher Ground;keep
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;turnin'
Red Hot Chilli Peppers;Higher Ground;cause
Red Hot Chilli Peppers;Higher Ground;it
Red Hot Chilli Peppers;Higher Ground;won't
Red Hot Chilli Peppers;Higher Ground;be
Red Hot Chilli Peppers;Higher Ground;too
Red Hot Chilli Peppers;Higher Ground;long
Red Hot Chilli Peppers;Higher Ground;i'm
Red Hot Chilli Peppers;Higher Ground;so
Red Hot Chilli Peppers;Higher Ground;darn
Red Hot Chilli Peppers;Higher Ground;glad
Red Hot Chilli Peppers;Higher Ground;he
Red Hot Chilli Peppers;Higher Ground;let
Red Hot Chilli Peppers;Higher Ground;me
Red Hot Chilli Peppers;Higher Ground;try
Red Hot Chilli Peppers;Higher Ground;it
Red Hot Chilli Peppers;Higher Ground;again
Red Hot Chilli Peppers;Higher Ground;'cause
Red Hot Chilli Peppers;Higher Ground;my
Red Hot Chilli Peppers;Higher Ground;last
Red Hot Chilli Peppers;Higher Ground;time
Red Hot Chilli Peppers;Higher Ground;on
Red Hot Chilli Peppers;Higher Ground;earth
Red Hot Chilli Peppers;Higher Ground;i
Red Hot Chilli Peppers;Higher Ground;lived
Red Hot Chilli Peppers;Higher Ground;a
Red Hot Chilli Peppers;Higher Ground;whole
Red Hot Chilli Peppers;Higher Ground;world
Red Hot Chilli Peppers;Higher Ground;of
Red Hot Chilli Peppers;Higher Ground;sin
Red Hot Chilli Peppers;Higher Ground;i'm
Red Hot Chilli Peppers;Higher Ground;so
Red Hot Chilli Peppers;Higher Ground;glad
Red Hot Chilli Peppers;Higher Ground;that
Red Hot Chilli Peppers;Higher Ground;i
Red Hot Chilli Peppers;Higher Ground;know
Red Hot Chilli Peppers;Higher Ground;more
Red Hot Chilli Peppers;Higher Ground;than
Red Hot Chilli Peppers;Higher Ground;i
Red Hot Chilli Peppers;Higher Ground;knew
