artist_name;song_title;token
Red Hot Chilli Peppers;If You Have To Ask;a
Red Hot Chilli Peppers;If You Have To Ask;want
Red Hot Chilli Peppers;If You Have To Ask;to
Red Hot Chilli Peppers;If You Have To Ask;be
Red Hot Chilli Peppers;If You Have To Ask;gangster
Red Hot Chilli Peppers;If You Have To Ask;thinkin'
Red Hot Chilli Peppers;If You Have To Ask;he
Red Hot Chilli Peppers;If You Have To Ask;a
Red Hot Chilli Peppers;If You Have To Ask;wise
Red Hot Chilli Peppers;If You Have To Ask;guy
Red Hot Chilli Peppers;If You Have To Ask;rob
Red Hot Chilli Peppers;If You Have To Ask;another
Red Hot Chilli Peppers;If You Have To Ask;bank
Red Hot Chilli Peppers;If You Have To Ask;he
Red Hot Chilli Peppers;If You Have To Ask;a
Red Hot Chilli Peppers;If You Have To Ask;sock
Red Hot Chilli Peppers;If You Have To Ask;'em
Red Hot Chilli Peppers;If You Have To Ask;in
Red Hot Chilli Peppers;If You Have To Ask;the
Red Hot Chilli Peppers;If You Have To Ask;eye
Red Hot Chilli Peppers;If You Have To Ask;guy
Red Hot Chilli Peppers;If You Have To Ask;tank
Red Hot Chilli Peppers;If You Have To Ask;head
Red Hot Chilli Peppers;If You Have To Ask;mr
Red Hot Chilli Peppers;If You Have To Ask;bonnie
Red Hot Chilli Peppers;If You Have To Ask;and
Red Hot Chilli Peppers;If You Have To Ask;clyde
Red Hot Chilli Peppers;If You Have To Ask;guy
Red Hot Chilli Peppers;If You Have To Ask;look
Red Hot Chilli Peppers;If You Have To Ask;him
Red Hot Chilli Peppers;If You Have To Ask;in
Red Hot Chilli Peppers;If You Have To Ask;the
Red Hot Chilli Peppers;If You Have To Ask;eye
Red Hot Chilli Peppers;If You Have To Ask;he
Red Hot Chilli Peppers;If You Have To Ask;not
Red Hot Chilli Peppers;If You Have To Ask;my
Red Hot Chilli Peppers;If You Have To Ask;kinda
Red Hot Chilli Peppers;If You Have To Ask;guy
Red Hot Chilli Peppers;If You Have To Ask;never
Red Hot Chilli Peppers;If You Have To Ask;be
Red Hot Chilli Peppers;If You Have To Ask;confusion
Red Hot Chilli Peppers;If You Have To Ask;proof
Red Hot Chilli Peppers;If You Have To Ask;pudding
Red Hot Chilli Peppers;If You Have To Ask;sweet
Red Hot Chilli Peppers;If You Have To Ask;but
Red Hot Chilli Peppers;If You Have To Ask;too
Red Hot Chilli Peppers;If You Have To Ask;aloof
Red Hot Chilli Peppers;If You Have To Ask;orange
Red Hot Chilli Peppers;If You Have To Ask;eye
Red Hot Chilli Peppers;If You Have To Ask;girl
Red Hot Chilli Peppers;If You Have To Ask;with
Red Hot Chilli Peppers;If You Have To Ask;a
Red Hot Chilli Peppers;If You Have To Ask;backslide
Red Hot Chilli Peppers;If You Have To Ask;dew
Red Hot Chilli Peppers;If You Have To Ask;said
Red Hot Chilli Peppers;If You Have To Ask;yo
Red Hot Chilli Peppers;If You Have To Ask;homie
Red Hot Chilli Peppers;If You Have To Ask;who
Red Hot Chilli Peppers;If You Have To Ask;you
Red Hot Chilli Peppers;If You Have To Ask;talkin'
Red Hot Chilli Peppers;If You Have To Ask;to
Red Hot Chilli Peppers;If You Have To Ask;a
Red Hot Chilli Peppers;If You Have To Ask;backed
Red Hot Chilli Peppers;If You Have To Ask;up
Red Hot Chilli Peppers;If You Have To Ask;paddywagon
