artist_name;song_title;token
Red Hot Chilli Peppers;Look Around;stiff
Red Hot Chilli Peppers;Look Around;club
Red Hot Chilli Peppers;Look Around;it
Red Hot Chilli Peppers;Look Around;my
Red Hot Chilli Peppers;Look Around;nature
Red Hot Chilli Peppers;Look Around;custom
Red Hot Chilli Peppers;Look Around;love
Red Hot Chilli Peppers;Look Around;is
Red Hot Chilli Peppers;Look Around;the
Red Hot Chilli Peppers;Look Around;nomenclature
Red Hot Chilli Peppers;Look Around;turn
Red Hot Chilli Peppers;Look Around;down
Red Hot Chilli Peppers;Look Around;mass
Red Hot Chilli Peppers;Look Around;confusion
Red Hot Chilli Peppers;Look Around;hit
Red Hot Chilli Peppers;Look Around;the
Red Hot Chilli Peppers;Look Around;road
Red Hot Chilli Peppers;Look Around;'cause
Red Hot Chilli Peppers;Look Around;we
Red Hot Chilli Peppers;Look Around;just
Red Hot Chilli Peppers;Look Around;keep
Red Hot Chilli Peppers;Look Around;cruisin'
Red Hot Chilli Peppers;Look Around;double
Red Hot Chilli Peppers;Look Around;my
Red Hot Chilli Peppers;Look Around;fun
Red Hot Chilli Peppers;Look Around;double
Red Hot Chilli Peppers;Look Around;my
Red Hot Chilli Peppers;Look Around;vision
Red Hot Chilli Peppers;Look Around;long
Red Hot Chilli Peppers;Look Around;hard
Red Hot Chilli Peppers;Look Around;look
Red Hot Chilli Peppers;Look Around;at
Red Hot Chilli Peppers;Look Around;my
Red Hot Chilli Peppers;Look Around;last
Red Hot Chilli Peppers;Look Around;decision
Red Hot Chilli Peppers;Look Around;hustle
Red Hot Chilli Peppers;Look Around;here
Red Hot Chilli Peppers;Look Around;hustle
Red Hot Chilli Peppers;Look Around;there
Red Hot Chilli Peppers;Look Around;hustle
Red Hot Chilli Peppers;Look Around;me
Red Hot Chilli Peppers;Look Around;bitch
Red Hot Chilli Peppers;Look Around;and
Red Hot Chilli Peppers;Look Around;you
Red Hot Chilli Peppers;Look Around;best
Red Hot Chilli Peppers;Look Around;beware
Red Hot Chilli Peppers;Look Around;it
Red Hot Chilli Peppers;Look Around;emotional
Red Hot Chilli Peppers;Look Around;and
