artist_name;song_title;token
Red Hot Chilli Peppers;Porcelain;porcelain
Red Hot Chilli Peppers;Porcelain;are
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;wasting
Red Hot Chilli Peppers;Porcelain;away
Red Hot Chilli Peppers;Porcelain;in
Red Hot Chilli Peppers;Porcelain;your
Red Hot Chilli Peppers;Porcelain;skin
Red Hot Chilli Peppers;Porcelain;are
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;missing
Red Hot Chilli Peppers;Porcelain;the
Red Hot Chilli Peppers;Porcelain;love
Red Hot Chilli Peppers;Porcelain;of
Red Hot Chilli Peppers;Porcelain;your
Red Hot Chilli Peppers;Porcelain;kin
Red Hot Chilli Peppers;Porcelain;drifting
Red Hot Chilli Peppers;Porcelain;and
Red Hot Chilli Peppers;Porcelain;floating
Red Hot Chilli Peppers;Porcelain;and
Red Hot Chilli Peppers;Porcelain;fading
Red Hot Chilli Peppers;Porcelain;away
Red Hot Chilli Peppers;Porcelain;porcelain
Red Hot Chilli Peppers;Porcelain;do
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;smell
Red Hot Chilli Peppers;Porcelain;like
Red Hot Chilli Peppers;Porcelain;a
Red Hot Chilli Peppers;Porcelain;girl
Red Hot Chilli Peppers;Porcelain;when
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;smile
Red Hot Chilli Peppers;Porcelain;can
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;bear
Red Hot Chilli Peppers;Porcelain;not
Red Hot Chilli Peppers;Porcelain;to
Red Hot Chilli Peppers;Porcelain;share
Red Hot Chilli Peppers;Porcelain;with
Red Hot Chilli Peppers;Porcelain;your
Red Hot Chilli Peppers;Porcelain;child
Red Hot Chilli Peppers;Porcelain;drifting
Red Hot Chilli Peppers;Porcelain;and
Red Hot Chilli Peppers;Porcelain;floating
Red Hot Chilli Peppers;Porcelain;and
Red Hot Chilli Peppers;Porcelain;fading
Red Hot Chilli Peppers;Porcelain;away
Red Hot Chilli Peppers;Porcelain;little
Red Hot Chilli Peppers;Porcelain;lune
Red Hot Chilli Peppers;Porcelain;all
Red Hot Chilli Peppers;Porcelain;day
Red Hot Chilli Peppers;Porcelain;little
Red Hot Chilli Peppers;Porcelain;lune
Red Hot Chilli Peppers;Porcelain;porcelain
Red Hot Chilli Peppers;Porcelain;are
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;wasting
Red Hot Chilli Peppers;Porcelain;away
Red Hot Chilli Peppers;Porcelain;in
Red Hot Chilli Peppers;Porcelain;your
Red Hot Chilli Peppers;Porcelain;skin
Red Hot Chilli Peppers;Porcelain;are
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;missing
Red Hot Chilli Peppers;Porcelain;the
Red Hot Chilli Peppers;Porcelain;love
Red Hot Chilli Peppers;Porcelain;of
Red Hot Chilli Peppers;Porcelain;your
Red Hot Chilli Peppers;Porcelain;kin
Red Hot Chilli Peppers;Porcelain;drifting
Red Hot Chilli Peppers;Porcelain;and
Red Hot Chilli Peppers;Porcelain;floating
Red Hot Chilli Peppers;Porcelain;and
Red Hot Chilli Peppers;Porcelain;fading
Red Hot Chilli Peppers;Porcelain;away
Red Hot Chilli Peppers;Porcelain;porcelain
Red Hot Chilli Peppers;Porcelain;do
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;smell
Red Hot Chilli Peppers;Porcelain;like
Red Hot Chilli Peppers;Porcelain;a
Red Hot Chilli Peppers;Porcelain;girl
Red Hot Chilli Peppers;Porcelain;when
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;smile
Red Hot Chilli Peppers;Porcelain;can
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;bear
Red Hot Chilli Peppers;Porcelain;not
Red Hot Chilli Peppers;Porcelain;to
Red Hot Chilli Peppers;Porcelain;share
Red Hot Chilli Peppers;Porcelain;with
Red Hot Chilli Peppers;Porcelain;your
Red Hot Chilli Peppers;Porcelain;child
Red Hot Chilli Peppers;Porcelain;drifting
Red Hot Chilli Peppers;Porcelain;and
Red Hot Chilli Peppers;Porcelain;floating
Red Hot Chilli Peppers;Porcelain;and
Red Hot Chilli Peppers;Porcelain;fading
Red Hot Chilli Peppers;Porcelain;away
Red Hot Chilli Peppers;Porcelain;little
Red Hot Chilli Peppers;Porcelain;lune
Red Hot Chilli Peppers;Porcelain;all
Red Hot Chilli Peppers;Porcelain;day
Red Hot Chilli Peppers;Porcelain;little
Red Hot Chilli Peppers;Porcelain;lune
Red Hot Chilli Peppers;Porcelain;porcelain
Red Hot Chilli Peppers;Porcelain;do
Red Hot Chilli Peppers;Porcelain;you
Red Hot Chilli Peppers;Porcelain;carry
Red Hot Chilli Peppers;Porcelain;the
Red Hot Chilli Peppers;Porcelain;moon
Red Hot Chilli Peppers;Porcelain;in
Red Hot Chilli Peppers;Porcelain;your
