artist_name;song_title;token
Red Hot Chilli Peppers;Sir Psycho Sexy;a
Red Hot Chilli Peppers;Sir Psycho Sexy;long
Red Hot Chilli Peppers;Sir Psycho Sexy;long
Red Hot Chilli Peppers;Sir Psycho Sexy;long
Red Hot Chilli Peppers;Sir Psycho Sexy;long
Red Hot Chilli Peppers;Sir Psycho Sexy;time
Red Hot Chilli Peppers;Sir Psycho Sexy;ago
Red Hot Chilli Peppers;Sir Psycho Sexy;before
Red Hot Chilli Peppers;Sir Psycho Sexy;the
Red Hot Chilli Peppers;Sir Psycho Sexy;wind
Red Hot Chilli Peppers;Sir Psycho Sexy;before
Red Hot Chilli Peppers;Sir Psycho Sexy;the
Red Hot Chilli Peppers;Sir Psycho Sexy;snow
Red Hot Chilli Peppers;Sir Psycho Sexy;lived
Red Hot Chilli Peppers;Sir Psycho Sexy;a
Red Hot Chilli Peppers;Sir Psycho Sexy;man
Red Hot Chilli Peppers;Sir Psycho Sexy;lived
Red Hot Chilli Peppers;Sir Psycho Sexy;a
Red Hot Chilli Peppers;Sir Psycho Sexy;man
Red Hot Chilli Peppers;Sir Psycho Sexy;i
Red Hot Chilli Peppers;Sir Psycho Sexy;know
Red Hot Chilli Peppers;Sir Psycho Sexy;lived
Red Hot Chilli Peppers;Sir Psycho Sexy;a
Red Hot Chilli Peppers;Sir Psycho Sexy;freak
Red Hot Chilli Peppers;Sir Psycho Sexy;of
Red Hot Chilli Peppers;Sir Psycho Sexy;nature
Red Hot Chilli Peppers;Sir Psycho Sexy;named
Red Hot Chilli Peppers;Sir Psycho Sexy;sir
Red Hot Chilli Peppers;Sir Psycho Sexy;psycho
Red Hot Chilli Peppers;Sir Psycho Sexy;sir
Red Hot Chilli Peppers;Sir Psycho Sexy;psycho
Red Hot Chilli Peppers;Sir Psycho Sexy;sexy
Red Hot Chilli Peppers;Sir Psycho Sexy;that
Red Hot Chilli Peppers;Sir Psycho Sexy;is
Red Hot Chilli Peppers;Sir Psycho Sexy;me
Red Hot Chilli Peppers;Sir Psycho Sexy;sometimes
Red Hot Chilli Peppers;Sir Psycho Sexy;i
Red Hot Chilli Peppers;Sir Psycho Sexy;find
Red Hot Chilli Peppers;Sir Psycho Sexy;i
Red Hot Chilli Peppers;Sir Psycho Sexy;need
Red Hot Chilli Peppers;Sir Psycho Sexy;to
Red Hot Chilli Peppers;Sir Psycho Sexy;scream
Red Hot Chilli Peppers;Sir Psycho Sexy;he
Red Hot Chilli Peppers;Sir Psycho Sexy;a
Red Hot Chilli Peppers;Sir Psycho Sexy;freak
Red Hot Chilli Peppers;Sir Psycho Sexy;of
Red Hot Chilli Peppers;Sir Psycho Sexy;nature
Red Hot Chilli Peppers;Sir Psycho Sexy;but
Red Hot Chilli Peppers;Sir Psycho Sexy;we
Red Hot Chilli Peppers;Sir Psycho Sexy;love
Red Hot Chilli Peppers;Sir Psycho Sexy;him
Red Hot Chilli Peppers;Sir Psycho Sexy;so
Red Hot Chilli Peppers;Sir Psycho Sexy;he
Red Hot Chilli Peppers;Sir Psycho Sexy;a
Red Hot Chilli Peppers;Sir Psycho Sexy;freak
Red Hot Chilli Peppers;Sir Psycho Sexy;of
Red Hot Chilli Peppers;Sir Psycho Sexy;nature
Red Hot Chilli Peppers;Sir Psycho Sexy;but
Red Hot Chilli Peppers;Sir Psycho Sexy;we
Red Hot Chilli Peppers;Sir Psycho Sexy;let
Red Hot Chilli Peppers;Sir Psycho Sexy;him
Red Hot Chilli Peppers;Sir Psycho Sexy;go
